,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1171276,nhsd,MHSDS_MHS605SecDiag,diagdate,,,
1171277,nhsd,MHSDS_MHS605SecDiag,diagschemeinuse,,,
1171278,nhsd,MHSDS_MHS605SecDiag,mhs605uniqid,,,
1171279,nhsd,MHSDS_MHS605SecDiag,orgidprov_e,,,
1171280,nhsd,MHSDS_MHS605SecDiag,recordnumber,,,
1171281,nhsd,MHSDS_MHS605SecDiag,secdiag,,,
1171282,nhsd,MHSDS_MHS605SecDiag,pservicerequestid,,,
1171283,nhsd,MHSDS_MHS605SecDiag,puniqservreqid,,,
1171284,nhsd,MHSDS_MHS605SecDiag,uniqsubmissionid,,,
1171285,nhsd,MHSDS_MHS605SecDiag,month_id,,,
1171286,nhsd,MHSDS_MHS605SecDiag,cohortkey_e,,,
1171287,nhsd,MHSDS_MHS605SecDiag,nic_number,,,
1171288,nhsd,MHSDS_MHS605SecDiag,avail_from_dt,,,
1171289,nhsd,MHSDS_MHS605SecDiag,row_version,,,
