,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1168205,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,ageassesstoolrefercompdate,,,
1168206,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,asstoolcompdate,,,
1168207,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,pcareproflocalid,,,
1168208,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,codedasstooltype,,,
1168209,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,mhs606uniqid,,,
1168210,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,orgidprov_e,,,
1168211,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,persscore,,,
1168212,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,recordnumber,,,
1168213,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,pservicerequestid,,,
1168214,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,puniqservreqid,,,
1168215,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,puniqcareproflocalid,,,
1168216,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,uniqsubmissionid,,,
1168217,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,month_id,,,
1168218,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,cohortkey_e,,,
1168219,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,nic_number,,,
1168220,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,avail_from_dt,,,
1168221,nhsd,MHSDS_MHS606CodedScoreAssessmentRefer,row_version,,,
