,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1171307,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,ageassesstoolcont,,,
1171308,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,pcareactid,,,
1171309,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,codedasstooltype,,,
1171310,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,mhs607uniqid,,,
1171311,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,orgidprov_e,,,
1171312,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,persscore,,,
1171313,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,recordnumber,,,
1171314,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,puniqcareactid,,,
1171315,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,puniqcarecontid,,,
1171316,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,puniqservreqid,,,
1171317,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,uniqsubmissionid,,,
1171318,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,month_id,,,
1171319,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,cohortkey_e,,,
1171320,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,nic_number,,,
1171321,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,avail_from_dt,,,
1171322,nhsd,MHSDS_MHS607CodedScoreAssessmentAct,row_version,,,
