,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1171336,nhsd,MHSDS_MHS702CPAReview,pcareproflocalid,,,
1171337,nhsd,MHSDS_MHS702CPAReview,pcpaepisodeid,,,
1171338,nhsd,MHSDS_MHS702CPAReview,cparevabusequestaskind,,,
1171339,nhsd,MHSDS_MHS702CPAReview,cpareviewdate,,,
1171340,nhsd,MHSDS_MHS702CPAReview,mhs702uniqid,,,
1171341,nhsd,MHSDS_MHS702CPAReview,orgidprov_e,,,
1171342,nhsd,MHSDS_MHS702CPAReview,recordnumber,,,
1171343,nhsd,MHSDS_MHS702CPAReview,puniqcpaepisodeid,,,
1171344,nhsd,MHSDS_MHS702CPAReview,puniqcareproflocalid,,,
1171345,nhsd,MHSDS_MHS702CPAReview,uniqsubmissionid,,,
1171346,nhsd,MHSDS_MHS702CPAReview,month_id,,,
1171347,nhsd,MHSDS_MHS702CPAReview,cohortkey_e,,,
1171348,nhsd,MHSDS_MHS702CPAReview,nic_number,,,
1171349,nhsd,MHSDS_MHS702CPAReview,avail_from_dt,,,
1171350,nhsd,MHSDS_MHS702CPAReview,row_version,,,
