,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1168266,nhsd,MHSDS_MHS901StaffDetails,careprofjobrolecode,,,
1168267,nhsd,MHSDS_MHS901StaffDetails,pcareproflocalid,,,
1168268,nhsd,MHSDS_MHS901StaffDetails,careprofstaffgpmh,,,
1168269,nhsd,MHSDS_MHS901StaffDetails,mainspeccodemh,,,
1168270,nhsd,MHSDS_MHS901StaffDetails,mhs901uniqid,,,
1168271,nhsd,MHSDS_MHS901StaffDetails,occcode,,,
1168272,nhsd,MHSDS_MHS901StaffDetails,orgidprov_e,,,
1168273,nhsd,MHSDS_MHS901StaffDetails,profregbodycode,,,
1168274,nhsd,MHSDS_MHS901StaffDetails,pprofregentryid,,,
1168275,nhsd,MHSDS_MHS901StaffDetails,puniqcareproflocalid,,,
1168276,nhsd,MHSDS_MHS901StaffDetails,uniqsubmissionid,,,
1168277,nhsd,MHSDS_MHS901StaffDetails,month_id,,,
1168278,nhsd,MHSDS_MHS901StaffDetails,avail_from_dt,,,
1168279,nhsd,MHSDS_MHS901StaffDetails,row_version,,,
