,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1168828,nhsd,PCM,paidflavourindicator,,,
1168829,nhsd,PCM,patientlsoa_e,,,
1168830,nhsd,PCM,prescribedquantity,,,
1168831,nhsd,PCM,prescribertype,,,
1168832,nhsd,PCM,paidquantity,,,
1168833,nhsd,PCM,notdispensedindicator,,,
1168834,nhsd,PCM,prescribedformulation,,,
1168835,nhsd,PCM,maternityexemptionflag,,,
1168836,nhsd,PCM,paidindicator,,,
1168837,nhsd,PCM,prescribedmedicinestrength,,,
1168838,nhsd,PCM,paidacbsindicator,,,
1168839,nhsd,PCM,dispensedpharmacytype,,,
1168840,nhsd,PCM,paiddmdcode,,,
1168841,nhsd,PCM,itemnic,,,
1168842,nhsd,PCM,dispensedcountrycode,,,
1168843,nhsd,PCM,itemid,,,
1168844,nhsd,PCM,paidsuppliername,,,
1168845,nhsd,PCM,bsaprescriptionid,,,
1168846,nhsd,PCM,prescribedcountrycode,,,
1168847,nhsd,PCM,prescribeddmdcode,,,
1168848,nhsd,PCM,exemptioncode,,,
1168849,nhsd,PCM,prescribedbnfcode,,,
1168850,nhsd,PCM,paiddrugstrength,,,
1168851,nhsd,PCM,patientage,,,
1168852,nhsd,PCM,paidbnfname,,,
1168853,nhsd,PCM,paidpadmindicator,,,
1168854,nhsd,PCM,costcentreodscode_e,,,
1168855,nhsd,PCM,patientgplsoa_e,,,
1168856,nhsd,PCM,epsprescriptionid,,,
1168857,nhsd,PCM,paidbnfcode,,,
1168858,nhsd,PCM,epsprescriptionindicator,,,
1168859,nhsd,PCM,patientgpods_e,,,
1168860,nhsd,PCM,dispensedpharmacylsoa_e,,,
1168861,nhsd,PCM,paidcdindicator,,,
1168862,nhsd,PCM,paiddissallowedindicator,,,
1168863,nhsd,PCM,processedperiod,,,
1168864,nhsd,PCM,prescribedbnfname,,,
1168865,nhsd,PCM,prescribedsuppliername,,,
1168866,nhsd,PCM,dispensedpharmacyodscode_e,,,
1168867,nhsd,PCM,patientgender,,,
1168868,nhsd,PCM,itemactualcost,,,
1168869,nhsd,PCM,paidspeccontindicator,,,
1168870,nhsd,PCM,chargestatus,,,
1168871,nhsd,PCM,costcentretype,,,
1168872,nhsd,PCM,privateprescriptionindicator,,,
1168873,nhsd,PCM,outofhoursindicator,,,
1168874,nhsd,PCM,costcentresubtype,,,
1168875,nhsd,PCM,paiddisallowedreason,,,
1168876,nhsd,PCM,paidformulation,,,
1168877,nhsd,PCM,agebands,,,
1168878,nhsd,PCM,processingperioddate,,,
1168879,nhsd,PCM,costcentrelsoa_e,,,
1168880,nhsd,PCM,highvolvaccineindicator,,,
1168881,nhsd,PCM,cohortkey_e,,,
1168882,nhsd,PCM,nic_number,,,
1168883,nhsd,PCM,avail_from_dt,,,
1168884,nhsd,PCM,row_version,,,
