,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1173398,NICOLA,Covid_19Questionnaire,study_id_e,,,
1173399,NICOLA,Covid_19Questionnaire,datecovidquestionnairefreturn,Date of questionnaire return,,
1173400,NICOLA,Covid_19Questionnaire,q1_currentliving,Where are you currently living ?,1.0,At my usual home
1173401,NICOLA,Covid_19Questionnaire,q1_currentliving,Where are you currently living ?,2.0,In someone else's home
1173402,NICOLA,Covid_19Questionnaire,q1_currentliving,Where are you currently living ?,3.0,In a care home
1173403,NICOLA,Covid_19Questionnaire,q1_currentliving,Where are you currently living ?,4.0,In hospital
1173404,NICOLA,Covid_19Questionnaire,q1_currentliving,Where are you currently living ?,5.0,Somewhere else
1173405,NICOLA,Covid_19Questionnaire,q1_currentliving,Where are you currently living ?,9.0,Missing data
1173406,NICOLA,Covid_19Questionnaire,q2_manypeople,How many people (including you) are currently living in the residence you are staying in ?,999.0,Missing data
1173407,NICOLA,Covid_19Questionnaire,q3_feelingnervous,Over the last week,1.0,Not at all
1173408,NICOLA,Covid_19Questionnaire,q3_feelingnervous,Over the last week,2.0,Several days
1173409,NICOLA,Covid_19Questionnaire,q3_feelingnervous,Over the last week,3.0,More than half the days
1173410,NICOLA,Covid_19Questionnaire,q3_feelingnervous,Over the last week,4.0,Nearly every day
1173411,NICOLA,Covid_19Questionnaire,q3_feelingnervous,Over the last week,9.0,Missing
1173412,NICOLA,Covid_19Questionnaire,q4_controlworry,Over the last week,1.0,Not at all
1173413,NICOLA,Covid_19Questionnaire,q4_controlworry,Over the last week,2.0,Several days
1173414,NICOLA,Covid_19Questionnaire,q4_controlworry,Over the last week,3.0,More than half the days
1173415,NICOLA,Covid_19Questionnaire,q4_controlworry,Over the last week,4.0,Nearly every day
1173416,NICOLA,Covid_19Questionnaire,q4_controlworry,Over the last week,9.0,Missing
1173417,NICOLA,Covid_19Questionnaire,q5_diffthings,Over the last week,1.0,Not at all
1173418,NICOLA,Covid_19Questionnaire,q5_diffthings,Over the last week,2.0,Several days
1173419,NICOLA,Covid_19Questionnaire,q5_diffthings,Over the last week,3.0,More than half the days
1173420,NICOLA,Covid_19Questionnaire,q5_diffthings,Over the last week,4.0,Nearly every day
1173421,NICOLA,Covid_19Questionnaire,q5_diffthings,Over the last week,9.0,Missing
1173422,NICOLA,Covid_19Questionnaire,q6_troublerelax,Over the last week,1.0,Not at all
1173423,NICOLA,Covid_19Questionnaire,q6_troublerelax,Over the last week,2.0,Several days
1173424,NICOLA,Covid_19Questionnaire,q6_troublerelax,Over the last week,3.0,More than half the days
1173425,NICOLA,Covid_19Questionnaire,q6_troublerelax,Over the last week,4.0,Nearly every day
1173426,NICOLA,Covid_19Questionnaire,q6_troublerelax,Over the last week,9.0,Missing
1173427,NICOLA,Covid_19Questionnaire,q7_restless,Over the last week,1.0,Not at all
1173428,NICOLA,Covid_19Questionnaire,q7_restless,Over the last week,2.0,Several days
1173429,NICOLA,Covid_19Questionnaire,q7_restless,Over the last week,3.0,More than half the days
1173430,NICOLA,Covid_19Questionnaire,q7_restless,Over the last week,4.0,Nearly every day
1173431,NICOLA,Covid_19Questionnaire,q7_restless,Over the last week,9.0,Missing
1173432,NICOLA,Covid_19Questionnaire,q8_irritable,Over the last week,1.0,Not at all
1173433,NICOLA,Covid_19Questionnaire,q8_irritable,Over the last week,2.0,Several days
1173434,NICOLA,Covid_19Questionnaire,q8_irritable,Over the last week,3.0,More than half the days
1173435,NICOLA,Covid_19Questionnaire,q8_irritable,Over the last week,4.0,Nearly every day
1173436,NICOLA,Covid_19Questionnaire,q8_irritable,Over the last week,9.0,Missing
1173437,NICOLA,Covid_19Questionnaire,q9_feelafraid,Over the last week,1.0,Not at all
1173438,NICOLA,Covid_19Questionnaire,q9_feelafraid,Over the last week,2.0,Several days
1173439,NICOLA,Covid_19Questionnaire,q9_feelafraid,Over the last week,3.0,More than half the days
1173440,NICOLA,Covid_19Questionnaire,q9_feelafraid,Over the last week,4.0,Nearly every day
1173441,NICOLA,Covid_19Questionnaire,q9_feelafraid,Over the last week,9.0,Missing
1173442,NICOLA,Covid_19Questionnaire,q10_feltdepressed,I felt depressed,1.0,Yes
1173443,NICOLA,Covid_19Questionnaire,q10_feltdepressed,I felt depressed,2.0,No
1173444,NICOLA,Covid_19Questionnaire,q10_feltdepressed,I felt depressed,9.0,Missing
1173445,NICOLA,Covid_19Questionnaire,q11_felteffort,I felt that everything I did was an effort,1.0,Yes
1173446,NICOLA,Covid_19Questionnaire,q11_felteffort,I felt that everything I did was an effort,2.0,No
1173447,NICOLA,Covid_19Questionnaire,q11_felteffort,I felt that everything I did was an effort,9.0,Missing
1173448,NICOLA,Covid_19Questionnaire,q12_sleeprestless,My sleep was restless,1.0,Yes
1173449,NICOLA,Covid_19Questionnaire,q12_sleeprestless,My sleep was restless,2.0,No
1173450,NICOLA,Covid_19Questionnaire,q12_sleeprestless,My sleep was restless,9.0,Missing
1173451,NICOLA,Covid_19Questionnaire,q13_happy,I was happy,1.0,Yes
1173452,NICOLA,Covid_19Questionnaire,q13_happy,I was happy,2.0,No
1173453,NICOLA,Covid_19Questionnaire,q13_happy,I was happy,9.0,Missing
1173454,NICOLA,Covid_19Questionnaire,q14_feltlonely,I felt lonely,1.0,Yes
1173455,NICOLA,Covid_19Questionnaire,q14_feltlonely,I felt lonely,2.0,No
1173456,NICOLA,Covid_19Questionnaire,q14_feltlonely,I felt lonely,9.0,Missing
1173457,NICOLA,Covid_19Questionnaire,q15_enjoyedlife,I enjoyed life,1.0,Yes
1173458,NICOLA,Covid_19Questionnaire,q15_enjoyedlife,I enjoyed life,2.0,No
1173459,NICOLA,Covid_19Questionnaire,q15_enjoyedlife,I enjoyed life,9.0,Missing
1173460,NICOLA,Covid_19Questionnaire,q16_notgetgoing,"I could not get ""going""",1.0,Yes
1173461,NICOLA,Covid_19Questionnaire,q16_notgetgoing,"I could not get ""going""",2.0,No
1173462,NICOLA,Covid_19Questionnaire,q16_notgetgoing,"I could not get ""going""",9.0,Missing
1173463,NICOLA,Covid_19Questionnaire,q17_happyyesterday,On a scale of 0 to 10,99.0,Missing
1173464,NICOLA,Covid_19Questionnaire,q18_anxiousoverall,On a scale of 0 to 10,99.0,Missing
1173465,NICOLA,Covid_19Questionnaire,q19_satisfiedlife,On a scale of 0 to 10,99.0,Missing
1173466,NICOLA,Covid_19Questionnaire,q20_lifeworthwhile,On a scale of 0 to 10,99.0,Missing
1173467,NICOLA,Covid_19Questionnaire,q21_ageprevents,My age prevents me from doing the things I would like to do,1.0,Often
1173468,NICOLA,Covid_19Questionnaire,q21_ageprevents,My age prevents me from doing the things I would like to do,2.0,Sometimes
1173469,NICOLA,Covid_19Questionnaire,q21_ageprevents,My age prevents me from doing the things I would like to do,3.0,Not often
1173470,NICOLA,Covid_19Questionnaire,q21_ageprevents,My age prevents me from doing the things I would like to do,4.0,Never
1173471,NICOLA,Covid_19Questionnaire,q21_ageprevents,My age prevents me from doing the things I would like to do,9.0,Missing
1173472,NICOLA,Covid_19Questionnaire,q22_outofcontrol,I feel that what happens to me is out of my control,1.0,Often
1173473,NICOLA,Covid_19Questionnaire,q22_outofcontrol,I feel that what happens to me is out of my control,2.0,Sometimes
1173474,NICOLA,Covid_19Questionnaire,q22_outofcontrol,I feel that what happens to me is out of my control,3.0,Not often
1173475,NICOLA,Covid_19Questionnaire,q22_outofcontrol,I feel that what happens to me is out of my control,4.0,Never
1173476,NICOLA,Covid_19Questionnaire,q22_outofcontrol,I feel that what happens to me is out of my control,9.0,Missing
1173477,NICOLA,Covid_19Questionnaire,q23_leftout,I feel left out of things,1.0,Often
1173478,NICOLA,Covid_19Questionnaire,q23_leftout,I feel left out of things,2.0,Sometimes
1173479,NICOLA,Covid_19Questionnaire,q23_leftout,I feel left out of things,3.0,Not often
1173480,NICOLA,Covid_19Questionnaire,q23_leftout,I feel left out of things,4.0,Never
1173481,NICOLA,Covid_19Questionnaire,q23_leftout,I feel left out of things,9.0,Missing
1173482,NICOLA,Covid_19Questionnaire,q24_thingsiwant,I can do the things I want to do,1.0,Often
1173483,NICOLA,Covid_19Questionnaire,q24_thingsiwant,I can do the things I want to do,2.0,Sometimes
1173484,NICOLA,Covid_19Questionnaire,q24_thingsiwant,I can do the things I want to do,3.0,Not often
1173485,NICOLA,Covid_19Questionnaire,q24_thingsiwant,I can do the things I want to do,4.0,Never
1173486,NICOLA,Covid_19Questionnaire,q24_thingsiwant,I can do the things I want to do,9.0,Missing
1173487,NICOLA,Covid_19Questionnaire,q25_pleasemyself,I feel that I can please myself what I do,1.0,Often
1173488,NICOLA,Covid_19Questionnaire,q25_pleasemyself,I feel that I can please myself what I do,2.0,Sometimes
1173489,NICOLA,Covid_19Questionnaire,q25_pleasemyself,I feel that I can please myself what I do,3.0,Not often
1173490,NICOLA,Covid_19Questionnaire,q25_pleasemyself,I feel that I can please myself what I do,4.0,Never
1173491,NICOLA,Covid_19Questionnaire,q25_pleasemyself,I feel that I can please myself what I do,9.0,Missing
1173492,NICOLA,Covid_19Questionnaire,q26_shortmoney,Shortage of money stops me from doing things I want to do,1.0,Often
1173493,NICOLA,Covid_19Questionnaire,q26_shortmoney,Shortage of money stops me from doing things I want to do,2.0,Sometimes
1173494,NICOLA,Covid_19Questionnaire,q26_shortmoney,Shortage of money stops me from doing things I want to do,3.0,Not often
