variable_name,value_value,value_label,avail_from_dt,table_name
Q1_CurrentLiving,1,At my usual home,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q1_CurrentLiving,2,In someone else's home,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q1_CurrentLiving,3,In a care home,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q1_CurrentLiving,4,In hospital,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q1_CurrentLiving,5,Somewhere else,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q1_CurrentLiving,9,Missing data,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q2_ManyPeople,999,Missing data,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q3_FeelingNervous,1,Not at all,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q3_FeelingNervous,2,Several days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q3_FeelingNervous,3,More than half the days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q3_FeelingNervous,4,Nearly every day,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q3_FeelingNervous,9,Missing,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q4_ControlWorry,1,Not at all,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q4_ControlWorry,2,Several days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q4_ControlWorry,3,More than half the days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q4_ControlWorry,4,Nearly every day,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q4_ControlWorry,9,Missing,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q5_DiffThings,1,Not at all,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q5_DiffThings,2,Several days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q5_DiffThings,3,More than half the days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q5_DiffThings,4,Nearly every day,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q5_DiffThings,9,Missing,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q6_TroubleRelax,1,Not at all,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q6_TroubleRelax,2,Several days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q6_TroubleRelax,3,More than half the days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q6_TroubleRelax,4,Nearly every day,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q6_TroubleRelax,9,Missing,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q7_Restless,1,Not at all,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q7_Restless,2,Several days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q7_Restless,3,More than half the days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q7_Restless,4,Nearly every day,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q7_Restless,9,Missing,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q8_Irritable,1,Not at all,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q8_Irritable,2,Several days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q8_Irritable,3,More than half the days,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
Q8_Irritable,4,Nearly every day,2022-01-10 11:54:54.533,Covid_19Questionnaire_v0001_20211101
