variable_name,variable_label,avail_from_dt,table_name
STUDY_ID,NICOLA unique indentifier,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
Wave1InterviewDate,When did this interview start?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
instatusW2,instatusW2 - Proxy Status of interview,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
hhnumdum,Total number of people in household,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm009,1 : What is the sex of household member ?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm010,1 : What is your relationship to household member's husband/wife/partner aged?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm011,cm011 - 1 : How old is household member?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm012,1 : Is household member's husband/wife/partner aged...?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm013,1 : Is living with a spouse,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm015,1 : What is the sex of household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm016,1 : What is your relationship to household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm017,1 : How old is household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm018,1 : Is household member's husband/wife/partner aged..,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm019,1 : Does anyone else live in this household?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_1_cm019x,1 : eligibility,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm009,2 : What is the sex of household member ?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm010,2 : What is your relationship to household member's husband/wife/partner aged?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm011,cm011 - 2 : How old is household member?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm012,2 : Is household member's husband/wife/partner aged...?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm013,2 : Is living with a spouse,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm015,2 : What is the sex of household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm016,2 : What is your relationship to household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm017,2 : How old is household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm018,2 : Is household member's husband/wife/partner aged..,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm019,2 : Does anyone else live in this household?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_2_cm019x,2 : eligibility,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm009,3 : What is the sex of household member ?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm010,3 : What is your relationship to household member's husband/wife/partner aged?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm011,cm011 - 3 : How old is household member?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm012,3 : Is household member's husband/wife/partner aged...?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm013,3 : Is living with a spouse,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm015,3 : What is the sex of household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm016,3 : What is your relationship to household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm017,3 : How old is household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm018,3 : Is household member's husband/wife/partner aged..,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm019,3 : Does anyone else live in this household?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_3_cm019x,3 : eligibility,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm009,4 : What is the sex of household member?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm010,4 : What is your relationship to household member's husband/wife/partner aged?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm011,cm011 - 4 : How old is household member?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm012,4 : Is household member's husband/wife/partner aged...?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm013,4 : Is living with a spouse,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm015,4 : What is the sex of household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm016,4 : What is your relationship to household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm017,4 : How old is household member's husband/wife/partner?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm018,4 : Is household member's husband/wife/partner aged..,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm019,4 : Does anyone else live in this household?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_4_cm019x,4 : eligibility,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
HHloop_5_cm009,5 : What is the sex of household member?,2022-01-10 11:35:31.193,Wave1CAPI_v0001_20211101
