variable_name,variable_label,avail_from_dt,table_name
STUDY_ID,NICOLA unique indentifier,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Age,Participant age (at time of health assessment),2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
BodyFat,Body fat percentage,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
MMSE_Score,Mini Mental State Examination score,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
MOCA_Score,Montreal Cognitive Assessment Score,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
HealthAssessmentDate,Date of Health Assessment,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
HomeAssessment,Was the Health Assessment carried out at home?,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Height_1,Height in CM,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Gender,Gender of participant,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
BMI,Body mass index,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
BMI_Status,Body mass Index Status,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Weight_1,Weight in KG,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Waist_1,First waist measurement,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Waist_2,Second weight measurement,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Waist_3,Third waist measurement,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
AverageWaist,Average waist measurement in CM,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Hip_1,First hip measurement,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Hip_2,Second hip measurement,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Hip_3,Third hip measurement,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
AverageHip,Average hip measurement in CM,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
use_any_hearing_aids,Do you use any of the following aids or appliances to help with your hearing?,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
is_your_hearing,Is your hearing (with or without a hearing aid)?,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
ability_to_follow_conversation_with_one,Can you follow a conversation with one person (with or without a hearing aid)? If participant asks,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
ability_to_follow_conversation_with_many,Can you follow a conversation with four people ( with or without a hearing aid)? If participant asks,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
can_use_telephone,Can you use a normal telephone? (A 'normal telephone' means a phone that has not been adapted for heairing impairment),2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
did_have_any_noises_in_head_for_more_than_5_min,Do you get or have you had noises (such as ringing or buzzing) in your head or in one or both ears that lasts for more than five minutes at a time?,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
noises_impact_on_individual,How much do these noises worry,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
ever_worked_in_noisy_place,Have you ever worked in a noisy place where you had to shout to be heard?,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
listened_to_loud_music_for_more_than_3hrs_per_week,Have you listened to music for more than 3 hours per week at a volume which you would need to shout to be heard or,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
TimeTaken,Time taken to complete Colour Trails,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
ColourErrors,Colour errors,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
NumberErrors,Number errors,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Prompts,Prompts,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
NearMisses,Near misses,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
AnimalReCall,Animal Recall total,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ1,I was bothered by things that usually don't bother me,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ2,I did not feel like eating; my apetite was poor,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ3,I felt that I could not shake off the blues even with help ffrom my family or friends,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ4,I felt that I was just as good as other people,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ5,I had trouble keeping my mind on what I was doing,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ6,I felt depressed,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ7,I felt that everything I did was an effort,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ8,I felt hopeful about the future,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ9,I thought my life had been a failure,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ10,I felt fearful,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ11,My sleep was restless,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ12,I was happy,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ13,I talked less than usual,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ14,I felt lonely,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ15,People were unfriendly,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ16,I enjoyed life,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ17,I had crying spells,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ18,I felt sad,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ19,I felt that people disliked me,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
CESDQ20,I could not get 'going',2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
RightEyeNF_4M,Right eye NF at 4 metres - Distance Visual Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
RightEyePH_4M,Right eye PH at 4 metres - Pinhole Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
LeftEyeNF_4M,Left eye NF at 4 metres - Distance Visual Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
LeftEyePH_4M,Left eye PH at 4 metres - Pinhole Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
RightEyePH_3M,Right eye NF at 3 metres - Distance Visual Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
RightEyeNF_3M,Right eye PH at 3 metres - Pinhole Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
LeftEyeNF_3M,Left eye NF at 3 metres - Distance Visual Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
LeftEyePH_3M,Left eye PH at 3 metres - Pinhole Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
RightEyeNF_1M,Right eye NF at 1 metre - Distance Visual Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
RightEyePH_1M,Right eye PH at 1 metre - Pinhole Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
LeftEyeNF_1M,Left eye NF at 1 metre - Distance Visual Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
LeftEyePH_1M,Left eye PH at 1 metre - Pinhole Acuity,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Systolic_BP1,First Systolic BP measurement - Sitting,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Systolic_BP2,Second Systolic BP measurement - Sitting,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Systolic_BP3,Third Systolic BP measurement - Postural standing,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Diastolic_BP1,First Diastolic BP measurement - Sitting,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Diastolic_BP2,Second Diastolic BP measurement - Sitting,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Diastolic_BP3,Third Diastolic BP measurement - Postural standing,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Pulse_BP1,First Pulse measurement,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Pulse_BP2,Second Pulse measurement,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
Pulse_BP3,Third Pulse measurement,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
ARRightEye_sph,Right eye sphere,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
ARRightEye_Cyl,Right eye cylinder,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
ARRightEye_Axis,Right eye axis,2022-01-10 12:04:35.237,Wave1HA_v0001_20211101
