variable_name,value_value,value_label,avail_from_dt,table_name
Q1,1,Yes,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q1,2,No,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q2,1,Very often`,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q2,2,fairly often,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q2,3,rarely,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q2,4,never,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q2,8,Not applicable,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q3,1,Very often`,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q3,2,fairly often,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q3,3,rarely,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q3,4,never,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q3,8,Not applicable,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q4,1,Very often`,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q4,2,fairly often,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q4,3,rarely,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q4,4,never,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q4,8,Not applicable,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q5,1,Very often`,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q5,2,fairly often,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q5,3,rarely,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q5,4,never,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q5,8,Not applicable,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q6,1,Very often`,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q6,2,fairly often,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q6,3,rarely,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q6,4,never,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q6,8,Not applicable,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q7,1,Very often`,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q7,2,fairly often,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q7,3,rarely,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q7,4,never,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q7,8,Not applicable,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q8,1,Very often`,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q8,2,fairly often,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q8,3,rarely,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q8,4,never,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q8,8,Not applicable,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q9,1,Very often`,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
Q9,2,fairly often,2022-01-10 11:48:26.173,Wave1SCQ_v0001_20211101
