,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1181822,NICOLA,Wave2CAPI,study_id_e,,,
1181823,NICOLA,Wave2CAPI,wave2interviewdate,Date of Wave 2 interview,,
1181824,NICOLA,Wave2CAPI,w2_gd002,W2_GD002 - Is this respondent male or female?,1.0,Male
1181825,NICOLA,Wave2CAPI,w2_gd002,W2_GD002 - Is this respondent male or female?,2.0,Female
1181826,NICOLA,Wave2CAPI,w2_dn002, W2_DN002 In which month were you born?,,
1181827,NICOLA,Wave2CAPI,w2_dn003, W2_DN003 In which year were you born,,
1181828,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,1.0,Under 16
1181829,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,2.0,16 - 24
1181830,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,3.0,25 - 49
1181831,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,4.0,50 - 54
1181832,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,5.0,55 - 59
1181833,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,6.0,60 - 61
1181834,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,7.0,62 - 64
1181835,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,8.0,65 - 69
1181836,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,9.0,70 - 74
1181837,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,10.0,75 - 79
1181838,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,11.0,80 - 84
1181839,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,12.0,85 - 89
1181840,NICOLA,Wave2CAPI,w2_dn003b,W2_DN003b - For the purposes of this research can you tell me if you are aged...,13.0,90 or over
1181841,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,1.0,Some primary (not complete)
1181842,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,2.0,Primary or equivalent
1181843,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,3.0,GCSE/Intermediate/junior/group certificate or equivalent
1181844,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,4.0,A-level/Leaving certificate or equivalent
1181845,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,5.0,Diploma/certificate
1181846,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,6.0,Primary degree
1181847,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,7.0,Postgraduate/higher degree
1181848,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,96.0,None
1181849,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,98.0,Don't know
1181850,NICOLA,Wave2CAPI,w2_dm001, W2_DM001 - What is the highest level of education you have completed?,99.0,Refused
1181851,NICOLA,Wave2CAPI,w2_dm002, W2_DM002 - Where was your father brought up?,1.0,In Belfast city
1181852,NICOLA,Wave2CAPI,w2_dm002, W2_DM002 - Where was your father brought up?,2.0,A city or town in the Northern Ireland other than Belfast
1181853,NICOLA,Wave2CAPI,w2_dm002, W2_DM002 - Where was your father brought up?,3.0,In a rural part of Northern Ireland
1181854,NICOLA,Wave2CAPI,w2_dm002, W2_DM002 - Where was your father brought up?,4.0,In the Republic of Ireland
1181855,NICOLA,Wave2CAPI,w2_dm002, W2_DM002 - Where was your father brought up?,5.0,Another country
1181856,NICOLA,Wave2CAPI,w2_dm002, W2_DM002 - Where was your father brought up?,98.0,Don't know
1181857,NICOLA,Wave2CAPI,w2_dm002, W2_DM002 - Where was your father brought up?,99.0,Refused
1181858,NICOLA,Wave2CAPI,w2_dm003, W2_DM003 - Where was your mother brought up?,1.0,In Belfast city
1181859,NICOLA,Wave2CAPI,w2_dm003, W2_DM003 - Where was your mother brought up?,2.0,A city or town in the Northern Ireland other than Belfast
1181860,NICOLA,Wave2CAPI,w2_dm003, W2_DM003 - Where was your mother brought up?,3.0,In a rural part of Northern Ireland
1181861,NICOLA,Wave2CAPI,w2_dm003, W2_DM003 - Where was your mother brought up?,4.0,In the Republic of Ireland
1181862,NICOLA,Wave2CAPI,w2_dm003, W2_DM003 - Where was your mother brought up?,5.0,Another country
1181863,NICOLA,Wave2CAPI,w2_dm003, W2_DM003 - Where was your mother brought up?,98.0,Don't know
1181864,NICOLA,Wave2CAPI,w2_dm003, W2_DM003 - Where was your mother brought up?,99.0,Refused
1181865,NICOLA,Wave2CAPI,w2_dm003a, W2_DM003a - What age was your mother when you were born?,-99.0,Refused
1181866,NICOLA,Wave2CAPI,w2_dm003a, W2_DM003a - What age was your mother when you were born?,-98.0,Don't know
1181867,NICOLA,Wave2CAPI,w2_dm003b, W2_DM003b - What age was your father when you were born?,-99.0,Refused
1181868,NICOLA,Wave2CAPI,w2_dm003b, W2_DM003b - What age was your father when you were born?,-98.0,Don't know
1181869,NICOLA,Wave2CAPI,w2_dm004, W2_DM004 - Were you living in a rural area when you were about age 14?,1.0,Yes
1181870,NICOLA,Wave2CAPI,w2_dm004, W2_DM004 - Were you living in a rural area when you were about age 14?,2.0,No
1181871,NICOLA,Wave2CAPI,w2_dm004, W2_DM004 - Were you living in a rural area when you were about age 14?,98.0,Don't know
1181872,NICOLA,Wave2CAPI,w2_dm004, W2_DM004 - Were you living in a rural area when you were about age 14?,99.0,Refused
1181873,NICOLA,Wave2CAPI,w2_dm005, W2_DM005 - Would you say that your health during that time was excellent; very ,1.0,Excellent
1181874,NICOLA,Wave2CAPI,w2_dm005, W2_DM005 - Would you say that your health during that time was excellent; very ,2.0,Very good
1181875,NICOLA,Wave2CAPI,w2_dm005, W2_DM005 - Would you say that your health during that time was excellent; very ,3.0,Good
1181876,NICOLA,Wave2CAPI,w2_dm005, W2_DM005 - Would you say that your health during that time was excellent; very ,4.0,Fair
1181877,NICOLA,Wave2CAPI,w2_dm005, W2_DM005 - Would you say that your health during that time was excellent; very ,5.0,Poor
1181878,NICOLA,Wave2CAPI,w2_dm005, W2_DM005 - Would you say that your health during that time was excellent; very ,98.0,Don't know
1181879,NICOLA,Wave2CAPI,w2_dm005, W2_DM005 - Would you say that your health during that time was excellent; very ,99.0,Refused
1181880,NICOLA,Wave2CAPI,w2_dm006, W2_DM006 - Would you say your family during that time was pretty well off finan,1.0,Pretty well off financially
1181881,NICOLA,Wave2CAPI,w2_dm006, W2_DM006 - Would you say your family during that time was pretty well off finan,2.0,About average
1181882,NICOLA,Wave2CAPI,w2_dm006, W2_DM006 - Would you say your family during that time was pretty well off finan,3.0,Poor
1181883,NICOLA,Wave2CAPI,w2_dm006, W2_DM006 - Would you say your family during that time was pretty well off finan,98.0,Don't know
1181884,NICOLA,Wave2CAPI,w2_dm006, W2_DM006 - Would you say your family during that time was pretty well off finan,99.0,Refused
1181885,NICOLA,Wave2CAPI,w2_dm007a, W2_DM007a - While you were growing up; before age 14; did your mother ever work,1.0,Yes
1181886,NICOLA,Wave2CAPI,w2_dm007a, W2_DM007a - While you were growing up; before age 14; did your mother ever work,2.0,No
1181887,NICOLA,Wave2CAPI,w2_dm007a, W2_DM007a - While you were growing up; before age 14; did your mother ever work,98.0,Don't know
1181888,NICOLA,Wave2CAPI,w2_dm007a, W2_DM007a - While you were growing up; before age 14; did your mother ever work,99.0,Refused
1181889,NICOLA,Wave2CAPI,w2_dm008a, W2_DM008a - While you were growing up; before age 14; did your father ever work,1.0,Yes
1181890,NICOLA,Wave2CAPI,w2_dm008a, W2_DM008a - While you were growing up; before age 14; did your father ever work,2.0,No
1181891,NICOLA,Wave2CAPI,w2_dm008a, W2_DM008a - While you were growing up; before age 14; did your father ever work,98.0,Don't know
1181892,NICOLA,Wave2CAPI,w2_dm008a, W2_DM008a - While you were growing up; before age 14; did your father ever work,99.0,Refused
1181893,NICOLA,Wave2CAPI,w2_dm008x, W2_DM008x - Did you share a bedroom with a sibling or other family member when ,1.0,No I did not share a bedroom
1181894,NICOLA,Wave2CAPI,w2_dm008x, W2_DM008x - Did you share a bedroom with a sibling or other family member when ,2.0,Yes; I shared a bedroom for the majority of my childhood
1181895,NICOLA,Wave2CAPI,w2_dm008x, W2_DM008x - Did you share a bedroom with a sibling or other family member when ,3.0,Yes; I shared a bedroom for some of my childhood
1181896,NICOLA,Wave2CAPI,w2_dm008x, W2_DM008x - Did you share a bedroom with a sibling or other family member when ,4.0,Yes; I shared a bedroom for a brief period in my childhood
1181897,NICOLA,Wave2CAPI,w2_dm008x, W2_DM008x - Did you share a bedroom with a sibling or other family member when ,98.0,Don't know
1181898,NICOLA,Wave2CAPI,w2_dm008x, W2_DM008x - Did you share a bedroom with a sibling or other family member when ,99.0,Refused
1181899,NICOLA,Wave2CAPI,w2_dm002ad, W2_DM002ad - Were you adopted as a child?,1.0,Yes
1181900,NICOLA,Wave2CAPI,w2_dm002ad, W2_DM002ad - Were you adopted as a child?,2.0,No
1181901,NICOLA,Wave2CAPI,w2_dm002ad, W2_DM002ad - Were you adopted as a child?,98.0,Don't know
1181902,NICOLA,Wave2CAPI,w2_dm002ad, W2_DM002ad - Were you adopted as a child?,99.0,Refused
1181903,NICOLA,Wave2CAPI,w2_cs006,W2_CS006 - Marital Status,1.0,Married
1181904,NICOLA,Wave2CAPI,w2_cs006,W2_CS006 - Marital Status,2.0,Living with a partner as if married
1181905,NICOLA,Wave2CAPI,w2_cs006,W2_CS006 - Marital Status,3.0,Single (never married)
1181906,NICOLA,Wave2CAPI,w2_cs006,W2_CS006 - Marital Status,4.0,Separated
1181907,NICOLA,Wave2CAPI,w2_cs006,W2_CS006 - Marital Status,5.0,Divorced
1181908,NICOLA,Wave2CAPI,w2_cs006,W2_CS006 - Marital Status,6.0,Widowed
1181909,NICOLA,Wave2CAPI,w2_dm015a, W2_DM015A - Is your father still alive?,1.0,Yes
1181910,NICOLA,Wave2CAPI,w2_dm015a, W2_DM015A - Is your father still alive?,2.0,No
1181911,NICOLA,Wave2CAPI,w2_dm015a, W2_DM015A - Is your father still alive?,98.0,Don't know
1181912,NICOLA,Wave2CAPI,w2_dm015a, W2_DM015A - Is your father still alive?,99.0,Refused
1181913,NICOLA,Wave2CAPI,w2_dm016a, W2_DM016A - How old is your father?,-99.0,Refused
1181914,NICOLA,Wave2CAPI,w2_dm016a, W2_DM016A - How old is your father?,-98.0,Don't know
1181915,NICOLA,Wave2CAPI,w2_dm017a, W2_DM017A - Can your father be left alone for an hour or more?,1.0,Yes
1181916,NICOLA,Wave2CAPI,w2_dm017a, W2_DM017A - Can your father be left alone for an hour or more?,2.0,No
1181917,NICOLA,Wave2CAPI,w2_dm017a, W2_DM017A - Can your father be left alone for an hour or more?,98.0,Don't know
1181918,NICOLA,Wave2CAPI,w2_dm017a, W2_DM017A - Can your father be left alone for an hour or more?,99.0,Refused
1181919,NICOLA,Wave2CAPI,w2_dm018a, W2_DM018A - Would you say that your father's health is:,1.0,Excellent
1181920,NICOLA,Wave2CAPI,w2_dm018a, W2_DM018A - Would you say that your father's health is:,2.0,Very good
1181921,NICOLA,Wave2CAPI,w2_dm018a, W2_DM018A - Would you say that your father's health is:,3.0,Good
1181922,NICOLA,Wave2CAPI,w2_dm018a, W2_DM018A - Would you say that your father's health is:,4.0,Fair
1181923,NICOLA,Wave2CAPI,w2_dm018a, W2_DM018A - Would you say that your father's health is:,5.0,Poor
1181924,NICOLA,Wave2CAPI,w2_dm018a, W2_DM018A - Would you say that your father's health is:,98.0,Don't know
1181925,NICOLA,Wave2CAPI,w2_dm018a, W2_DM018A - Would you say that your father's health is:,99.0,Refused
1181926,NICOLA,Wave2CAPI,w2_dm019a, W2_DM019A - How old was your father when she died?,-99.0,Refused
1181927,NICOLA,Wave2CAPI,w2_dm019a, W2_DM019A - How old was your father when she died?,-98.0,Don't know
1181928,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,1.0,January
1181929,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,2.0,February
1181930,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,3.0,March
1181931,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,4.0,April
1181932,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,5.0,May
1181933,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,6.0,June
1181934,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,7.0,July
1181935,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,8.0,August
1181936,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,9.0,September
1181937,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,10.0,October
1181938,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,11.0,November
1181939,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,12.0,December
1181940,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,98.0,Don't know
1181941,NICOLA,Wave2CAPI,w2_dm021a_m, W2_DM021A_M - What month did your father die?,99.0,Refused
1181942,NICOLA,Wave2CAPI,w2_dm021a_y, W2_DM021A_Y - What year did your father die?,-99.0,Refused
1181943,NICOLA,Wave2CAPI,w2_dm021a_y, W2_DM021A_Y - What year did your father die?,-98.0,Don't know
1181944,NICOLA,Wave2CAPI,w2_dm009a, W2_DM009A - Is your mother still alive?,1.0,Yes
1181945,NICOLA,Wave2CAPI,w2_dm009a, W2_DM009A - Is your mother still alive?,2.0,No
1181946,NICOLA,Wave2CAPI,w2_dm009a, W2_DM009A - Is your mother still alive?,98.0,Don't know
1181947,NICOLA,Wave2CAPI,w2_dm009a, W2_DM009A - Is your mother still alive?,99.0,Refused
1181948,NICOLA,Wave2CAPI,w2_dm010a, W2_DM010A - How old is your mother?,-99.0,Refused
1181949,NICOLA,Wave2CAPI,w2_dm010a, W2_DM010A - How old is your mother?,-98.0,Don't know
1181950,NICOLA,Wave2CAPI,w2_dm011a, W2_DM011A - Can your mother be left alone for an hour or more?,1.0,Yes
1181951,NICOLA,Wave2CAPI,w2_dm011a, W2_DM011A - Can your mother be left alone for an hour or more?,2.0,No
1181952,NICOLA,Wave2CAPI,w2_dm011a, W2_DM011A - Can your mother be left alone for an hour or more?,98.0,Don't know
1181953,NICOLA,Wave2CAPI,w2_dm011a, W2_DM011A - Can your mother be left alone for an hour or more?,99.0,Refused
1181954,NICOLA,Wave2CAPI,w2_dm012a, W2_DM012A - Would you say that your mother's health is:,1.0,Excellent
1181955,NICOLA,Wave2CAPI,w2_dm012a, W2_DM012A - Would you say that your mother's health is:,2.0,Very good
1181956,NICOLA,Wave2CAPI,w2_dm012a, W2_DM012A - Would you say that your mother's health is:,3.0,Good
1181957,NICOLA,Wave2CAPI,w2_dm012a, W2_DM012A - Would you say that your mother's health is:,4.0,Fair
1181958,NICOLA,Wave2CAPI,w2_dm012a, W2_DM012A - Would you say that your mother's health is:,5.0,Poor
1181959,NICOLA,Wave2CAPI,w2_dm012a, W2_DM012A - Would you say that your mother's health is:,98.0,Don't know
1181960,NICOLA,Wave2CAPI,w2_dm012a, W2_DM012A - Would you say that your mother's health is:,99.0,Refused
1181961,NICOLA,Wave2CAPI,w2_dm013a, W2_DM013A - How old was your mother when she died?,-99.0,Refused
1181962,NICOLA,Wave2CAPI,w2_dm013a, W2_DM013A - How old was your mother when she died?,-98.0,Don't know
1181963,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,1.0,January
1181964,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,2.0,February
1181965,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,3.0,March
1181966,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,4.0,April
1181967,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,5.0,May
1181968,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,6.0,June
1181969,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,7.0,July
1181970,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,8.0,August
1181971,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,9.0,September
1181972,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,10.0,October
1181973,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,11.0,November
1181974,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,12.0,December
1181975,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,98.0,Don't know
1181976,NICOLA,Wave2CAPI,w2_dm014a_m, W2_DM014A_M - What month did your mother die?,99.0,Refused
1181977,NICOLA,Wave2CAPI,w2_dm014a_y, W2_DM014A_Y - What year did your mother die?,-99.0,Refused
1181978,NICOLA,Wave2CAPI,w2_dm014a_y, W2_DM014A_Y - What year did your mother die?,-98.0,Don't know
1181979,NICOLA,Wave2CAPI,w2_ph001,W2_PH001 - Would you say your health is...?,1.0,Excellent
1181980,NICOLA,Wave2CAPI,w2_ph001,W2_PH001 - Would you say your health is...?,2.0,Very good
1181981,NICOLA,Wave2CAPI,w2_ph001,W2_PH001 - Would you say your health is...?,3.0,Good
1181982,NICOLA,Wave2CAPI,w2_ph001,W2_PH001 - Would you say your health is...?,4.0,Fair
1181983,NICOLA,Wave2CAPI,w2_ph001,W2_PH001 - Would you say your health is...?,5.0,or; poor?
1181984,NICOLA,Wave2CAPI,w2_ph001,W2_PH001 - Would you say your health is...?,98.0,Don't know
1181985,NICOLA,Wave2CAPI,w2_ph001,W2_PH001 - Would you say your health is...?,99.0,Refused
1181986,NICOLA,Wave2CAPI,w2_ph002,W2_PH002 - What about your emotional or mental health? Is it...,1.0,Excellent
1181987,NICOLA,Wave2CAPI,w2_ph002,W2_PH002 - What about your emotional or mental health? Is it...,2.0,Very good
1181988,NICOLA,Wave2CAPI,w2_ph002,W2_PH002 - What about your emotional or mental health? Is it...,3.0,Good
1181989,NICOLA,Wave2CAPI,w2_ph002,W2_PH002 - What about your emotional or mental health? Is it...,4.0,Fair
1181990,NICOLA,Wave2CAPI,w2_ph002,W2_PH002 - What about your emotional or mental health? Is it...,5.0,or; poor?
1181991,NICOLA,Wave2CAPI,w2_ph002,W2_PH002 - What about your emotional or mental health? Is it...,98.0,Don't know
1181992,NICOLA,Wave2CAPI,w2_ph002,W2_PH002 - What about your emotional or mental health? Is it...,99.0,Refused
1181993,NICOLA,Wave2CAPI,w2_ph003,W2_PH003 - Do you have any long-term health problems; illness; disability or inf,1.0,Yes
1181994,NICOLA,Wave2CAPI,w2_ph003,W2_PH003 - Do you have any long-term health problems; illness; disability or inf,2.0,No
1181995,NICOLA,Wave2CAPI,w2_ph003,W2_PH003 - Do you have any long-term health problems; illness; disability or inf,98.0,Don't know
1181996,NICOLA,Wave2CAPI,w2_ph003,W2_PH003 - Do you have any long-term health problems; illness; disability or inf,99.0,Refused
1181997,NICOLA,Wave2CAPI,w2_ph004,W2_PH004 - Does this illness or disability limit your activities in any way?,1.0,Yes
1181998,NICOLA,Wave2CAPI,w2_ph004,W2_PH004 - Does this illness or disability limit your activities in any way?,2.0,No
1181999,NICOLA,Wave2CAPI,w2_ph004,W2_PH004 - Does this illness or disability limit your activities in any way?,98.0,Don't know
1182000,NICOLA,Wave2CAPI,w2_ph004,W2_PH004 - Does this illness or disability limit your activities in any way?,99.0,Refused
1182001,NICOLA,Wave2CAPI,w2_ph005,W2_PH005 - For the past six months or more; to what extent have you been limited,1.0,Severely limited
1182002,NICOLA,Wave2CAPI,w2_ph005,W2_PH005 - For the past six months or more; to what extent have you been limited,2.0,Limited; but not severely
1182003,NICOLA,Wave2CAPI,w2_ph005,W2_PH005 - For the past six months or more; to what extent have you been limited,3.0,Not limited
1182004,NICOLA,Wave2CAPI,w2_ph005,W2_PH005 - For the past six months or more; to what extent have you been limited,98.0,Don't know
1182005,NICOLA,Wave2CAPI,w2_ph005,W2_PH005 - For the past six months or more; to what extent have you been limited,99.0,Refused
1182006,NICOLA,Wave2CAPI,w2_ph006,W2_PH006 - Do you have any health problem or disability that limits the kind or ,1.0,Yes
1182007,NICOLA,Wave2CAPI,w2_ph006,W2_PH006 - Do you have any health problem or disability that limits the kind or ,2.0,No
1182008,NICOLA,Wave2CAPI,w2_ph006,W2_PH006 - Do you have any health problem or disability that limits the kind or ,98.0,Don't know
1182009,NICOLA,Wave2CAPI,w2_ph006,W2_PH006 - Do you have any health problem or disability that limits the kind or ,99.0,Refused
1182010,NICOLA,Wave2CAPI,w2_ph007,W2_PH007 - Is this a health problem or disability that you expect to last less t,1.0,Yes
1182011,NICOLA,Wave2CAPI,w2_ph007,W2_PH007 - Is this a health problem or disability that you expect to last less t,2.0,No
1182012,NICOLA,Wave2CAPI,w2_ph007,W2_PH007 - Is this a health problem or disability that you expect to last less t,98.0,Don't know
1182013,NICOLA,Wave2CAPI,w2_ph007,W2_PH007 - Is this a health problem or disability that you expect to last less t,99.0,Refused
1182014,NICOLA,Wave2CAPI,w2_ph008,W2_PH008 - In the past year have you lost 10 pounds (ï¿½ stone; 4.5 kg) or more in,1.0,Yes
1182015,NICOLA,Wave2CAPI,w2_ph008,W2_PH008 - In the past year have you lost 10 pounds (ï¿½ stone; 4.5 kg) or more in,2.0,No
