variable_name,value_value,value_label,avail_from_dt,table_name
W2_GD002,1,Male,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_GD002,2,Female,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,1,Under 16,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,2,16 - 24,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,3,25 - 49,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,4,50 - 54,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,5,55 - 59,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,6,60 - 61,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,7,62 - 64,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,8,65 - 69,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,9,70 - 74,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,10,75 - 79,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,11,80 - 84,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,12,85 - 89,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DN003b,13,90 or over,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,1,Some primary (not complete),2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,2,Primary or equivalent,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,3,GCSE/Intermediate/junior/group certificate or equivalent,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,4,A-level/Leaving certificate or equivalent,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,5,Diploma/certificate,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,6,Primary degree,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,7,Postgraduate/higher degree,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,96,None,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,98,Don't know,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM001,99,Refused,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM002,1,In Belfast city,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
W2_DM002,2,A city or town in the Northern Ireland other than Belfast,2022-03-26 22:02:27.520,Wave2CAPI_v0001_20220302
