table_name,variable_name,variable_label,avail_from_dt
Bioresource_v0001_20210719,ID,ID: Study participant identifier: Random integer value,2022-03-01 10:30:00
Bioresource_v0001_20210719,Sex,Sex: What was your assigned sex at birth?: 0 = Male; 1 = Female,2022-03-01 10:30:00
Bioresource_v0001_20210719,Gender,"Gender: Which gender do you identify with? 0 = Male, 1 = Female, 2 = Non-binary, 3 = Prefer to self-define",2022-03-01 10:30:00
Bioresource_v0001_20210719,Ethinicity,"Ethnicity: What is your ethnic origin? 1 = White, 2 = Mixed or multiple ethnic groups, 3 = Asian or Asian British, 4 = Black or Black British, 5 = Arab, 6 = Other",2022-03-01 10:30:00
Bioresource_v0001_20210719,Age,Age: How old are you now? Numeric scale starting at 0 measured in years,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,"Age_category: Groups the participants into age categories. 16-18 = 1, 19-25 = 2, 26-35 = 3, 36-45 = 4, 46-55 = 5, 56-65 = 6, 66-70 = 7, 71-75 = 8, 76-80 = 9, 81-85 = 10, 86-90 = 11, 91-100 = 12, 100+ = 13.",2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthdate,Birthdate: Contains the DOB of the NBR participants. yyyy-mm-dd,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthyear_numeric,Birthyear_numeric: What is your date of birth? 4-digit integer reflecting year of birth (NBR pt's only),2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,Birthmonth_month: What is your date of birth? 1-digit integer reflecting month of birth (NBR pt's only),2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,Birthday_numeric: What is your date of birth? 1/2-digit integer reflecting day of birth (NBR pt's only),2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education_prepan,"highest_education_prepan: Reflects participant's highest level of education before pandemic. GCSE/CSE = 1, NVQ = 2, A-levels = 3, University = 4.",2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_college_or_university_degree,"demographics.college_or_university_degree: Which of the qualifications do you have? Not college or university degree = 0, College or university degree = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_a_levelsas_levels_or_equivalent,"demographics.a_levelsas_levels_or_equivalent: Which of the qualifications do you have? Not A levels/AS levels or equivalent = 0, A levels/AS levels or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_o_levelsgcses_or_equivalent,"demographics.o_levelsgcses_or_equivalent: Which of the qualifications do you have? Not O levels/GCSEs or equivalent = 0, O levels/GCSEs or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_cses_or_equivalent,"demographics.cses_or_equivalent: Which of the qualifications do you have? Not CSEs or equivalent = 0, CSEs or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_nvq_or_hnd_or_hnc_or_equivalent,"demographics.nvq_or_hnd_or_hnc_or_equivalent: Which of the qualifications do you have? Not NVQ or equivalent = 0, NVQ or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education,"highest_education: Reflects participants highest level of education at the COPING baseline. GCSE/CSE = 1, NVQ = 2, A-levels = 3, University = 4.",2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_phd,"employment.phd: Which of these qualifications do you have? Not PhD = 0, PhD = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_masters_degree_or_equivalent,"employment.masters_degree_or_equivalent: Which of these qualifications do you have? Not masters degree or equivalent = 0, Masters degree or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_postgraduate_degree_or_equivalent,"employment.postgraduate_degree_or_equivalent: Which of these qualifications do you have? Not postgraduate degree or equivalent = 0, Postgraduate degree or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_bachelors_degree_or_equivalent,"employment.bachelors_degree_or_equivalent: Which of these qualifications do you have? Not bachelors degree or equivalent = 0, Bachelors degree or equivalent",2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_a_levelsas_levels_or_equivalent,"employment.a_levelsas_levels_or_equivalent: Which of these qualifications do you have? Not A levels/AS levels or equivalent = 0, A levels/AS levels or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_o_levelsgcses_or_equivalent,"employment.o_levelsgcses_or_equivalent: Which of these qualifications do you have? Not O levels/GCSEs or equivalent = 0, O levels/GCSEs or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_cses_or_equivalent,"employment.cses_or_equivalent: Which of these qualifications do you have? Not CSEs or equivalent = 0, CSEs or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_nvq_or_hnd_or_hnc_or_equivalent,"employment.nvq_or_hnd_or_hnc_or_equivalent: Which of these qualifications do you have? Not NVQ or equivalent = 0, NVQ or equivalent = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_prior_covid,"employment_prior_covid: Reflects participants employment status prior to the pandmeic. Employed = 1, Unemployed = 2, Retired = 3, Student = 4.",2022-03-01 10:30:00
Bioresource_v0001_20210719,employ_fulltime_employed,"employ.fulltime_employed: What was your employment status prior to the pandemic? Not full-time employed = 0, Full-time employed = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employ_parttime_employed,"employ.parttime_employed: What was your employment status prior to the pandemic? Not part-time employed = 0, Part-time employed = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employ_unemployed,"employ.unemployed: What was your employment status prior to the pandemic? Not unemployed = 0, Unemployed = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employ_zerohours_contract,"employ.zerohours_contract: What was your employment status prior to the pandemic? Not zero-hours contract = 0, Zero-hours contract = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employ_stayathome_parent_or_carer,"employ.stayathome_parent_or_carer: What was your employment status prior to the pandemic? Not stay-at-home parent or carer = 0, Stay-at-home parent or carer = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employ_selfemployed,"employ.selfemployed: What was your employment status prior to the pandemic? Not self-employed = 0, Self-employed = 1",2022-03-01 10:30:00
Bioresource_v0001_20210719,employ_contract_or_freelance_work,"employ.contract_or_freelance_work: What was your employment status prior to the pandemic? Not contract or freelance work = 0, contract or freelance work = 1",2022-03-01 10:30:00
