table_name,variable_name,value_value,value_label,avail_from_dt
Bioresource_v0001_20210719,Sex,0,Male,2022-03-01 10:30:00
Bioresource_v0001_20210719,Sex,1,Female,2022-03-01 10:30:00
Bioresource_v0001_20210719,Gender,0,Male,2022-03-01 10:30:00
Bioresource_v0001_20210719,Gender,1,Female,2022-03-01 10:30:00
Bioresource_v0001_20210719,Gender,2,Non-binary,2022-03-01 10:30:00
Bioresource_v0001_20210719,Gender,3,Prefer to self-define,2022-03-01 10:30:00
Bioresource_v0001_20210719,Ethinicity,1,White,2022-03-01 10:30:00
Bioresource_v0001_20210719,Ethinicity,2,Mixed or multiple ethnic groups,2022-03-01 10:30:00
Bioresource_v0001_20210719,Ethinicity,3,Asian or Asian British,2022-03-01 10:30:00
Bioresource_v0001_20210719,Ethinicity,4,Black or Black British,2022-03-01 10:30:00
Bioresource_v0001_20210719,Ethinicity,5,Arab,2022-03-01 10:30:00
Bioresource_v0001_20210719,Ethinicity,6,Other ethnic group,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age,Numeric scale from 0,Age in years,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,1,16-18,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,2,19-25,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,3,26-35,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,4,36-45,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,5,46-55,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,6,56-65,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,7,66-70,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,8,71-75,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,9,76-80,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,10,81-85,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,11,86-90,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,12,91-100,2022-03-01 10:30:00
Bioresource_v0001_20210719,Age_category,13,100+,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthdate,yyyy-mm-dd,DOB,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthyear_numeric,yyyy,Year of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,1,January,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,2,February,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,3,March,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,4,April,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,5,May,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,6,June,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,7,July,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,8,August,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,9,September,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,10,October,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,11,November,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthmonth_numeric,12,December,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,1,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,2,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,3,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,4,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,5,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,6,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,7,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,8,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,9,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,10,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,11,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,12,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,13,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,14,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,15,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,16,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,17,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,18,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,19,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,20,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,21,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,22,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,23,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,24,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,25,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,26,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,27,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,28,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,29,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,30,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,Birthday_numeric,31,Day of birth,2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education_prepan,1,GCSE/CSE,2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education_prepan,2,NVQ,2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education_prepan,3,A-levels,2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education_prepan,4,University,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_college_or_university_degree,0,Not College or university degree,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_college_or_university_degree,1,College or university degree,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_a_levelsas_levels_or_equivalent,0,Not A levels/AS levels or equivalent,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_a_levelsas_levels_or_equivalent,1,A levels/AS levels or equivalent,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_o_levelsgcses_or_equivalent,0,Not O levels/GCSEs or equivalent,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_o_levelsgcses_or_equivalent,1,O levels/GCSEs or equivalent,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_cses_or_equivalent,0,Not CSEs or equivalent,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_cses_or_equivalent,1,CSEs or equivalent,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_nvq_or_hnd_or_hnc_or_equivalent,0,Not NVQ or HND or HNC or equivalent,2022-03-01 10:30:00
Bioresource_v0001_20210719,demographics_nvq_or_hnd_or_hnc_or_equivalent,1,NVQ or HND or HNC or equivalent,2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education,1,GCSE/CSE,2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education,2,NVQ,2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education,3,A-levels,2022-03-01 10:30:00
Bioresource_v0001_20210719,highest_education,4,University,2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_phd,0,Not PhD,2022-03-01 10:30:00
Bioresource_v0001_20210719,employment_phd,1,PhD,2022-03-01 10:30:00
