variable_name,value_value,value_label,avail_from_dt,table_name
CW1_COVID19,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID19,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID19,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID19,1,"Yes, confirmed by a positive test",2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID19,2,"Yes, based on strong personal suspicion or medical advice",2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID19,3,Unsure,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID19,4,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_1,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_1,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_1,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_1,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_1,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_2,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_2,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_2,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_2,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_2,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_3,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_3,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_3,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_3,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_3,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_4,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_4,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_4,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_4,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_4,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_5,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_5,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_5,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_5,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_5,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_6,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_6,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_6,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_6,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_6,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_7,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_7,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_7,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_7,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_7,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_8,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_8,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_8,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_8,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_8,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_18,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_18,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_18,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_18,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_18,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_10,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_10,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_10,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_10,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_10,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_11,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_11,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_11,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_11,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_11,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_12,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_12,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_12,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_12,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_12,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_16,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_16,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_16,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_16,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_16,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_13,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_13,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_13,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_13,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_13,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_14,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_14,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_14,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_14,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_14,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_17,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_17,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_17,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_17,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_17,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_19,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_19,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_19,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_19,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_19,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_20,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_20,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_20,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_20,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_20,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_23,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_23,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_23,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_23,1,No symptoms,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDSYMPT_23,2,Symptoms experienced,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_1,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_1,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_1,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_1,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_1,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_2,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_2,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_2,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_2,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_2,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_3,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_3,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_3,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_3,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_3,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_4,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_4,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_4,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_4,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_4,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_5,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_5,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_5,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_5,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_5,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_6,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_6,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_6,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_6,1,No - not discussed,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDADV_6,2,Yes - Symptoms: discussed,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID_HOSPAD,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID_HOSPAD,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID_HOSPAD,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID_HOSPAD,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVID_HOSPAD,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDTEST,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDTEST,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDTEST,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDTEST,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDTEST,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDRESULT,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDRESULT,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDRESULT,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDRESULT,1,Positive - it showed I had coronavirus,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDRESULT,2,Negative - it showed I did not have coronavirus,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDRESULT,3,Inconclusive,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_COVIDRESULT,4,Waiting for results,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQ,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQ,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQ,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQ,1,Excellent,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQ,2,Very good,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQ,3,Good,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQ,4,Fair,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQ,5,Poor,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQPRECOVID,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQPRECOVID,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQPRECOVID,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQPRECOVID,1,Excellent,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQPRECOVID,2,Very good,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQPRECOVID,3,Good,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQPRECOVID,4,Fair,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_GHQPRECOVID,5,Poor,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_1,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_1,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_1,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_1,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_1,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_2,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_2,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_2,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_2,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_2,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_3,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_3,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_3,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_3,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_3,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_4,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_4,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_4,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_4,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_4,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_5,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_5,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_5,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_5,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_5,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_6,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_6,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_6,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_6,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_6,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_7,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_7,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_7,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_7,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_7,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_8,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_8,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_8,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_8,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_8,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_9,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_9,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_9,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_9,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_9,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_10,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_10,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_10,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_10,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_10,2,No,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_11,-8,No information,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_11,-7,no NSHD questionnaire,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_11,-1,Not applicable,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
CW1_LLI_11,1,Yes,2022-01-10 11:41:57.737,COVIDW1WEBPOSTAL_v0001_20211101
