,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1186440,NSHD46,COVIDW2WEBPOSTAL,study_id_e,,,
1186441,NSHD46,COVIDW2WEBPOSTAL,cw2_cohort,Cohort group of repsondent,-7.0,No Questionnaire
1186442,NSHD46,COVIDW2WEBPOSTAL,cw2_cohort,Cohort group of repsondent,-1.0,Not applicable
1186443,NSHD46,COVIDW2WEBPOSTAL,cw2_cohort,Cohort group of repsondent,1.0,NCDS
1186444,NSHD46,COVIDW2WEBPOSTAL,cw2_cohort,Cohort group of repsondent,2.0,BCS70
1186445,NSHD46,COVIDW2WEBPOSTAL,cw2_cohort,Cohort group of repsondent,3.0,Next Steps
1186446,NSHD46,COVIDW2WEBPOSTAL,cw2_cohort,Cohort group of repsondent,4.0,MCS
1186447,NSHD46,COVIDW2WEBPOSTAL,cw2_cohort,Cohort group of repsondent,5.0,1946
1186448,NSHD46,COVIDW2WEBPOSTAL,cw2_group,Group of repsondent,-7.0,No Questionnaire
1186449,NSHD46,COVIDW2WEBPOSTAL,cw2_group,Group of repsondent,-1.0,Not applicable
1186450,NSHD46,COVIDW2WEBPOSTAL,cw2_group,Group of repsondent,1.0,NCDS
1186451,NSHD46,COVIDW2WEBPOSTAL,cw2_group,Group of repsondent,2.0,BCS70
1186452,NSHD46,COVIDW2WEBPOSTAL,cw2_group,Group of repsondent,3.0,Next Steps
1186453,NSHD46,COVIDW2WEBPOSTAL,cw2_group,Group of repsondent,4.0,MCS Cohort Member
1186454,NSHD46,COVIDW2WEBPOSTAL,cw2_group,Group of repsondent,5.0,MCS Parent
1186455,NSHD46,COVIDW2WEBPOSTAL,cw2_group,Group of repsondent,6.0,NSHD Web Questionnaire
1186456,NSHD46,COVIDW2WEBPOSTAL,cw2_group,Group of repsondent,7.0,NSHD Postal Questionnaire
1186457,NSHD46,COVIDW2WEBPOSTAL,cw2_outcome,Outcome for Covid19 wave 2 survey,-5.0,Not collected on NSHD Postal survey
1186458,NSHD46,COVIDW2WEBPOSTAL,cw2_outcome,Outcome for Covid19 wave 2 survey,1.0,Productive
1186459,NSHD46,COVIDW2WEBPOSTAL,cw2_outcome,Outcome for Covid19 wave 2 survey,2.0,Partially productive
1186460,NSHD46,COVIDW2WEBPOSTAL,cw2_outcome,Outcome for Covid19 wave 2 survey,3.0,Unproductive
1186461,NSHD46,COVIDW2WEBPOSTAL,cw2_psex,Sex of respondent,-7.0,no NSHD questionnaire
1186462,NSHD46,COVIDW2WEBPOSTAL,cw2_psex,Sex of respondent,-5.0,Not collected on NSHD Postal survey
1186463,NSHD46,COVIDW2WEBPOSTAL,cw2_psex,Sex of respondent,-1.0,Not Applicable
1186464,NSHD46,COVIDW2WEBPOSTAL,cw2_psex,Sex of respondent,1.0,Male
1186465,NSHD46,COVIDW2WEBPOSTAL,cw2_psex,Sex of respondent,2.0,Female
1186466,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19,Whether Respondent has had Coronavirus,-9.0,Don't want to answer
1186467,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19,Whether Respondent has had Coronavirus,-8.0,Don't know/No information
1186468,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19,Whether Respondent has had Coronavirus,-7.0,no NSHD questionnaire
1186469,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19,Whether Respondent has had Coronavirus,-1.0,Not Applicable
1186470,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19,Whether Respondent has had Coronavirus,1.0,"Yes, confirmed by a positive test"
1186471,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19,Whether Respondent has had Coronavirus,2.0,"Yes, based on strong personal suspicion or medical advice"
1186472,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19,Whether Respondent has had Coronavirus,3.0,Unsure
1186473,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19,Whether Respondent has had Coronavirus,4.0,No
1186474,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,-9.0,Don't want to answer
1186475,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,-8.0,Don't know/No information
1186476,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,-7.0,no NSHD questionnaire
1186477,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,-1.0,Not Applicable
1186478,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,1.0,February or earlier
1186479,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,2.0,March
1186480,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,3.0,April
1186481,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,4.0,May
1186482,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,5.0,June
1186483,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,6.0,July
1186484,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,7.0,August
1186485,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,8.0,September
1186486,NSHD46,COVIDW2WEBPOSTAL,cw2_covid19pos,When had coronavirus,9.0,October
1186487,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-9.0,Don't want to answer
1186488,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-8.0,Don't know/No information
1186489,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-7.0,no NSHD questionnaire
1186490,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-1.0,Not Applicable
1186491,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,1.0,Yes
1186492,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,2.0,No
1186493,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-9.0,Don't want to answer
1186494,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-8.0,Don't know/No information
1186495,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-7.0,no NSHD questionnaire
1186496,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-1.0,Not Applicable
1186497,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,1.0,Yes
1186498,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,2.0,No
1186499,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_3,Past 2 weeks whether accessed online advice about COVID19 at NHS 111 or NHS 24,-9.0,Don't want to answer
1186500,NSHD46,COVIDW2WEBPOSTAL,cw2_covidadv_3,Past 2 weeks whether accessed online advice about COVID19 at NHS 111 or NHS 24,-8.0,Don't know/No information
