variable_name,variable_label,avail_from_dt,table_name
STUDY_ID,None,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_OUTCOME,Outcome for Covid19 wave 3 survey,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_W1OUTCOME,Wave 1 response status,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_W2OUTCOME,Wave 2 response status,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_Cohort,Cohort group of respondent,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_GROUP,Group of respondent,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_PSEX,Sex of respondent,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_EMIGRANT,Emigrant interview flag,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVID19,Whether CM has had Coronavirus,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVID19POS,When had coronavirus,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDADV_1,Whether discussed Past 2 weeks COVID19 symptoms: Yes - discussed symptoms with doctor/GP/practice nurse,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDADV_2,Whether discussed Past 2 weeks COVID19 symptoms: Yes - discussed symptoms with NHS 111 in England,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDADV_3,Whether discussed Past 2 weeks COVID19 symptoms: Yes - accessed online advice at NHS 111 in England,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDADV_4,Whether discussed Past 2 weeks COVID19 symptoms: Yes - visited pharmacist,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDADV_5,Whether discussed Past 2 weeks COVID19 symptoms: Yes - visited A&E or walk in centre,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDADV_6,Past 2 weeks: Not discussed COVID19 symptoms with healthcare professionals,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVID_HOSPAD,Whether been admitted to hospital with COVID19,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDTEST_1,Whether been tested for Coronavirus: Yes â€“ a throat swab or nasal swab or saliva test or nasal mucus test for current infection,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDTEST_2,Whether been tested for Coronavirus: Yes â€“ a finger stick or blood test or serology test or antibody test for past infection,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDTEST_3,Whether been tested for Coronavirus: Yes â€“ but I donâ€™t know which type,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDTEST_4,Never been tested for Coronavirus,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDCURRESULT,Result of throat swab or nasal swab or saliva test or nasal mucus test,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDCURWHEN,When was positive throat swab or nasal swab or saliva test or nasal mucus test,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDPASRESULT,Result of finger stick or blood test or serology test or antibody test for past infection,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDPASWHEN,When was positive  finger stick or blood test or serology test,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDINCRESULT,Result of Coronavirus test,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVIDINCWHEN,When was positive Coronavirus test,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVFUNC,Length of time CM unable to function as normal due to Coronavirus symptoms,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVBED,Length of time so unwell that CM stayed in bed or on the sofa due to Coronavirus,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVNEWILL,Have been told by a doctor that may have a new condition,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVNEWILT_1,New condition doctor has linked to coronavirus- Post-viral fatigue,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVNEWILT_2,New condition doctor has linked to coronavirus- A blood clot in the leg,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVNEWILT_3,New condition doctor has linked to coronavirus- A heart condition,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVNEWILT_4,New condition doctor has linked to coronavirus- A lung condition,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVNEWILT_5,New condition doctor has linked to coronavirus- A condition affecting the mind or brain,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVNEWILT_6,New condition doctor has linked to coronavirus- A condition affecting the nervous system outside the brain,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVNEWILT_7,New condition doctor has linked to coronavirus- Thyroid disease,2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
CW3_COVNEWILT_8,New condition doctor has linked to coronavirus- Other (specify),2022-01-10 11:51:40.327,COVIDW3WEB_v0001_20211101
