variable_name,variable_label,avail_from_dt,table_name
STUDY_ID,Unique study ID,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
sex,Sex - taken from 5;362 list,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
agepo14x,Age in months at 2014 Postal Questionnaire,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
inf,Inflation factor to adjust for stratified sample updated 11/10/96,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
lhqr,Highest educational attainment (up to age 26 years),2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
own14xrec,Does your household own or rent your accommodation? 2014,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
chsc,Childhood Social Class,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
sc1553,Overall Social Class (SC) sm 15-53,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
scr99u,SC of curr/most Rec job in 1999,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
inchn15x,Which represents your total net household income?,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
med,Mother's education,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
fed,Education of survey child's father,2022-03-26 01:00:40.557,SOCIODEMOGRAPHICS_v0001_20211101
