,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1201987,SABRE,COVID_WAVE2YES,study_id_e,,,
1201988,SABRE,COVID_WAVE2YES,cw2_covdtday,Date of Covid-19 Survey Completed - Day,,
1201989,SABRE,COVID_WAVE2YES,cw2_covdtmnth,Date of Covid-19 Survey Completed - Month,,
1201990,SABRE,COVID_WAVE2YES,cw2_covprxy,Whether Covid-19 Survey completed by proxy on behalf of the study member,,
1201991,SABRE,COVID_WAVE2YES,cw2_covprxydtl,Relationship of proxy to survey member,,
1201992,SABRE,COVID_WAVE2YES,cw2_covid19,Whether CM has had Coronavirus,-9.0,Don't want to answer
1201993,SABRE,COVID_WAVE2YES,cw2_covid19,Whether CM has had Coronavirus,-8.0,Donâ€™t Know
1201994,SABRE,COVID_WAVE2YES,cw2_covid19,Whether CM has had Coronavirus,-1.0,Not Applicable
1201995,SABRE,COVID_WAVE2YES,cw2_covid19,Whether CM has had Coronavirus,1.0,"Yes, confirmed by a positive test"
1201996,SABRE,COVID_WAVE2YES,cw2_covid19,Whether CM has had Coronavirus,2.0,"Yes, based on strong personal suspicion or medical advice"
1201997,SABRE,COVID_WAVE2YES,cw2_covid19,Whether CM has had Coronavirus,3.0,Unsure
1201998,SABRE,COVID_WAVE2YES,cw2_covid19,Whether CM has had Coronavirus,4.0,No
1201999,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,-9.0,Don't want to answer
1202000,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,-8.0,Donâ€™t Know
1202001,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,-1.0,Not Applicable
1202002,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,1.0,February or earlier
1202003,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,2.0,March
1202004,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,3.0,April
1202005,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,4.0,May
1202006,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,5.0,June
1202007,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,6.0,July
1202008,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,7.0,August
1202009,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,8.0,September
1202010,SABRE,COVID_WAVE2YES,cw2_covid19pos,When had coronavirus,9.0,October
1202011,SABRE,COVID_WAVE2YES,cw2_covidadv_1,Whether discussed Past 2 weeks COVID19 symptoms: Yes - discussed symptoms with d,-9.0,Don't want to answer
