variable_name,value_value,value_label,avail_from_dt,table_name
CW2_COVID19,-9,Don't want to answer,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19,-8,Donâ€™t Know,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19,-1,Not Applicable,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19,1,"Yes, confirmed by a positive test",2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19,2,"Yes, based on strong personal suspicion or medical advice",2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19,3,Unsure,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19,4,No,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,-9,Don't want to answer,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,-8,Donâ€™t Know,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,-1,Not Applicable,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,1,February or earlier,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,2,March,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,3,April,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,4,May,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,5,June,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,6,July,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,7,August,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
CW2_COVID19POS,8,September,2022-02-15 17:10:22.040,COVID_WAVE2YES_v0002_20220118
