variable_name,variable_label,avail_from_dt,table_name
STUDY_ID,STUDY_ID,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVDTDAY,Date of Covid-19 Survey Completed - Day,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVDTMNTH,Date of Covid-19 Survey Completed - Month,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVPRXY,Whether Covid-19 Survey completed by proxy on behalf of the study member,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVPRXYDTL,Relationship of proxy to survey member,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVID19,Whether CM has had Coronavirus,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVID19POS,When had coronavirus,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDADV_1,Whether discussed Past 2 weeks COVID19 symptoms: Yes - discussed symptoms with d,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDADV_2,Whether discussed Past 2 weeks COVID19 symptoms: Yes - discussed symptoms with N,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDADV_3,Whether discussed Past 2 weeks COVID19 symptoms: Yes - accessed online advice at,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDADV_4,Whether discussed Past 2 weeks COVID19 symptoms: Yes - visited pharmacist,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDADV_5,Whether discussed Past 2 weeks COVID19 symptoms: Yes - visited A&E or walk in ce,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDADV_6,Past 2 weeks: Not discussed COVID19 symptoms with healthcare professionals,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVID_HOSPAD,Whether been admitted to hospital with COVID19,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVFUNC,Length of time CM unable to function as normal due to Coronavirus symptoms,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVBED,Length of time so unwell that CM stayed in bed or on the sofa due to Coronavirus,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILL,Have been told by a doctor that may have a new condition; illness; or disability,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILT_1,New condition doctor has linked to coronavirus- Post-viral fatigue,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILT_2,New condition doctor has linked to coronavirus- A blood clot in the leg; heart;,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILT_3,New condition doctor has linked to coronavirus- A heart condition,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILT_4,New condition doctor has linked to coronavirus- A lung condition,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILT_5,New condition doctor has linked to coronavirus- A condition affecting the mind o,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILT_6,New condition doctor has linked to coronavirus- A condition affecting the nervou,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILT_7,New condition doctor has linked to coronavirus- Thyroid disease,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILT_8,New condition doctor has linked to coronavirus- Other (specify),2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVNEWILTOTH,New condition doctor has linked to coronavirus- Other (please specify) - Text,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_TIREDGRID_1,In the past few weeks CM been troubled by- Waking up tired,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_TIREDGRID_2,In the past few weeks CM been troubled by- Feeling tired after rest or relaxatio,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_TIREDGRID_3,In the past few weeks CM been troubled by- Needing to sleep longer,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_TIREDGRID_4,In the past few weeks CM been troubled by- Needing to sleep longer,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_TIREDGRID_5,In the past few weeks CM been troubled by- Needing to sleep longer,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_1,In the last month- Have you had problems with tiredness,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_2,In the last month- Have you needed to rest more,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_3,In the last month- Have you felt sleepy or drowsy,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_4,In the last month- Have you had problems starting things,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_5,In the last month- Have you lacked energy,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_9,In the last month- Have you made slips of the tongue when speaking,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_10,In the last month- Have you found it difficult to find the right word,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDTEST_1,Whether been tested for Coronavirus: Yes â€“ a throat swab or nasal swab or saliva,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDTEST_2,Whether been tested for Coronavirus: Yes â€“ a finger stick or blood test or serol,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDTEST_3,Whether been tested for Coronavirus: Yes â€“ but I donâ€™t know which type,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDTEST_4,Never been tested for Coronavirus,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDCURRESULT,Result of throat swab or nasal swab or saliva test or nasal mucus test,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDPASRESULT,Result of finger stick or blood test or serology test or antibody test for past,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDINCRESULT,Result of Coronavirus test,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDCURWHEN,When was positive throat swab or nasal swab or saliva test or nasal mucus test,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDPASWHEN,When was positive  finger stick or blood test or serology test,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDINCWHEN,When was positive Coronavirus test,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_TIREDGRID_6,In the past few weeks CM been troubled by- Needing to sleep longer,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_6,In the last month- Have you had less strength in your muscles,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_7,In the last month- Have you felt weak,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FATGRID_8,In the last month- Have you had difficulties concentrating,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_MEMORY,Memory better or worse,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_SKIN,Over the past two months; have you experienced strange; unpleasant sensations in,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_SHORTB,Over the past two months; on average; how often has shortness of breath caused y,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_PALP,Over the past two months; how often have you experienced your heart racing (palp,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_ACTIVITY,Over the past two months; how often have you had to restrict your work or normal,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_1,Past 2 weeks COVID19 symptoms: Fever,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_2,Past 2 weeks COVID19 symptoms: Cough - dry,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_3,Past 2 weeks COVID19 symptoms: Cough - mucus or phlegm,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_4,Past 2 weeks COVID19 symptoms: Sore throat,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_5,Past 2 weeks COVID19 symptoms: Chest tightness,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_6,Past 2 weeks COVID19 symptoms: Shortness of breath,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_7,Past 2 weeks COVID19 symptoms: Runny nose,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_8,Past 2 weeks COVID19 symptoms: Nasal congestion,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_18,Past 2 weeks COVID19 symptoms: Sneezing,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_10,Past 2 weeks COVID19 symptoms: Muscle or body aches,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_11,Past 2 weeks COVID19 symptoms: Fatigue,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_12,Past 2 weeks COVID19 symptoms: Unusual loose motions or diarrhoea,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_16,Past 2 weeks COVID19 symptoms: Vomiting,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_13,Past 2 weeks COVID19 symptoms: Loss of smell,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_14,Past 2 weeks COVID19 symptoms: Loss of taste,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_17,Past 2 weeks COVID19 symptoms: Skin rash,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_19,Past 2 weeks COVID19 symptoms: Headaches,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_20,Past 2 weeks COVID19 symptoms: Other,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPTO,Past 2 weeks COVID19 symptoms: Other specify,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COVIDSYMPT_23,Past 2 weeks no COVID19 symptoms experienced,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_NHSTRACE,Downloaded the NHS COVID 19 Test and Trace App,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COMPLIANC1,How much complying with social distancing guidelines?,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_COMPLIANC2,How much have complied with Government guidelines to reduce the spread of COVID-,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_OFFVAC,Offered a vaccination for COVID-19,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_BEENVAC,Vaccinated for COVID-19,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_VACDAT_DAY,Date got vaccinated- Day,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_VACDAT_MONTH,Date got vaccinated- Month,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_VACDAT_YEAR,Date got vaccinated- Year,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_VACDAT2_DAY,Date second vaccination- Day,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_VACDAT2_MONTH,Date second vaccination- Month,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_VACDAT2_YEAR,Date second vaccination- Year,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_VACTYP1,Which vaccination did you receive? - First dose,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_VACTYP2,Which vaccination did you receive? - Second dose,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_NOVAC_1,Why chosen not to get vaccinated: Covid-19 vaccine safety not proven yet,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_NOVAC_2,Why chosen not to get vaccinated: Covid-19 vaccine effectiveness not proven yet,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_NOVAC_3,Why chosen not to get vaccinated: Have had Coronavirus; so may be immune,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_NOVAC_4,Why chosen not to get vaccinated: Not worried about catching Coronavirus,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_NOVAC_5,Why chosen not to get vaccinated: Distrust officials,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_NOVAC_6,Why chosen not to get vaccinated: Vaccines are not safe in general,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_GOVPAN,How well would CM say the Government has been handling the Coronavirus crisis si,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_GHQ,Post-C19: CM self-assessment of general health,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_1,CM has long-standing illness 1: Cancer,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_2,CM has long-standing illness 1: Cystic fibrosis,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_3,CM has long-standing illness 1: Asthma,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_4,CM has long-standing illness 1: Chronic Obstructive Pulmonary Disease,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_5,CM has long-standing illness 1: Wheezy bronchitis,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_6,CM has long-standing illness 1: Diabetes,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_7,CM has long-standing illness 1: Recurrent backache; prolapsed disc; sciatica or,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_8,CM has long-standing illness 1: Problems with hearing,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_9,CM has long-standing illness 1: High blood pressure,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI1_10,CM has long-standing illness 1: Heart disease; congenital or acquired,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI2_1,CM has long-standing illness 2: Depression or other emotional; nervous or psychi,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI2_2,CM has long-standing illness 2: Obesity,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI2_3,CM has long-standing illness 2: Infection,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI2_4,CM has long-standing illness 2: HIV / Immunodeficiency,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI2_5,CM has long-standing illness 2: Condition affecting the brain and nerves (e.g. P,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_LLI2_6,CM has long-standing illness 2: None of these,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_PMED,At the time of the Coronavirus outbreak in March; CM was taking prescribed medic,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_PMEDDIF,Post-C19: CM had difficulty obtaining prescribed medication,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_PMEDDIFW_1,Post-C19: Why had difficulty obtaining prescribed medication: My medication was,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_PMEDDIFW_2,Post-C19: Why had difficulty obtaining prescribed medication: My medication was,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_PMEDDIFW_3,Post-C19: Why had difficulty obtaining prescribed medication: Other reason,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPMED_1,Post-C19: CM had any medical appointments booked: Hospital appointment for consu,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPMED_2,Post-C19: CM had any medical appointments booked: Hospital appointment for surge,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPMED_4,Post-C19: CM had any medical appointments booked: Appointment for cognitive beha,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPMED_5,Post-C19: CM had any medical appointments booked: Any other medical appointment,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPMED_6,Post-C19: CM had any medical appointments booked: No medical appointments booked,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPMED_3,Post-C19: CM had any medical appointments booked: GP appointment,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPCAND,Post-C19: Any medical appointments cancelled or delayed,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPCANT_1,Post-C19: Type of medical appointment cancelled or delayed: Hospital appointment,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPCANT_2,Post-C19: Type of medical appointment cancelled or delayed: Hospital appointment,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPCANT_3,Post-C19: Type of medical appointment cancelled or delayed: Appointment for cogn,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPCANT_4,Post-C19: Type of medical appointment cancelled or delayed: Any other medical ap,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_APPCANT_5,Post-C19: Type of medical appointment cancelled or delayed: GP appointment,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_SHIELD,Whether CM received shield letter identifying them as at risk from Coronavirus,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_HHNUM,How many people in household (including CM),2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_HHNUMWH_1,Household member- Husband/Wife/Cohabiting Partner,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_HHNUMWH_2,Household member- Children (including adult children; step-children; adopted chi,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_HHNUMWH_3,Household member- Parent or Parent-in-law (including step-parent or adoptive par,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_HHNUMWH_5,Household member- Grandchild,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_HHNUMWH_6,Household member- Sibling,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_HHNUMWH_7,Household member- Other relative,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_HHNUMWH_8,Household member- Friend / unrelated sharer,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_HHNUMWH_9,Household member- Other,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_ANYCHNL,Whether CM has any children not living in hh,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_OTHRELA,Whether CM in a non-cohabiting relationship,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_RELSAT,Relationship satisfaction from 1 (Very unhappy) to 7 (Very happy),2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_RELCONFL1,Relationship conflict during since outbreak in March 2020,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_FAMCONFL1,Conflict with family members since outbreak in March 2020,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_CAREA_1,Post-C19: Whether needed help caring for self,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_CARECHANA,Post-C19: Whether amount of help needed for self changed,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_CAREWHOA_1,Post-C19: Who provided care for self - Nobody - needs were not met,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_CAREWHOA_2,Post-C19: Who provided care for self - Husband/ wife/ partner,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_CAREWHOA_3,Post-C19: Who provided care for self - Son or daughter or other family member (i,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_CAREWHOA_4,Post-C19: Who provided care for self - Friend or neighbour,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_CAREWHOA_5,Post-C19: Who provided care for self - Voluntary helper,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
CW3_CAREWHOA_6,Post-C19: Who provided care for self - Paid/ professional help,2022-03-17 00:45:29.980,COVID_WAVE3_v0002_20220118
