,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1198958,SABRE,Covidwave1,study_id_e,,,
1198959,SABRE,Covidwave1,cw1_covdtday,Date of Covid-19 Survey Completed - Day,,
1198960,SABRE,Covidwave1,cw1_covdtmnth,Date of Covid-19 Survey Completed - Month,,
1198961,SABRE,Covidwave1,cw1_covprxy,Whether Covid-19 Survey completed by proxy on behalf of the study member,,
1198962,SABRE,Covidwave1,cw1_covprxydtl,Relationship of proxy to survey member,,
1198963,SABRE,Covidwave1,cw1_covidsympt_1,Past 2 weeks COVID19 symptoms: Fever,-8.0,No information
1198964,SABRE,Covidwave1,cw1_covidsympt_1,Past 2 weeks COVID19 symptoms: Fever,-7.0,No questionnaire
1198965,SABRE,Covidwave1,cw1_covidsympt_1,Past 2 weeks COVID19 symptoms: Fever,1.0,Yes
1198966,SABRE,Covidwave1,cw1_covidsympt_2,Past 2 weeks COVID19 symptoms: Cough - dry,-8.0,No information
1198967,SABRE,Covidwave1,cw1_covidsympt_2,Past 2 weeks COVID19 symptoms: Cough - dry,-7.0,No questionnaire
1198968,SABRE,Covidwave1,cw1_covidsympt_2,Past 2 weeks COVID19 symptoms: Cough - dry,1.0,Yes
1198969,SABRE,Covidwave1,cw1_covidsympt_3,Past 2 weeks COVID19 symptoms: Cough - mucus or phlegm,-8.0,No information
1198970,SABRE,Covidwave1,cw1_covidsympt_3,Past 2 weeks COVID19 symptoms: Cough - mucus or phlegm,-7.0,No questionnaire
1198971,SABRE,Covidwave1,cw1_covidsympt_3,Past 2 weeks COVID19 symptoms: Cough - mucus or phlegm,1.0,Yes
1198972,SABRE,Covidwave1,cw1_covidsympt_4,Past 2 weeks COVID19 symptoms: Sore throat,-8.0,No information
1198973,SABRE,Covidwave1,cw1_covidsympt_4,Past 2 weeks COVID19 symptoms: Sore throat,-7.0,No questionnaire
1198974,SABRE,Covidwave1,cw1_covidsympt_4,Past 2 weeks COVID19 symptoms: Sore throat,1.0,Yes
1198975,SABRE,Covidwave1,cw1_covidsympt_5,Past 2 weeks COVID19 symptoms: Chest tightness,-8.0,No information
1198976,SABRE,Covidwave1,cw1_covidsympt_5,Past 2 weeks COVID19 symptoms: Chest tightness,-7.0,No questionnaire
1198977,SABRE,Covidwave1,cw1_covidsympt_5,Past 2 weeks COVID19 symptoms: Chest tightness,1.0,Yes
1198978,SABRE,Covidwave1,cw1_covidsympt_6,Past 2 weeks COVID19 symptoms: Shortness of breath,-8.0,No information
1198979,SABRE,Covidwave1,cw1_covidsympt_6,Past 2 weeks COVID19 symptoms: Shortness of breath,-7.0,No questionnaire
1198980,SABRE,Covidwave1,cw1_covidsympt_6,Past 2 weeks COVID19 symptoms: Shortness of breath,1.0,Yes
1198981,SABRE,Covidwave1,cw1_covidsympt_7,Past 2 weeks COVID19 symptoms: Runny nose,-8.0,No information
1198982,SABRE,Covidwave1,cw1_covidsympt_7,Past 2 weeks COVID19 symptoms: Runny nose,-7.0,No questionnaire
1198983,SABRE,Covidwave1,cw1_covidsympt_7,Past 2 weeks COVID19 symptoms: Runny nose,1.0,Yes
1198984,SABRE,Covidwave1,cw1_covidsympt_8,Past 2 weeks COVID19 symptoms: Nasal congestion,-8.0,No information
1198985,SABRE,Covidwave1,cw1_covidsympt_8,Past 2 weeks COVID19 symptoms: Nasal congestion,-7.0,No questionnaire
1198986,SABRE,Covidwave1,cw1_covidsympt_8,Past 2 weeks COVID19 symptoms: Nasal congestion,1.0,Yes
1198987,SABRE,Covidwave1,cw1_covidsympt_18,Past 2 weeks COVID19 symptoms: Sneezing,-8.0,No information
1198988,SABRE,Covidwave1,cw1_covidsympt_18,Past 2 weeks COVID19 symptoms: Sneezing,-7.0,No questionnaire
1198989,SABRE,Covidwave1,cw1_covidsympt_18,Past 2 weeks COVID19 symptoms: Sneezing,1.0,Yes
1198990,SABRE,Covidwave1,cw1_covidsympt_10,Past 2 weeks COVID19 symptoms: Muscle or body aches,-8.0,No information
1198991,SABRE,Covidwave1,cw1_covidsympt_10,Past 2 weeks COVID19 symptoms: Muscle or body aches,-7.0,No questionnaire
1198992,SABRE,Covidwave1,cw1_covidsympt_10,Past 2 weeks COVID19 symptoms: Muscle or body aches,1.0,Yes
1198993,SABRE,Covidwave1,cw1_covidsympt_11,Past 2 weeks COVID19 symptoms: Fatigue,-8.0,No information
1198994,SABRE,Covidwave1,cw1_covidsympt_11,Past 2 weeks COVID19 symptoms: Fatigue,-7.0,No questionnaire
1198995,SABRE,Covidwave1,cw1_covidsympt_11,Past 2 weeks COVID19 symptoms: Fatigue,1.0,Yes
1198996,SABRE,Covidwave1,cw1_covidsympt_12,Past 2 weeks COVID19 symptoms: Unusual loose motions or diarrhoea,-8.0,No information
1198997,SABRE,Covidwave1,cw1_covidsympt_12,Past 2 weeks COVID19 symptoms: Unusual loose motions or diarrhoea,-7.0,No questionnaire
1198998,SABRE,Covidwave1,cw1_covidsympt_12,Past 2 weeks COVID19 symptoms: Unusual loose motions or diarrhoea,1.0,Yes
1198999,SABRE,Covidwave1,cw1_covidsympt_16,Past 2 weeks COVID19 symptoms: Vomiting,-8.0,No information
1199000,SABRE,Covidwave1,cw1_covidsympt_16,Past 2 weeks COVID19 symptoms: Vomiting,-7.0,No questionnaire
1199001,SABRE,Covidwave1,cw1_covidsympt_16,Past 2 weeks COVID19 symptoms: Vomiting,1.0,Yes
1199002,SABRE,Covidwave1,cw1_covidsympt_13,Past 2 weeks COVID19 symptoms: Loss of smell,-8.0,No information
1199003,SABRE,Covidwave1,cw1_covidsympt_13,Past 2 weeks COVID19 symptoms: Loss of smell,-7.0,No questionnaire
1199004,SABRE,Covidwave1,cw1_covidsympt_13,Past 2 weeks COVID19 symptoms: Loss of smell,1.0,Yes
1199005,SABRE,Covidwave1,cw1_covidsympt_14,Past 2 weeks COVID19 symptoms: Loss of taste,-8.0,No information
1199006,SABRE,Covidwave1,cw1_covidsympt_14,Past 2 weeks COVID19 symptoms: Loss of taste,-7.0,No questionnaire
1199007,SABRE,Covidwave1,cw1_covidsympt_14,Past 2 weeks COVID19 symptoms: Loss of taste,1.0,Yes
1199008,SABRE,Covidwave1,cw1_covidsympt_17,Past 2 weeks COVID19 symptoms: Skin rash,-8.0,No information
1199009,SABRE,Covidwave1,cw1_covidsympt_17,Past 2 weeks COVID19 symptoms: Skin rash,-7.0,No questionnaire
