,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1203858,SABRE,sociodemographic_visit3,study_id_e,,,
1203859,SABRE,sociodemographic_visit3,ethnicityv3,Ethnicity,1.0,European
1203860,SABRE,sociodemographic_visit3,ethnicityv3,Ethnicity,2.0,South Asian
1203861,SABRE,sociodemographic_visit3,ethnicityv3,Ethnicity,3.0,African Caribbean
1203862,SABRE,sociodemographic_visit3,ethnicityv3,Ethnicity,4.0,Other
1203863,SABRE,sociodemographic_visit3,agev3,Age at clinic visit/completion of questionnaire,,
1203864,SABRE,sociodemographic_visit3,sexv3,Sex,1.0,male
1203865,SABRE,sociodemographic_visit3,sexv3,Sex,2.0,female
1203866,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,1.0,Any other Asian background
1203867,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,2.0,Any other Black background
1203868,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,3.0,Any other White background
1203869,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,4.0,Any other mixed backrground
1203870,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,5.0,Black African
1203871,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,6.0,Black Caribbean
1203872,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,7.0,Chinese
1203873,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,8.0,East African Asian
1203874,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,9.0,Eastern European
1203875,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,10.0,English
1203876,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,11.0,Indian
1203877,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,12.0,Irish
1203878,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,13.0,Mixed Asian
1203879,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,14.0,Mixed Black
1203880,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,15.0,Mixed White
1203881,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,16.0,Pakistani
1203882,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,17.0,Scottish
1203883,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,18.0,Sri Lankan
1203884,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,19.0,Tamil
1203885,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,20.0,Welsh
1203886,SABRE,sociodemographic_visit3,ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,21.0,Do not wish to answer this question
1203887,SABRE,sociodemographic_visit3,q16_1_livingsituation,livingsituation,,
1203888,SABRE,sociodemographic_visit3,q16_2_numinhousehold,numinhousehold,,
1203889,SABRE,sociodemographic_visit3,q16_3_homeownership,homeownership,1.0,An owner occupier
1203890,SABRE,sociodemographic_visit3,q16_3_homeownership,homeownership,2.0,Living in a residential home
1203891,SABRE,sociodemographic_visit3,q16_3_homeownership,homeownership,3.0,Living in sheltered accommodation
1203892,SABRE,sociodemographic_visit3,q16_3_homeownership,homeownership,4.0,Other
1203893,SABRE,sociodemographic_visit3,q16_3_homeownership,homeownership,5.0,Renting from the local authority or a housing association
1203894,SABRE,sociodemographic_visit3,q16_3_homeownership,homeownership,6.0,Renting privately
1203895,SABRE,sociodemographic_visit3,q16_3_homeownership,homeownership,-1.0,No questionnaire
1203896,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,1.0,0
1203897,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,2.0,DAUGHTERS HOUSE
1203898,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,3.0,FAMILY HOUSE OWNED BY MITHER
1203899,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,4.0,IN
1203900,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,5.0,IN A MOBILE HOME FOR THE MOST PART
1203901,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,6.0,IN TEMPORARY ACCOMODATION
1203902,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,7.0,LEASED RETIREMENT PROPERTY FOR THE OVER 60S BUNGALOW
1203903,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,8.0,LEASEHOLDER OF RETIREMENT FLAT
1203904,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,9.0,LIVE WITH OWNER OCCUPIER AS A CIVIL PARTNER
1203905,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,10.0,LIVING ON HOUSING BENEFIT
1203906,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,11.0,LIVING WITH DAUGHTER
1203907,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,12.0,LIVING WITH FAMILY
1203908,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,13.0,LIVING WITH FAMILY BRACKETS SON
1203909,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,14.0,LIVING WITH FAMILY MEMBERS
1203910,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,15.0,LIVING WITH MOTHER IN LAW
1203911,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,16.0,LIVING WITH MY SON
1203912,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,17.0,LIVING WITH OUR FAMILY
1203913,SABRE,sociodemographic_visit3,q16_3b_homeownership_other,homeownership_other,18.0,LIVING WITH PARENTS
