variable_name,variable_label,avail_from_dt,table_name
STUDY_ID,,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
ethnicityv3,Ethnicity,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
agev3,Age at clinic visit/completion of questionnaire,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
sexv3,Sex,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
ethnicity_srdetail_encv3,Ethnicity; self report; Q1A,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
q16_1_livingsituation,livingsituation,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
q16_2_numinhousehold,numinhousehold,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
q16_3_homeownership,homeownership,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
q16_3b_homeownership_other,homeownership_other,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
q16_9_currentlyemployed,currentlyemployed,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
q16_10_mainworkactivity,mainworkactivity,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
q16_20_financialstress,financialstress,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
Q16_18_highestqual_recodedv3,Highest qualification; coded,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
q16_14_reasonnotemployed_enc,reasonnotemployed,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
q16_19_annualincome_enc,AnnualHouseholdIncome,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
coupleidv3,CoupleID,2022-03-17 00:38:41.670,sociodemographic_visit3_v0001_20211101
