,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1199487,TEMP,nhsd_derived_indicator,cohortkey_e,,,
1199488,TEMP,nhsd_derived_indicator,sex,,,
1199489,TEMP,nhsd_derived_indicator,deceased,,,
1199490,TEMP,nhsd_derived_indicator,reg_date_of_death,,,
1199491,TEMP,nhsd_derived_indicator,ethnic,,,
1199492,TEMP,nhsd_derived_indicator,dob_year_month,,,
1199493,TEMP,nhsd_derived_indicator,last_seen_date,,,
1199494,TEMP,nhsd_derived_indicator,cohortkey_e,,,
1199495,TEMP,nhsd_derived_indicator,sex,,,
1199496,TEMP,nhsd_derived_indicator,deceased,,,
1199497,TEMP,nhsd_derived_indicator,reg_date_of_death,,,
1199498,TEMP,nhsd_derived_indicator,ethnic,,,
1199499,TEMP,nhsd_derived_indicator,dob_year_month,,,
1199500,TEMP,nhsd_derived_indicator,last_seen_date,,,
1199501,TEMP,nhsd_derived_indicator,avail_from_dt,,,
