,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1199554,TRACKC19,baseline,study_id_e,,,
1199555,TRACKC19,baseline,startdate,Questionnaire date,,
1199556,TRACKC19,baseline,wt,weight (kg),,
1199557,TRACKC19,baseline,symptom1_1,I had no cold or flu symptoms in January 2020,1.0,yes
1199558,TRACKC19,baseline,symptom1_2,I had no cold or flu symptoms in February 2020,1.0,yes
1199559,TRACKC19,baseline,symptom1_3,I had no cold or flu symptoms in March 2020,1.0,yes
1199560,TRACKC19,baseline,symptom1_4,I had no cold or flu symptoms in April 2020,1.0,yes
1199561,TRACKC19,baseline,symptom1_5,I had no cold or flu symptoms in May 2020,1.0,yes
1199562,TRACKC19,baseline,symptom1_6,I had no cold or flu symptoms in June 2020,1.0,yes
1199563,TRACKC19,baseline,symptom1_wk,I had no cold or flu symptoms in the last week,1.0,yes
1199564,TRACKC19,baseline,symptom2_1,I had a decrease in appetite in January 2020,1.0,yes
1199565,TRACKC19,baseline,symptom2_2,I had a decrease in appetite in February 2020,1.0,yes
1199566,TRACKC19,baseline,symptom2_3,I had a decrease in appetite in March 2020,1.0,yes
1199567,TRACKC19,baseline,symptom2_4,I had a decrease in appetite in April 2020,1.0,yes
1199568,TRACKC19,baseline,symptom2_5,I had a decrease in appetite in May 2020,1.0,yes
1199569,TRACKC19,baseline,symptom2_6,I had a decrease in appetite in June 2020,1.0,yes
1199570,TRACKC19,baseline,symptom2_wk,I had a decrease in appetite in the last week,1.0,yes
1199571,TRACKC19,baseline,symptom3_1,I had nausea and/or vomiting in January 2020,1.0,yes
1199572,TRACKC19,baseline,symptom3_2,I had nausea and/or vomiting in February 2020,1.0,yes
1199573,TRACKC19,baseline,symptom3_3,I had nausea and/or vomiting in March 2020,1.0,yes
1199574,TRACKC19,baseline,symptom3_4,I had nausea and/or vomiting in April 2020,1.0,yes
1199575,TRACKC19,baseline,symptom3_5,I had nausea and/or vomiting in May 2020,1.0,yes
1199576,TRACKC19,baseline,symptom3_6,I had nausea and/or vomiting in June 2020,1.0,yes
1199577,TRACKC19,baseline,symptom3_wk,I had nausea and/or vomiting in the last week,1.0,yes
1199578,TRACKC19,baseline,symptom4_1,I had diarrhoea in January 2020,1.0,yes
1199579,TRACKC19,baseline,symptom4_2,I had diarrhoea in February 2020,1.0,yes
1199580,TRACKC19,baseline,symptom4_3,I had diarrhoea in March 2020,1.0,yes
1199581,TRACKC19,baseline,symptom4_4,I had diarrhoea in April 2020,1.0,yes
1199582,TRACKC19,baseline,symptom4_5,I had diarrhoea in May 2020,1.0,yes
1199583,TRACKC19,baseline,symptom4_6,I had diarrhoea in June 2020,1.0,yes
1199584,TRACKC19,baseline,symptom4_wk,I had diarrhoea in the last week,1.0,yes
1199585,TRACKC19,baseline,symptom5_1,I had abdominal pain/tummy ache in January 2020,1.0,yes
1199586,TRACKC19,baseline,symptom5_2,I had abdominal pain/tummy ache in February 2020,1.0,yes
1199587,TRACKC19,baseline,symptom5_3,I had abdominal pain/tummy ache in March 2020,1.0,yes
1199588,TRACKC19,baseline,symptom5_4,I had abdominal pain/tummy ache in April 2020,1.0,yes
1199589,TRACKC19,baseline,symptom5_5,I had abdominal pain/tummy ache in May 2020,1.0,yes
1199590,TRACKC19,baseline,symptom5_6,I had abdominal pain/tummy ache in June 2020,1.0,yes
1199591,TRACKC19,baseline,symptom5_wk,I had abdominal pain/tummy ache in the last week,1.0,yes
1199592,TRACKC19,baseline,symptom6_1,I had a runny nose in January 2020,1.0,yes
1199593,TRACKC19,baseline,symptom6_2,I had a runny nose in February 2020,1.0,yes
1199594,TRACKC19,baseline,symptom6_3,I had a runny nose in March 2020,1.0,yes
1199595,TRACKC19,baseline,symptom6_4,I had a runny nose in April 2020,1.0,yes
1199596,TRACKC19,baseline,symptom6_5,I had a runny nose in May 2020,1.0,yes
1199597,TRACKC19,baseline,symptom6_6,I had a runny nose in June 2020,1.0,yes
1199598,TRACKC19,baseline,symptom6_wk,I had a runny nose in the last week,1.0,yes
1199599,TRACKC19,baseline,symptom7_1,I had sneezing in January 2020,1.0,yes
1199600,TRACKC19,baseline,symptom7_2,I had sneezing in February 2020,1.0,yes
1199601,TRACKC19,baseline,symptom7_3,I had sneezing in March 2020,1.0,yes
1199602,TRACKC19,baseline,symptom7_4,I had sneezing in April 2020,1.0,yes
1199603,TRACKC19,baseline,symptom7_5,I had sneezing in May 2020,1.0,yes
1199604,TRACKC19,baseline,symptom7_6,I had sneezing in June 2020,1.0,yes
1199605,TRACKC19,baseline,symptom7_wk,I had sneezing in the last week,1.0,yes
1199606,TRACKC19,baseline,symptom8_1,I had a blocked nose in January 2020,1.0,yes
1199607,TRACKC19,baseline,symptom8_2,I had a blocked nose in February 2020,1.0,yes
1199608,TRACKC19,baseline,symptom8_3,I had a blocked nose in March 2020,1.0,yes
