,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1204304,TRACKC19,followUp,study_id_e,,,
1204305,TRACKC19,followUp,follnum,Questionnaire response number,,
1204306,TRACKC19,followUp,startdate,Questionnaire date,,
1204307,TRACKC19,followUp,symptom1,Have you had a cold or flu like symptoms in the last month?,1.0,yes
1204308,TRACKC19,followUp,symptom1,Have you had a cold or flu like symptoms in the last month?,2.0,no
1204309,TRACKC19,followUp,symptom1,Have you had a cold or flu like symptoms in the last month?,999.0,don’t know / prefer not to answer
1204310,TRACKC19,followUp,symptom2_1,I had a decrease in appetite in the last month – symptoms started:,1.0,more than 1 month ago
1204311,TRACKC19,followUp,symptom2_1,I had a decrease in appetite in the last month – symptoms started:,2.0,about 4 weeks ago
1204312,TRACKC19,followUp,symptom2_1,I had a decrease in appetite in the last month – symptoms started:,3.0,about 3 weeks ago
1204313,TRACKC19,followUp,symptom2_1,I had a decrease in appetite in the last month – symptoms started:,4.0,about 2 weeks ago
1204314,TRACKC19,followUp,symptom2_1,I had a decrease in appetite in the last month – symptoms started:,5.0,about 1 week ago
1204315,TRACKC19,followUp,symptom2_1,I had a decrease in appetite in the last month – symptoms started:,6.0,in the last week
1204316,TRACKC19,followUp,symptom2_2,I had a decrease in appetite in the last month – symptoms ended:,1.0,about 4 weeks ago
1204317,TRACKC19,followUp,symptom2_2,I had a decrease in appetite in the last month – symptoms ended:,2.0,about 3 weeks ago
1204318,TRACKC19,followUp,symptom2_2,I had a decrease in appetite in the last month – symptoms ended:,3.0,about 2 weeks ago
1204319,TRACKC19,followUp,symptom2_2,I had a decrease in appetite in the last month – symptoms ended:,4.0,about 1 week ago
1204320,TRACKC19,followUp,symptom2_2,I had a decrease in appetite in the last month – symptoms ended:,5.0,still have symptoms
1204321,TRACKC19,followUp,symptom3_1,I had nausea and/or vomiting in the last month – symptoms started:,1.0,more than 1 month ago
1204322,TRACKC19,followUp,symptom3_1,I had nausea and/or vomiting in the last month – symptoms started:,2.0,about 4 weeks ago
1204323,TRACKC19,followUp,symptom3_1,I had nausea and/or vomiting in the last month – symptoms started:,3.0,about 3 weeks ago
1204324,TRACKC19,followUp,symptom3_1,I had nausea and/or vomiting in the last month – symptoms started:,4.0,about 2 weeks ago
1204325,TRACKC19,followUp,symptom3_1,I had nausea and/or vomiting in the last month – symptoms started:,5.0,about 1 week ago
1204326,TRACKC19,followUp,symptom3_1,I had nausea and/or vomiting in the last month – symptoms started:,6.0,in the last week
1204327,TRACKC19,followUp,symptom3_2,I had nausea and/or vomiting in the last month – symptoms ended:,1.0,about 4 weeks ago
1204328,TRACKC19,followUp,symptom3_2,I had nausea and/or vomiting in the last month – symptoms ended:,2.0,about 3 weeks ago
1204329,TRACKC19,followUp,symptom3_2,I had nausea and/or vomiting in the last month – symptoms ended:,3.0,about 2 weeks ago
1204330,TRACKC19,followUp,symptom3_2,I had nausea and/or vomiting in the last month – symptoms ended:,4.0,about 1 week ago
1204331,TRACKC19,followUp,symptom3_2,I had nausea and/or vomiting in the last month – symptoms ended:,5.0,still have symptoms
1204332,TRACKC19,followUp,symptom4_1,I had diarrhoea in the last month – symptoms started:,1.0,more than 1 month ago
1204333,TRACKC19,followUp,symptom4_1,I had diarrhoea in the last month – symptoms started:,2.0,about 4 weeks ago
1204334,TRACKC19,followUp,symptom4_1,I had diarrhoea in the last month – symptoms started:,3.0,about 3 weeks ago
1204335,TRACKC19,followUp,symptom4_1,I had diarrhoea in the last month – symptoms started:,4.0,about 2 weeks ago
1204336,TRACKC19,followUp,symptom4_1,I had diarrhoea in the last month – symptoms started:,5.0,about 1 week ago
1204337,TRACKC19,followUp,symptom4_1,I had diarrhoea in the last month – symptoms started:,6.0,in the last week
1204338,TRACKC19,followUp,symptom4_2,I had diarrhoea in the last month – symptoms ended:,1.0,about 4 weeks ago
1204339,TRACKC19,followUp,symptom4_2,I had diarrhoea in the last month – symptoms ended:,2.0,about 3 weeks ago
1204340,TRACKC19,followUp,symptom4_2,I had diarrhoea in the last month – symptoms ended:,3.0,about 2 weeks ago
1204341,TRACKC19,followUp,symptom4_2,I had diarrhoea in the last month – symptoms ended:,4.0,about 1 week ago
1204342,TRACKC19,followUp,symptom4_2,I had diarrhoea in the last month – symptoms ended:,5.0,still have symptoms
1204343,TRACKC19,followUp,symptom5_1,I had abdominal pain/tummy ache in the last month – symptoms started:,1.0,more than 1 month ago
1204344,TRACKC19,followUp,symptom5_1,I had abdominal pain/tummy ache in the last month – symptoms started:,2.0,about 4 weeks ago
1204345,TRACKC19,followUp,symptom5_1,I had abdominal pain/tummy ache in the last month – symptoms started:,3.0,about 3 weeks ago
1204346,TRACKC19,followUp,symptom5_1,I had abdominal pain/tummy ache in the last month – symptoms started:,4.0,about 2 weeks ago
1204347,TRACKC19,followUp,symptom5_1,I had abdominal pain/tummy ache in the last month – symptoms started:,5.0,about 1 week ago
1204348,TRACKC19,followUp,symptom5_1,I had abdominal pain/tummy ache in the last month – symptoms started:,6.0,in the last week
1204349,TRACKC19,followUp,symptom5_2,I had abdominal pain/tummy ache in the last month – symptoms ended:,1.0,about 4 weeks ago
1204350,TRACKC19,followUp,symptom5_2,I had abdominal pain/tummy ache in the last month – symptoms ended:,2.0,about 3 weeks ago
1204351,TRACKC19,followUp,symptom5_2,I had abdominal pain/tummy ache in the last month – symptoms ended:,3.0,about 2 weeks ago
1204352,TRACKC19,followUp,symptom5_2,I had abdominal pain/tummy ache in the last month – symptoms ended:,4.0,about 1 week ago
1204353,TRACKC19,followUp,symptom5_2,I had abdominal pain/tummy ache in the last month – symptoms ended:,5.0,still have symptoms
1204354,TRACKC19,followUp,symptom6_1,I had a runny nose in the last month – symptoms started:,1.0,more than 1 month ago
1204355,TRACKC19,followUp,symptom6_1,I had a runny nose in the last month – symptoms started:,2.0,about 4 weeks ago
1204356,TRACKC19,followUp,symptom6_1,I had a runny nose in the last month – symptoms started:,3.0,about 3 weeks ago
1204357,TRACKC19,followUp,symptom6_1,I had a runny nose in the last month – symptoms started:,4.0,about 2 weeks ago
1204358,TRACKC19,followUp,symptom6_1,I had a runny nose in the last month – symptoms started:,5.0,about 1 week ago
1204359,TRACKC19,followUp,symptom6_1,I had a runny nose in the last month – symptoms started:,6.0,in the last week
1204360,TRACKC19,followUp,symptom6_2,I had a runny nose in the last month – symptoms ended:,1.0,about 4 weeks ago
1204361,TRACKC19,followUp,symptom6_2,I had a runny nose in the last month – symptoms ended:,2.0,about 3 weeks ago
1204362,TRACKC19,followUp,symptom6_2,I had a runny nose in the last month – symptoms ended:,3.0,about 2 weeks ago
1204363,TRACKC19,followUp,symptom6_2,I had a runny nose in the last month – symptoms ended:,4.0,about 1 week ago
1204364,TRACKC19,followUp,symptom6_2,I had a runny nose in the last month – symptoms ended:,5.0,still have symptoms
1204365,TRACKC19,followUp,symptom7_1,I had sneezing in the last month – symptoms started:,1.0,more than 1 month ago
1204366,TRACKC19,followUp,symptom7_1,I had sneezing in the last month – symptoms started:,2.0,about 4 weeks ago
1204367,TRACKC19,followUp,symptom7_1,I had sneezing in the last month – symptoms started:,3.0,about 3 weeks ago
1204368,TRACKC19,followUp,symptom7_1,I had sneezing in the last month – symptoms started:,4.0,about 2 weeks ago
1204369,TRACKC19,followUp,symptom7_1,I had sneezing in the last month – symptoms started:,5.0,about 1 week ago
1204370,TRACKC19,followUp,symptom7_1,I had sneezing in the last month – symptoms started:,6.0,in the last week
1204371,TRACKC19,followUp,symptom7_2,I had sneezing in the last month – symptoms ended:,1.0,about 4 weeks ago
1204372,TRACKC19,followUp,symptom7_2,I had sneezing in the last month – symptoms ended:,2.0,about 3 weeks ago
1204373,TRACKC19,followUp,symptom7_2,I had sneezing in the last month – symptoms ended:,3.0,about 2 weeks ago
1204374,TRACKC19,followUp,symptom7_2,I had sneezing in the last month – symptoms ended:,4.0,about 1 week ago
1204375,TRACKC19,followUp,symptom7_2,I had sneezing in the last month – symptoms ended:,5.0,still have symptoms
1204376,TRACKC19,followUp,symptom8_1,I had a blocked nose in the last month – symptoms started:,1.0,more than 1 month ago
1204377,TRACKC19,followUp,symptom8_1,I had a blocked nose in the last month – symptoms started:,2.0,about 4 weeks ago
1204378,TRACKC19,followUp,symptom8_1,I had a blocked nose in the last month – symptoms started:,3.0,about 3 weeks ago
1204379,TRACKC19,followUp,symptom8_1,I had a blocked nose in the last month – symptoms started:,4.0,about 2 weeks ago
1204380,TRACKC19,followUp,symptom8_1,I had a blocked nose in the last month – symptoms started:,5.0,about 1 week ago
1204381,TRACKC19,followUp,symptom8_1,I had a blocked nose in the last month – symptoms started:,6.0,in the last week
1204382,TRACKC19,followUp,symptom8_2,I had a blocked nose in the last month – symptoms ended:,1.0,about 4 weeks ago
1204383,TRACKC19,followUp,symptom8_2,I had a blocked nose in the last month – symptoms ended:,2.0,about 3 weeks ago
1204384,TRACKC19,followUp,symptom8_2,I had a blocked nose in the last month – symptoms ended:,3.0,about 2 weeks ago
1204385,TRACKC19,followUp,symptom8_2,I had a blocked nose in the last month – symptoms ended:,4.0,about 1 week ago
1204386,TRACKC19,followUp,symptom8_2,I had a blocked nose in the last month – symptoms ended:,5.0,still have symptoms
