,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1223520,TWINSUK,COPE5,study_id_e,,,
1223521,TWINSUK,COPE5,responsedate,Date the questionanire was completed.,,
1223522,TWINSUK,COPE5,progress,Refers to thelevel of completion of the question in %.,,
1223523,TWINSUK,COPE5,q_a_1,A1. Were you contacted by letter or text message to say you are at severe risk from COVID-19 due to an underlying health condition and should be shielding?,0.0,No
1223524,TWINSUK,COPE5,q_a_1,A1. Were you contacted by letter or text message to say you are at severe risk from COVID-19 due to an underlying health condition and should be shielding?,1.0,Yes
1223525,TWINSUK,COPE5,q_a_1,A1. Were you contacted by letter or text message to say you are at severe risk from COVID-19 due to an underlying health condition and should be shielding?,999906.0,Question not answered
1223526,TWINSUK,COPE5,q_b_1b_fever_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223527,TWINSUK,COPE5,q_b_1b_fever_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223528,TWINSUK,COPE5,q_b_1b_fever_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223529,TWINSUK,COPE5,q_b_1b_fever_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223530,TWINSUK,COPE5,q_b_1b_fever_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223531,TWINSUK,COPE5,q_b_1b_fever_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223532,TWINSUK,COPE5,q_b_1_feverish_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223533,TWINSUK,COPE5,q_b_1_feverish_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223534,TWINSUK,COPE5,q_b_1_feverish_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223535,TWINSUK,COPE5,q_b_1_feverish_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223536,TWINSUK,COPE5,q_b_1_feverish_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223537,TWINSUK,COPE5,q_b_1_feverish_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223538,TWINSUK,COPE5,q_b_1c_chills_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223539,TWINSUK,COPE5,q_b_1c_chills_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223540,TWINSUK,COPE5,q_b_1c_chills_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223541,TWINSUK,COPE5,q_b_1c_chills_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223542,TWINSUK,COPE5,q_b_1c_chills_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223543,TWINSUK,COPE5,q_b_1c_chills_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223544,TWINSUK,COPE5,q_b_1d_loss_smell_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223545,TWINSUK,COPE5,q_b_1d_loss_smell_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223546,TWINSUK,COPE5,q_b_1d_loss_smell_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223547,TWINSUK,COPE5,q_b_1d_loss_smell_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223548,TWINSUK,COPE5,q_b_1d_loss_smell_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223549,TWINSUK,COPE5,q_b_1d_loss_smell_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223550,TWINSUK,COPE5,q_b_1e_loss_taste_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223551,TWINSUK,COPE5,q_b_1e_loss_taste_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223552,TWINSUK,COPE5,q_b_1e_loss_taste_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223553,TWINSUK,COPE5,q_b_1e_loss_taste_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223554,TWINSUK,COPE5,q_b_1e_loss_taste_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223555,TWINSUK,COPE5,q_b_1e_loss_taste_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223556,TWINSUK,COPE5,q_b_1f_runny_nose_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223557,TWINSUK,COPE5,q_b_1f_runny_nose_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223558,TWINSUK,COPE5,q_b_1f_runny_nose_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223559,TWINSUK,COPE5,q_b_1f_runny_nose_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223560,TWINSUK,COPE5,q_b_1f_runny_nose_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223561,TWINSUK,COPE5,q_b_1f_runny_nose_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223562,TWINSUK,COPE5,q_b_1g_sore_throat_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223563,TWINSUK,COPE5,q_b_1g_sore_throat_1,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223564,TWINSUK,COPE5,q_b_1g_sore_throat_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
1223565,TWINSUK,COPE5,q_b_1g_sore_throat_2,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",999914.0,Undefined response due to the questionnaire design (implicit no or didn't answer) 
1223566,TWINSUK,COPE5,q_b_1g_sore_throat_3,"B1. In this question we would like you to report ANY of the following symptoms from ANY illness you have had over the last 6 months, whether or not you think they were related to COVID-19.",1.0,Yes
