,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1217903,TWINSUK,DEMOGRAPHICS,study_id_e,,,
1217904,TWINSUK,DEMOGRAPHICS,a1,,,
1217905,TWINSUK,DEMOGRAPHICS,a2,,,
1217906,TWINSUK,DEMOGRAPHICS,a3,,,
1217907,TWINSUK,DEMOGRAPHICS,a4,,,
1217908,TWINSUK,DEMOGRAPHICS,avail_from_dt,,,
1217909,TWINSUK,DEMOGRAPHICS,study_id_e,,,
1217910,TWINSUK,DEMOGRAPHICS,a1,Refers to the participant's sex as definied when joining the registry.,,
1217911,TWINSUK,DEMOGRAPHICS,a2,Refers to the year of birth. Extrated from the full date of birth provided when joining the registry.,,
1217912,TWINSUK,DEMOGRAPHICS,a3,Refers to the age of the participant when ethnicity was self-reported.,,
1217913,TWINSUK,DEMOGRAPHICS,a4,"Refers to the participant's ethnicity. Information was collected in CoPE1, CoPE2 or proivded by the participant when joining the registry.",,
1217914,TWINSUK,DEMOGRAPHICS,a5,,,
1217915,TWINSUK,DEMOGRAPHICS,a6,,,
1217916,TWINSUK,DEMOGRAPHICS,a7,,,
1217917,TWINSUK,DEMOGRAPHICS,avail_from_dt,,,
1217918,TWINSUK,DEMOGRAPHICS,study_id_e,,,
1217919,TWINSUK,DEMOGRAPHICS,a1,Refers to the participant's sex as definied when joining the registry.,999906.0,No data available
1217920,TWINSUK,DEMOGRAPHICS,a2,Refers to the year of birth. Extrated from the full date of birth provided when joining the registry.,1.0,Male
1217921,TWINSUK,DEMOGRAPHICS,a2,Refers to the year of birth. Extrated from the full date of birth provided when joining the registry.,2.0,Female
1217922,TWINSUK,DEMOGRAPHICS,a2,Refers to the year of birth. Extrated from the full date of birth provided when joining the registry.,9.0,Unknown
1217923,TWINSUK,DEMOGRAPHICS,a3,Refers to the age of the participant when ethnicity was self-reported.,999906.0,No data available
1217924,TWINSUK,DEMOGRAPHICS,a4,"Refers to the participant's ethnicity. Information was collected in CoPE1, CoPE2 or proivded by the participant when joining the registry.",999906.0,No data available
1217925,TWINSUK,DEMOGRAPHICS,a5,,999906.0,No data available
1217926,TWINSUK,DEMOGRAPHICS,a6,,999906.0,No data available
1217927,TWINSUK,DEMOGRAPHICS,a7,,1.0,Male
1217928,TWINSUK,DEMOGRAPHICS,a7,,2.0,Female
1217929,TWINSUK,DEMOGRAPHICS,a7,,999901.0,Prefer not to answer
1217930,TWINSUK,DEMOGRAPHICS,a7,,999905.0,Unable to determine
1217931,TWINSUK,DEMOGRAPHICS,a7,,999906.0,No data available
1217932,TWINSUK,DEMOGRAPHICS,avail_from_dt,,,
