,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1219880,UKHLS,b_indresp,study_id_e,,,
1219881,UKHLS,b_indresp,b_pno,person number,,
1219882,UKHLS,b_indresp,b_hhorig,Sample origin; household,1.0,ukhls gb 2009-10
1219883,UKHLS,b_indresp,b_hhorig,Sample origin; household,2.0,ukhls ni 2009-10
1219884,UKHLS,b_indresp,b_hhorig,Sample origin; household,3.0,bhps gb 1991
1219885,UKHLS,b_indresp,b_hhorig,Sample origin; household,4.0,bhps sco 1999
1219886,UKHLS,b_indresp,b_hhorig,Sample origin; household,5.0,bhps wal 1999
1219887,UKHLS,b_indresp,b_hhorig,Sample origin; household,6.0,bhps ni 2001
1219888,UKHLS,b_indresp,b_hhorig,Sample origin; household,7.0,ukhls emboost 2009-10
1219889,UKHLS,b_indresp,b_hhorig,Sample origin; household,8.0,ukhls iemb 2014-15
1219890,UKHLS,b_indresp,b_hhorig,Sample origin; household,11.0,ip original sample 2008
1219891,UKHLS,b_indresp,b_hhorig,Sample origin; household,12.0,ip4 refreshment sample 2011
1219892,UKHLS,b_indresp,b_hhorig,Sample origin; household,13.0,ip7 refreshment sample 2014
1219893,UKHLS,b_indresp,b_hhorig,Sample origin; household,14.0,ECHP - SCPR
1219894,UKHLS,b_indresp,b_hhorig,Sample origin; household,15.0,ECHP - ONS
1219895,UKHLS,b_indresp,b_hhorig,Sample origin; household,16.0,ECHP - NI
1219896,UKHLS,b_indresp,b_memorig,Sample origin; individual,1.0,ukhls gb 2009-10
1219897,UKHLS,b_indresp,b_memorig,Sample origin; individual,2.0,ukhls ni 2009-10
1219898,UKHLS,b_indresp,b_memorig,Sample origin; individual,3.0,bhps gb 1991
1219899,UKHLS,b_indresp,b_memorig,Sample origin; individual,4.0,bhps sco 1999
1219900,UKHLS,b_indresp,b_memorig,Sample origin; individual,5.0,bhps wal 1999
1219901,UKHLS,b_indresp,b_memorig,Sample origin; individual,6.0,bhps ni 2001
1219902,UKHLS,b_indresp,b_memorig,Sample origin; individual,7.0,ukhls emboost 2009-10
1219903,UKHLS,b_indresp,b_memorig,Sample origin; individual,8.0,ukhls iemb 2014-15
1219904,UKHLS,b_indresp,b_memorig,Sample origin; individual,11.0,ip original sample 2008
1219905,UKHLS,b_indresp,b_memorig,Sample origin; individual,12.0,ip4 refreshment sample 2011
1219906,UKHLS,b_indresp,b_memorig,Sample origin; individual,13.0,ip7 refreshment sample 2014
1219907,UKHLS,b_indresp,b_memorig,Sample origin; individual,14.0,ECHP - SCPR
1219908,UKHLS,b_indresp,b_memorig,Sample origin; individual,15.0,ECHP - ONS
1219909,UKHLS,b_indresp,b_memorig,Sample origin; individual,16.0,ECHP - NI
1219910,UKHLS,b_indresp,b_psu,Primary sampling unit,,
1219911,UKHLS,b_indresp,b_strata,Strata,,
1219912,UKHLS,b_indresp,b_sampst,sample status,1.0,osm
1219913,UKHLS,b_indresp,b_sampst,sample status,2.0,psm 
1219914,UKHLS,b_indresp,b_sampst,sample status,3.0,tsm
1219915,UKHLS,b_indresp,b_month,sample month,-7.0,proxy
1219916,UKHLS,b_indresp,b_month,sample month,1.0,jan yr1
1219917,UKHLS,b_indresp,b_month,sample month,2.0,feb yr1
1219918,UKHLS,b_indresp,b_month,sample month,3.0,mar yr1
1219919,UKHLS,b_indresp,b_month,sample month,4.0,apr yr1
1219920,UKHLS,b_indresp,b_month,sample month,5.0,may yr1
1219921,UKHLS,b_indresp,b_month,sample month,6.0,jun yr1
1219922,UKHLS,b_indresp,b_month,sample month,7.0,jul yr1
1219923,UKHLS,b_indresp,b_month,sample month,8.0,aug yr1
1219924,UKHLS,b_indresp,b_month,sample month,9.0,sep yr1 
1219925,UKHLS,b_indresp,b_month,sample month,10.0,oct yr1 
1219926,UKHLS,b_indresp,b_month,sample month,11.0,nov yr1
1219927,UKHLS,b_indresp,b_month,sample month,12.0,dec yr1 
1219928,UKHLS,b_indresp,b_month,sample month,13.0,jan yr2
1219929,UKHLS,b_indresp,b_month,sample month,14.0,feb yr2
1219930,UKHLS,b_indresp,b_month,sample month,15.0,mar yr2
1219931,UKHLS,b_indresp,b_month,sample month,16.0,apr yr2
1219932,UKHLS,b_indresp,b_month,sample month,17.0,may yr2
1219933,UKHLS,b_indresp,b_month,sample month,18.0,jun yr2
1219934,UKHLS,b_indresp,b_month,sample month,19.0,jul yr2
1219935,UKHLS,b_indresp,b_month,sample month,20.0,aug yr2
1219936,UKHLS,b_indresp,b_month,sample month,21.0,sep yr2 
1219937,UKHLS,b_indresp,b_month,sample month,22.0,oct yr2 
1219938,UKHLS,b_indresp,b_month,sample month,23.0,nov yr2
1219939,UKHLS,b_indresp,b_month,sample month,24.0,dec yr2 
1219940,UKHLS,b_indresp,b_ivfio,Individual level outcome,54.0,out of scope/non-int hh
1219941,UKHLS,b_indresp,b_ivfio,Individual level outcome,55.0,institutnsd/non-int hh
1219942,UKHLS,b_indresp,b_ivfio,Individual level outcome,57.0,ill/away - non-int hhold
1219943,UKHLS,b_indresp,b_ivfio,Individual level outcome,60.0,child <16 ref/non-int hh
1219944,UKHLS,b_indresp,b_ivfio,Individual level outcome,61.0,chd <16 lang prob/non-int hh
1219945,UKHLS,b_indresp,b_ivfio,Individual level outcome,62.0,chd <16 infirm/non-int hh
