,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1228407,UKHLS,ca_indresp_w,study_id_e,,,
1228408,UKHLS,ca_indresp_w,psu,Primary sampling unit,-1.0,don't know
1228409,UKHLS,ca_indresp_w,psu,Primary sampling unit,-9.0,missing
1228410,UKHLS,ca_indresp_w,psu,Primary sampling unit,-8.0,inapplicable
1228411,UKHLS,ca_indresp_w,psu,Primary sampling unit,-2.0,refusal
1228412,UKHLS,ca_indresp_w,strata,Strata,-9.0,missing
1228413,UKHLS,ca_indresp_w,strata,Strata,-8.0,inapplicable
1228414,UKHLS,ca_indresp_w,strata,Strata,-2.0,refusal
1228415,UKHLS,ca_indresp_w,strata,Strata,-1.0,don't know
1228416,UKHLS,ca_indresp_w,birthy,Year of birth,-9.0,missing
1228417,UKHLS,ca_indresp_w,birthy,Year of birth,-8.0,inapplicable
1228418,UKHLS,ca_indresp_w,birthy,Year of birth,-2.0,refusal
1228419,UKHLS,ca_indresp_w,birthy,Year of birth,-1.0,don't know
1228420,UKHLS,ca_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,1.0,british/english/scottish/welsh/northern irish (white)
1228421,UKHLS,ca_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,2.0,irish (white)
1228422,UKHLS,ca_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,3.0,gypsy or irish traveller (white)
1228423,UKHLS,ca_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,4.0,any other white background (white)
1228424,UKHLS,ca_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,5.0,white and black caribbean (mixed)
1228425,UKHLS,ca_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,6.0,white and black african (mixed)
1228426,UKHLS,ca_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,7.0,white and asian (mixed)
1228427,UKHLS,ca_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,8.0,any other mixed background (mixed)
