variable_name,value_value,value_label,avail_from_dt,table_name
cb_relationk,7,Grand-parent,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_relationk,8,Other relative,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_relationk,9,Other non-relative,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove9,-8,Inapplicable,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove9,-2,Refusal,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove9,-1,Don't know,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove8,0,Not mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove8,1,Mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove8,-9,Missing,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove8,-8,Inapplicable,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove8,-2,Refusal,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove8,-1,Don't know,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove7,0,Not mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove7,1,Mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove7,-9,Missing,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove7,-8,Inapplicable,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove7,-2,Refusal,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove7,-1,Don't know,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove6,0,Not mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove6,1,Mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove6,-9,Missing,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove6,-8,Inapplicable,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove6,-2,Refusal,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove6,-1,Don't know,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove5,0,Not mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove5,1,Mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove5,-9,Missing,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove5,-8,Inapplicable,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove5,-2,Refusal,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove5,-1,Don't know,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove4,0,Not mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove4,1,Mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove4,-9,Missing,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove4,-8,Inapplicable,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove4,-2,Refusal,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove4,-1,Don't know,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove3,0,Not mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove3,1,Mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove3,-9,Missing,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove3,-8,Inapplicable,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove3,-2,Refusal,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove3,-1,Don't know,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove2,0,Not mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove2,1,Mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove2,-9,Missing,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove2,-8,Inapplicable,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove2,-2,Refusal,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove2,-1,Don't know,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove1,0,Not mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove1,1,Mentioned,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove1,-9,Missing,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
cb_cvwhymove1,-8,Inapplicable,2022-02-15 14:32:43.507,cb_indresp_w_v0002_20220118
