,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1416906,UKHLS,cc_indresp_w,study_id_e,,,
1416907,UKHLS,cc_indresp_w,psu,Primary sampling unit,-1.0,Don't know
1416908,UKHLS,cc_indresp_w,psu,Primary sampling unit,-9.0,Missing
1416909,UKHLS,cc_indresp_w,psu,Primary sampling unit,-8.0,Inapplicable
1416910,UKHLS,cc_indresp_w,psu,Primary sampling unit,-2.0,Refusal
1416911,UKHLS,cc_indresp_w,strata,Strata,-9.0,Missing
1416912,UKHLS,cc_indresp_w,strata,Strata,-8.0,Inapplicable
1416913,UKHLS,cc_indresp_w,strata,Strata,-2.0,Refusal
1416914,UKHLS,cc_indresp_w,strata,Strata,-1.0,Don't know
1416915,UKHLS,cc_indresp_w,birthy,Year of birth,-9.0,Missing
1416916,UKHLS,cc_indresp_w,birthy,Year of birth,-1.0,Don't know
1416917,UKHLS,cc_indresp_w,birthy,Year of birth,-8.0,Inapplicable
1416918,UKHLS,cc_indresp_w,birthy,Year of birth,-2.0,Refusal
1416919,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,97.0,any other ethnic group (other ethnic group)
1416920,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-9.0,Missing
1416921,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-8.0,Inapplicable
1416922,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-2.0,Refusal
1416923,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-1.0,Don't know
1416924,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,1.0,british/english/scottish/welsh/northern irish (white)
1416925,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,2.0,irish (white)
1416926,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,3.0,gypsy or irish traveller (white)
1416927,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,4.0,any other white background (white)
1416928,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,5.0,white and black caribbean (mixed)
1416929,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,6.0,white and black african (mixed)
1416930,UKHLS,cc_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,7.0,white and asian (mixed)
