variable_name,variable_label,avail_from_dt,table_name
cc_symptoms18,Symptoms experienced that could be coronavirus - Chest pain,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_symptoms19,Symptoms experienced that could be coronavirus - Chills (feeling too cold),2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_mhealthtypn_cv12,New: mental health - Dementia (including Alzheimer's),2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_mhealthtypn_cv13,New: mental health - Nervous breakdown,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_mhealthtypn_cv14,New: mental health - A personality disorder,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_mhealthtypn_cv15,New: mental health - Obsessive compulsive disorder (OCD),2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_mhealthtypn_cv16,New: mental health - Seasonal affective disorder,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_mhealthtypn_cv17,New: mental health - Alcohol or drug dependence,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_mhealthtypn_cv18,New: mental health - Any other anxiety disorder,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_mhealthtypn_cv19,New: mental health - Other mental; emotional or neurological problem,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_mhealthtypn_cv20,New: mental health - Don't know,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_hcond_treat1,Baseline: existing treatments - Medication following an organ transplant,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_hcond_treat2,Baseline: existing treatments - Medicines that weaken the immune system,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_hcond_treat3,Baseline: existing treatments - Targeted/chemotherapy for cancer treatment,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_hcond_treat4,Baseline: existing treatments - Radiotherapy for cancer treatment,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_hcond_treat5,Baseline: existing treatments - Other treatment or medication,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_hcond_treat6,Baseline: existing treatments - None of these,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_treatment1,Treatment planned - Yes; tests/consultations planned or in progress,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_treatment2,Treatment planned - Yes; operation or procedure planned,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_treatment3,Treatment planned - Yes; targeted therapy; chemotherapy or radiotherapy,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_treatment4,Treatment planned - Yes; other treatment planned,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_treatment5,Treatment planned - No,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_canceltreat,Health condition treatment cancelled,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_nhsnowgp,Use of NHS now for condition - GP,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_nhsnowpm,Use of NHS for condition - prescription meds,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_nhsnowop,Use of NHS for condition - outpatients,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
cc_nhsnowip,Use of NHS for condition - inpatients,2022-03-17 13:16:49.193,cc_indresp_w_v0002_20220118
