variable_name,value_value,value_label,avail_from_dt,table_name
cc_workchsch,-1,Don't know,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids15,1,Yes,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids15,2,No,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids15,-9,Missing,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids15,-8,Inapplicable,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids15,-2,Refusal,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids15,-1,Don't know,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids19,1,Yes,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids19,2,No,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids19,-9,Missing,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids19,-8,Inapplicable,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids19,-2,Refusal,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_nreskids19,-1,Don't know,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,1,Less than 15 minutes,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,2,Between 15 and 30 mins,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,3,Between 30 mins and 1 hour,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,4,Between 1 and 2 hours,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,5,More than 2 hours,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,6,Lives/works abroad,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,-9,Missing,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,-8,Inapplicable,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,-2,Refusal,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_farkid_cv,-1,Don't know,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,1,Never,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,2,A few times a year,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,3,Once a month or less,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,4,Several times a month,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,5,About once a week,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,6,Several times a week,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,7,Almost every day,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,8,Shared care 50/50,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,-9,Missing,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,-8,Inapplicable,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,-2,Refusal,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_blseekid,-1,Don't know,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_seekidn,1,Never,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_seekidn,2,Once a month or less,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_seekidn,3,Several times a month,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_seekidn,4,About once a week,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_seekidn,5,Several times a week,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_seekidn,6,Almost every day,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_seekidn,7,Shared care 50/50,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_seekidn,-9,Missing,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
cc_seekidn,-8,Inapplicable,2022-02-15 15:34:15.880,cc_indresp_w_v0002_20220118
