,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1263969,UKHLS,cd_indresp_w,study_id_e,,,
1263970,UKHLS,cd_indresp_w,psu,Primary sampling unit,-9.0,missing
1263971,UKHLS,cd_indresp_w,psu,Primary sampling unit,-8.0,inapplicable
1263972,UKHLS,cd_indresp_w,psu,Primary sampling unit,-2.0,refusal
1263973,UKHLS,cd_indresp_w,psu,Primary sampling unit,-1.0,don't know
1263974,UKHLS,cd_indresp_w,strata,Strata,-9.0,missing
1263975,UKHLS,cd_indresp_w,strata,Strata,-8.0,inapplicable
1263976,UKHLS,cd_indresp_w,strata,Strata,-2.0,refusal
1263977,UKHLS,cd_indresp_w,strata,Strata,-1.0,don't know
1263978,UKHLS,cd_indresp_w,birthy,Year of birth,-9.0,missing
1263979,UKHLS,cd_indresp_w,birthy,Year of birth,-8.0,inapplicable
1263980,UKHLS,cd_indresp_w,birthy,Year of birth,-2.0,refusal
1263981,UKHLS,cd_indresp_w,birthy,Year of birth,-1.0,don't know
1263982,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,1.0,british/english/scottish/welsh/northern irish (white)
1263983,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,2.0,irish (white)
1263984,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,3.0,gypsy or irish traveller (white)
1263985,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,4.0,any other white background (white)
1263986,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,5.0,white and black caribbean (mixed)
1263987,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,6.0,white and black african (mixed)
1263988,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,7.0,white and asian (mixed)
1263989,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,8.0,any other mixed background (mixed)
1263990,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,9.0,indian (asian or asian british)
1263991,UKHLS,cd_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,10.0,pakistani (asian or asian british)
