variable_name,value_value,value_label,avail_from_dt,table_name
cd_wah,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_wah,-2,Refusal,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_wah,-1,Don't know,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_ff_ucredit,1,Award approved or receiving Universal Credit,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_ff_ucredit,2,Application in process,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_ff_ucredit,-9,Missing,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_ff_ucredit,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_ff_ucredit,-2,Refusal,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childb,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childb,-2,Refusal,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childb,-1,Don't know,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childc,1,Yes,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childc,2,They are currently being assessed or planning to be assessed,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childc,3,No,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childc,-9,Missing,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childc,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childc,-2,Refusal,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childc,-1,Don't know,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childd,1,Yes,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childd,2,They are currently being assessed or planning to be assessed,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childd,3,No,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childd,-9,Missing,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_senspt1217_childd,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat5,-1,Don't know,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat6,0,Not mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat6,1,Mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat6,-9,Missing,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat6,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat6,-2,Refusal,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat6,-1,Don't know,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat7,0,Not mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat7,1,Mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat7,-9,Missing,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat7,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat7,-2,Refusal,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat7,-1,Don't know,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat8,0,Not mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat8,1,Mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat8,-9,Missing,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat8,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat8,-2,Refusal,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat8,-1,Don't know,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat9,0,Not mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat9,1,Mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat9,-9,Missing,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat9,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat9,-2,Refusal,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat9,-1,Don't know,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat10,0,Not mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat10,1,Mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat10,-9,Missing,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat10,-8,Inapplicable,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat10,-2,Refusal,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat10,-1,Don't know,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat11,0,Not mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
cd_cv19trwhat11,1,Mentioned,2022-02-15 15:47:20.810,cd_indresp_w_v0002_20220118
