,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1278510,UKHLS,ce_indresp_w,study_id_e,,,
1278511,UKHLS,ce_indresp_w,psu,Primary sampling unit,-9.0,missing
1278512,UKHLS,ce_indresp_w,psu,Primary sampling unit,-8.0,inapplicable
1278513,UKHLS,ce_indresp_w,psu,Primary sampling unit,-2.0,refusal
1278514,UKHLS,ce_indresp_w,psu,Primary sampling unit,-1.0,don't know
1278515,UKHLS,ce_indresp_w,strata,Strata,-9.0,missing
1278516,UKHLS,ce_indresp_w,strata,Strata,-8.0,inapplicable
1278517,UKHLS,ce_indresp_w,strata,Strata,-2.0,refusal
1278518,UKHLS,ce_indresp_w,strata,Strata,-1.0,don't know
1278519,UKHLS,ce_indresp_w,birthy,Year of birth,-9.0,missing
1278520,UKHLS,ce_indresp_w,birthy,Year of birth,-8.0,inapplicable
1278521,UKHLS,ce_indresp_w,birthy,Year of birth,-2.0,refusal
1278522,UKHLS,ce_indresp_w,birthy,Year of birth,-1.0,don't know
1278523,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,9.0,indian (asian or asian british)
1278524,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,10.0,pakistani (asian or asian british)
1278525,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,11.0,bangladeshi (asian or asian british)
1278526,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,12.0,chinese (asian or asian british)
1278527,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,13.0,any other asian background (asian or asian british)
1278528,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,14.0,caribbean (black or black british)
1278529,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,15.0,african (black or black britih)
1278530,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,16.0,any other black background (black or black britih)
1278531,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,17.0,arab (other ethnic group)
1278532,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,97.0,any other ethnic group (other ethnic group)
1278533,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-9.0,missing
1278534,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-8.0,inapplicable
1278535,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-2.0,refusal
1278536,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-1.0,don't know
1278537,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,1.0,british/english/scottish/welsh/northern irish (white)
1278538,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,2.0,irish (white)
1278539,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,3.0,gypsy or irish traveller (white)
1278540,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,4.0,any other white background (white)
1278541,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,5.0,white and black caribbean (mixed)
1278542,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,6.0,white and black african (mixed)
1278543,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,7.0,white and asian (mixed)
1278544,UKHLS,ce_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,8.0,any other mixed background (mixed)
1278545,UKHLS,ce_indresp_w,bornuk_dv,Born in UK (derived),2.0,not born in uk
1278546,UKHLS,ce_indresp_w,bornuk_dv,Born in UK (derived),1.0,born in uk
1278547,UKHLS,ce_indresp_w,bornuk_dv,Born in UK (derived),-9.0,missing
1278548,UKHLS,ce_indresp_w,bornuk_dv,Born in UK (derived),-8.0,inapplicable
1278549,UKHLS,ce_indresp_w,bornuk_dv,Born in UK (derived),-2.0,refusal
1278550,UKHLS,ce_indresp_w,bornuk_dv,Born in UK (derived),-1.0,don't know
1278551,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,11.0,Full adult interview
1278552,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,12.0,Full youth interview
1278553,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,13.0,Full proxy interview
1278554,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,21.0,Partial adult interview
1278555,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,22.0,Partial youth interview
1278556,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,23.0,Partial proxy interview
1278557,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,31.0,No contact with adult sample member
1278558,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,32.0,No contact with youth sample member
1278559,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,33.0,Contact but no subsequent contact
1278560,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,41.0,Office refusal
1278561,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,42.0,Proxy refusal
1278562,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,43.0,Refusal before interview
1278563,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,44.0,Refusal during interview
1278564,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,45.0,Youth refusal
1278565,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,46.0,Broken appointment - No recontact
1278566,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,47.0,Individual in household not attempted
1278567,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,48.0,Said would complete online but didn't
1278568,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,51.0,Ill at home during survey period
1278569,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,52.0,Away or in hospital all survey period
1278570,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,53.0,Physically or mentally unable/incompetent
1278571,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,54.0,Language difficulties
1278572,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,55.0,Requires translation into one of the 9 translated languages
1278573,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,56.0,Lost interview
1278574,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,60.0,Non responding adult in web only HH
1278575,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,61.0,Non responding youth in web only HH
1278576,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,62.0,Adult in non-responding web HH
1278577,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,63.0,Youth in non-responding web HH
1278578,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,64.0,Child in non-responding web HH
1278579,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,75.0,Issued adamant refuser (ff_exclude=1)
1278580,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,76.0,Ineligible for interview - aged under 10
1278581,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,77.0,Deceased
1278582,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,78.0,Moved outside of UK
1278583,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,79.0,Moved to NI (Innovation Panel only)
1278584,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,80.0,Adult in non-contacted household
1278585,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,81.0,Adult in refusal household
1278586,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,82.0,Adult in other non-responding household
1278587,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,83.0,Youth in non-contacted household
1278588,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,84.0,Youth in refusal household
1278589,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,85.0,Youth in other non-responding household
1278590,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,86.0,Child (<10) in non-contacted household
1278591,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,87.0,Child (<10) in refusal household
1278592,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,88.0,Child (<10) in other non-responding household
1278593,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,89.0,IV TSM - all OSM/PSM moved out from HH (TSM not eligible for interview)
1278594,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,90.0,Ineligible - TSM in TSM-only household
1278595,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,91.0,Ineligible - merged with previous-wave household
1278596,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,92.0,Ineligible - individual in household not issued to interview
1278597,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,99.0,Moved out
1278598,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,-9.0,missing
1278599,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,-8.0,inapplicable
1278600,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,-2.0,refusal
1278601,UKHLS,ce_indresp_w,i_ioutcome,Individual outcome  ,-1.0,don't know
1278602,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,60.0,Non responding adult in web only HH
1278603,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,61.0,Non responding youth in web only HH
1278604,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,62.0,Adult in non-responding web HH
1278605,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,63.0,Youth in non-responding web HH
1278606,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,64.0,Child in non-responding web HH
1278607,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,11.0,Full adult interview
1278608,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,12.0,Full youth interview
1278609,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,13.0,Full proxy interview
1278610,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,75.0,Issued adamant refuser (ff_exclude=1)
1278611,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,76.0,Ineligible for interview - aged under 10
1278612,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,77.0,Deceased
1278613,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,78.0,Moved outside of UK
1278614,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,79.0,Moved to NI (Innovation Panel only)
1278615,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,80.0,Adult in non-contacted household
1278616,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,81.0,Adult in refusal household
1278617,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,82.0,Adult in other non-responding household
1278618,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,83.0,Youth in non-contacted household
1278619,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,84.0,Youth in refusal household
1278620,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,85.0,Youth in other non-responding household
1278621,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,86.0,Child (<10) in non-contacted household
1278622,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,87.0,Child (<10) in refusal household
1278623,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,88.0,Child (<10) in other non-responding household
1278624,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,89.0,IV TSM - all OSM/PSM moved out from HH (TSM not eligible for interview)
1278625,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,90.0,Ineligible - TSM in TSM-only household
1278626,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,91.0,Ineligible - merged with previous-wave household
1278627,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,92.0,Ineligible - individual in household not issued to interview
1278628,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,99.0,Moved out
1278629,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,-9.0,missing
1278630,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,-8.0,inapplicable
1278631,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,-2.0,refusal
1278632,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,-1.0,don't know
1278633,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,21.0,Partial adult interview
1278634,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,22.0,Partial youth interview
1278635,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,23.0,Partial proxy interview
1278636,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,31.0,No contact with adult sample member
1278637,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,32.0,No contact with youth sample member
1278638,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,33.0,Contact but no subsequent contact
1278639,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,41.0,Office refusal
1278640,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,42.0,Proxy refusal
1278641,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,43.0,Refusal before interview
1278642,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,44.0,Refusal during interview
1278643,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,45.0,Youth refusal
1278644,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,46.0,Broken appointment - No recontact
1278645,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,47.0,Individual in household not attempted
1278646,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,48.0,Said would complete online but didn't
1278647,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,51.0,Ill at home during survey period
1278648,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,52.0,Away or in hospital all survey period
1278649,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,53.0,Physically or mentally unable/incompetent
1278650,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,54.0,Language difficulties
1278651,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,55.0,Requires translation into one of the 9 translated languages
1278652,UKHLS,ce_indresp_w,j_ioutcome,Individual outcome,56.0,Lost interview
1278653,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,55.0,Requires translation into one of the 9 translated languages
1278654,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,56.0,Lost interview
1278655,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,60.0,Non responding adult in web only HH
1278656,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,61.0,Non responding youth in web only HH
1278657,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,62.0,Adult in non-responding web HH
1278658,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,63.0,Youth in non-responding web HH
1278659,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,64.0,Child in non-responding web HH
1278660,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,75.0,Issued adamant refuser (ff_exclude=1)
1278661,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,22.0,Partial youth interview
1278662,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,23.0,Partial proxy interview
1278663,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,31.0,No contact with adult sample member
1278664,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,32.0,No contact with youth sample member
1278665,UKHLS,ce_indresp_w,k_ioutcome,Individual outcome,33.0,Contact but no subsequent contact
