variable_name,value_value,value_label,avail_from_dt,table_name
cf_smartmodel,11407,Mecer 101P51C,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11408,Mecer 101P51D,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11409,Mecer 800P31C,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11410,Mecer 800P71D,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11411,Mecer M17QF6_3G,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11412,Mecer M17QF6_4G,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11413,Mecer M76QF6,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11414,Mecer M785P,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11415,Mecer M86Q9-3G,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11416,Mecer MF716,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11417,Mecer MF716+,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11418,Mecer MK7000Pro,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11419,Mecer MW16Q9-3G,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11420,Mecer MW16Q9-4G,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11421,Mecer TEI11011,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11422,Mecer TF10EA2,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11423,Mecer TF10MK1,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11424,Mecool KM1,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11425,Mecool KM3,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11426,Mecool KM8,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11427,Mecool KM9PRO,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11428,Mediabox MBX4K Ranger,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11429,Mediacom 10edge,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11430,Mediacom 1AEC,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11431,Mediacom 1AY,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11432,Mediacom 1AZ2T,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11433,Mediacom 1AZ_EEA,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11434,Mediacom 1BEC_eea,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11435,Mediacom 1BY,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11436,Mediacom 1CY_EEA,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11437,Mediacom 1DY4G_eea,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11438,Mediacom 7BY,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11439,Mediacom 7CY_eea,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11440,Mediacom 7DY_EEA,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11441,Mediacom 8AY,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11442,Mediacom 8BY_EEA,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11443,Mediacom G5M,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11444,Mediacom M-PPAG4,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11445,Mediacom M-PPxG4P,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11446,Mediacom M-PPxG5,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11447,Mediacom M-PPxG7,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11448,Mediacom M-PPxS5,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11449,Mediacom M-PPxS5P,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11450,Mediacom M-PPxS6,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11451,Mediacom M-PPxS6P,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11452,Mediacom M-PPxS7,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11453,Mediacom M-PPxS7P,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11454,Mediacom M-SP10HXxH,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11455,Mediacom M-SP10MXHA,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11456,Mediacom M-SP10MXHL,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11457,Mediacom M-SP1AGO3G,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11458,Mediacom M-SP7HXAH,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11459,Mediacom M-SP7xGO3G,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11460,Mediacom M-SP8HXAH,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11461,Mediacom M-SP8MXA,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11462,Medion E1050X,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11463,Medion E1051X,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11464,Medion E4502,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11465,Medion E4506,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11466,Medion E4507,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11467,Medion E5004,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11468,Medion E5005,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11469,Medion E5006/P5006,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11470,Medion E5008,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11471,Medion E5504,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11472,Medion E691X,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11473,Medion E731x,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
cf_smartmodel,11474,Medion LIFETAB E10316,2022-02-15 16:14:40.767,cf_indresp_w_v0002_20220118
