,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1382635,UKHLS,cg_indresp_w,study_id_e,,,
1382636,UKHLS,cg_indresp_w,psu,Primary sampling unit,-9.0,missing
1382637,UKHLS,cg_indresp_w,psu,Primary sampling unit,-8.0,inapplicable
1382638,UKHLS,cg_indresp_w,psu,Primary sampling unit,-2.0,refusal
1382639,UKHLS,cg_indresp_w,psu,Primary sampling unit,-1.0,don't know
1382640,UKHLS,cg_indresp_w,strata,Strata,-9.0,missing
1382641,UKHLS,cg_indresp_w,strata,Strata,-8.0,inapplicable
1382642,UKHLS,cg_indresp_w,strata,Strata,-2.0,refusal
1382643,UKHLS,cg_indresp_w,strata,Strata,-1.0,don't know
1382644,UKHLS,cg_indresp_w,birthy,Year of birth,-9.0,missing
1382645,UKHLS,cg_indresp_w,birthy,Year of birth,-8.0,inapplicable
1382646,UKHLS,cg_indresp_w,birthy,Year of birth,-2.0,refusal
1382647,UKHLS,cg_indresp_w,birthy,Year of birth,-1.0,don't know
1382648,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,1.0,british/english/scottish/welsh/northern irish (white)
1382649,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,2.0,irish (white)
1382650,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,3.0,gypsy or irish traveller (white)
1382651,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,4.0,any other white background (white)
1382652,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,5.0,white and black caribbean (mixed)
1382653,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,6.0,white and black african (mixed)
1382654,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,7.0,white and asian (mixed)
1382655,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,8.0,any other mixed background (mixed)
1382656,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,9.0,indian (asian or asian british)
1382657,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,10.0,pakistani (asian or asian british)
1382658,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,11.0,bangladeshi (asian or asian british)
1382659,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,12.0,chinese (asian or asian british)
1382660,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,13.0,any other asian background (asian or asian british)
1382661,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,14.0,caribbean (black or black british)
1382662,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,15.0,african (black or black britih)
1382663,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,16.0,any other black background (black or black britih)
1382664,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,17.0,arab (other ethnic group)
1382665,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,97.0,any other ethnic group (other ethnic group)
1382666,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-9.0,missing
1382667,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-8.0,inapplicable
1382668,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-2.0,refusal
1382669,UKHLS,cg_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-1.0,don't know
1382670,UKHLS,cg_indresp_w,bornuk_dv,Born in UK (derived),2.0,not born in uk
1382671,UKHLS,cg_indresp_w,bornuk_dv,Born in UK (derived),1.0,born in uk
1382672,UKHLS,cg_indresp_w,bornuk_dv,Born in UK (derived),-9.0,missing
1382673,UKHLS,cg_indresp_w,bornuk_dv,Born in UK (derived),-8.0,inapplicable
1382674,UKHLS,cg_indresp_w,bornuk_dv,Born in UK (derived),-2.0,refusal
1382675,UKHLS,cg_indresp_w,bornuk_dv,Born in UK (derived),-1.0,don't know
1382676,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,76.0,Ineligible for interview - aged under 10
1382677,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,77.0,Deceased
1382678,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,78.0,Moved outside of UK
1382679,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,79.0,Moved to NI (Innovation Panel only)
1382680,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,80.0,Adult in non-contacted household
1382681,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,81.0,Adult in refusal household
1382682,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,82.0,Adult in other non-responding household
1382683,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,83.0,Youth in non-contacted household
1382684,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,84.0,Youth in refusal household
1382685,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,85.0,Youth in other non-responding household
1382686,UKHLS,cg_indresp_w,i_ioutcome,Individual outcome  ,86.0,Child (<10) in non-contacted household
