variable_name,value_value,value_label,avail_from_dt,table_name
cg_stillpreg,1,Yes,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_stillpreg,2,No,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_stillpreg,3,Don't know,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_stillpreg,-9,missing,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_stillpreg,-8,inapplicable,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_stillpreg,-2,refusal,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp15,-8,inapplicable,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp15,-2,refusal,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp15,-1,don't know,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp14,0,Not mentioned,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp14,1,Mentioned,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp14,-9,missing,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp14,-8,inapplicable,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp14,-2,refusal,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp14,-1,don't know,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp13,0,Not mentioned,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp13,1,Mentioned,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp13,-9,missing,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp13,-8,inapplicable,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp13,-2,refusal,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp13,-1,don't know,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp12,0,Not mentioned,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp12,1,Mentioned,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp12,-9,missing,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp12,-8,inapplicable,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp12,-2,refusal,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp12,-1,don't know,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp10,0,Not mentioned,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp10,1,Mentioned,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
cg_lgcvsymp10,-9,missing,2022-02-15 16:29:57.593,cg_indresp_w_v0002_20220118
