,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1635251,UKHLS,ci_indresp_w,study_id_e,,,
1635252,UKHLS,ci_indresp_w,psu,Primary sampling unit,-9.0,missing
1635253,UKHLS,ci_indresp_w,psu,Primary sampling unit,-8.0,inapplicable
1635254,UKHLS,ci_indresp_w,psu,Primary sampling unit,-2.0,refusal
1635255,UKHLS,ci_indresp_w,psu,Primary sampling unit,-1.0,don't know
1635256,UKHLS,ci_indresp_w,strata,Strata,-9.0,missing
1635257,UKHLS,ci_indresp_w,strata,Strata,-8.0,inapplicable
1635258,UKHLS,ci_indresp_w,strata,Strata,-2.0,refusal
1635259,UKHLS,ci_indresp_w,strata,Strata,-1.0,don't know
1635260,UKHLS,ci_indresp_w,birthy,Year of birth,-9.0,missing
1635261,UKHLS,ci_indresp_w,birthy,Year of birth,-8.0,inapplicable
1635262,UKHLS,ci_indresp_w,birthy,Year of birth,-2.0,refusal
1635263,UKHLS,ci_indresp_w,birthy,Year of birth,-1.0,don't know
1635264,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-2.0,refusal
1635265,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,3.0,gypsy or irish traveller (white)
1635266,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,4.0,any other white background (white)
1635267,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,5.0,white and black caribbean (mixed)
1635268,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,6.0,white and black african (mixed)
1635269,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,7.0,white and asian (mixed)
1635270,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,8.0,any other mixed background (mixed)
1635271,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,9.0,indian (asian or asian british)
1635272,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,10.0,pakistani (asian or asian british)
1635273,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,11.0,bangladeshi (asian or asian british)
1635274,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,12.0,chinese (asian or asian british)
1635275,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,13.0,any other asian background (asian or asian british)
1635276,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,14.0,caribbean (black or black british)
1635277,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,15.0,african (black or black britih)
1635278,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,16.0,any other black background (black or black britih)
1635279,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,17.0,arab (other ethnic group)
1635280,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,97.0,any other ethnic group (other ethnic group)
1635281,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-9.0,missing
1635282,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-8.0,inapplicable
1635283,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,1.0,british/english/scottish/welsh/northern irish (white)
1635284,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,2.0,irish (white)
1635285,UKHLS,ci_indresp_w,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-1.0,don't know
1635286,UKHLS,ci_indresp_w,bornuk_dv,Born in UK (derived),2.0,not born in uk
1635287,UKHLS,ci_indresp_w,bornuk_dv,Born in UK (derived),1.0,born in uk
1635288,UKHLS,ci_indresp_w,bornuk_dv,Born in UK (derived),-9.0,missing
1635289,UKHLS,ci_indresp_w,bornuk_dv,Born in UK (derived),-8.0,inapplicable
1635290,UKHLS,ci_indresp_w,bornuk_dv,Born in UK (derived),-2.0,refusal
1635291,UKHLS,ci_indresp_w,bornuk_dv,Born in UK (derived),-1.0,don't know
1635292,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,99.0,Moved out
1635293,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,-9.0,missing
1635294,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,-8.0,inapplicable
1635295,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,-2.0,refusal
1635296,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,-1.0,don't know
1635297,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,22.0,Partial youth interview
1635298,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,23.0,Partial proxy interview
1635299,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,31.0,No contact with adult sample member
1635300,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,32.0,No contact with youth sample member
1635301,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,33.0,Contact but no subsequent contact
1635302,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,41.0,Office refusal
1635303,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,42.0,Proxy refusal
1635304,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,43.0,Refusal before interview
1635305,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,44.0,Refusal during interview
1635306,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,45.0,Youth refusal
1635307,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,46.0,Broken appointment - No recontact
1635308,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,47.0,Individual in household not attempted
1635309,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,48.0,Said would complete online but didn't
1635310,UKHLS,ci_indresp_w,i_ioutcome,Individual outcome  ,51.0,Ill at home during survey period
