variable_name,variable_label,avail_from_dt,table_name
ci_hcondnew_cv96,New health conditions diagnosed - None of these,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_arthtypn,New: if has arthritis,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cancertypn_cv1,New: if has cancer - Bowel/colorectal,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cancertypn_cv2,New: if has cancer - Lung,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cancertypn_cv3,New: if has cancer - Breast,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cancertypn_cv4,New: if has cancer - Prostate,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cancertypn_cv5,New: if has cancer - Liver,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
study_id,,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
psu,Primary sampling unit,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
strata,Strata,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
birthy,Year of birth,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
bornuk_dv,Born in UK (derived),2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
i_ioutcome,Individual outcome  ,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
j_ioutcome,Individual outcome,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
k_ioutcome,Individual outcome,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_welsh,Welsh language,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_dobchk,Check respondent date of birth,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_age,Age - derived,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_sex_cv,Respondent sex,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_addrchk,Address check,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_couplewsh,Living with a partner,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_hhnum,Household size,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexa,Household members - sex - persona,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexb,Household members - sex - personb,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexc,Household members - sex - personc,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexd,Household members - sex - persond,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexe,Household members - sex - persone,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexf,Household members - sex - personf,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexg,Household members - sex - persong,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexh,Household members - sex - personh,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexi,Household members - sex - personi,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexj,Household members - sex - personj,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personsexk,Household members - sex - personk,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personagea,Household members - age - persona,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personageb,Household members - age - personb,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personagec,Household members - age - personc,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personaged,Household members - age - persond,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personagee,Household members - age - persone,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personagef,Household members - age - personf,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personageg,Household members - age - persong,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personageh,Household members - age - personh,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personagei,Household members - age - personi,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personagej,Household members - age - personj,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_personagek,Household members - age - personk,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationa,Household members - relationship - persona,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationb,Household members - relationship - personb,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationc,Household members - relationship - personc,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationd,Household members - relationship - persond,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relatione,Household members - relationship - persone,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationf,Household members - relationship - personf,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationg,Household members - relationship - persong,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationh,Household members - relationship - personh,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationi,Household members - relationship - personi,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationj,Household members - relationship - personj,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_relationk,Household members - relationship - personk,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_couple,Living with a partner,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_hhcompa,Number of household members aged 0-4; excluding respondent,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_hhcompb,Number of household members aged 5-15; excluding respondent,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_hhcompc,Number of household members aged 16-18; excluding respondent,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_hhcompd,Number of household members aged 19-69; excluding respondent,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_hhcompe,Number of household members aged 70 or older; excluding respondent,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_parent0plus,Parent of children aged 0-4 in household,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_parent5plus,Parent of children aged 5+ in household,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_parent015,Parent of children aged 0-15 in household,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_parent1619,Parent of children aged 16-19 in household,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_parent511,Parent of children aged 5-11 in household,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_parent1217,Parent of children aged 12-17 in household,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_parent418,Parent of children aged 4-18 in household,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_preschage1,Preschool age children - 1 Sept 2015 - 31 Aug 2016,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_preschage2,Preschool age children - 1 Sept 2016 - 31 March 2017,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_preschage3,Preschool age children - 1 April 2017 - 31 Aug 2017,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_preschage4,Preschool age children - 1 Sept 2017 - 31 Dec 2017,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_scsf1,General health,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_ff_hadsymp,Previously reported COVID symptoms,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_clinvuln_dv,At risk of serious illness from COVID-19,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_hadsymp,Has had symptoms that could be coronavirus,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_hassymp,Has symptoms that could be coronavirus,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_symptoms1,Symptoms - High temperature,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19treat,Medical help for covid19 symptoms,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat1,What medical help for covid19 symptoms - Contacted NHS 111,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat2,What medical help for covid19 symptoms - Received an NHS 111 isolation note,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat3,What medical help for covid19 symptoms - Visited pharmacist,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat4,What medical help for covid19 symptoms - GP/practice nurse - phone or online,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat5,What medical help for covid19 symptoms - Consulted GP/practice nurse facetoface,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat6,What medical help for covid19 symptoms - Received a 'fit note' from GP,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat7,What medical help for covid19 symptoms - Walk-in centre,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat8,What medical help for covid19 symptoms - Accident and Emergency,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat9,What medical help for covid19 symptoms - Inpatient hospital stay,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat10,What medical help for covid19 symptoms - Employer's occupational health,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_cv19trwhat11,What medical help for covid19 symptoms - Other,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_longcovid,Has long covid,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_lgcvsymp1,Long covid symptoms - High temperature,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_lgcvsymp23,Long covid symptoms - Persistent coughing,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_lgcvsymp24,Long covid symptoms - Loss of concentration,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_covidappnot_oth,Why contact tracing in COVID app not on - other coded,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsapp,NHS App download,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno1,Why not downloaded NHS App - I don't think it will be useful; I don't need it,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno2,Why not downloaded NHS App - I didn't know there was an app,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno3,Why not downloaded NHS App - Have not got around to downloading it,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno4,Why not downloaded NHS App - My smartphone is too old,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno5,Why not downloaded NHS App - I don't have storage space for the app,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno6,Why not downloaded NHS App - I think the app will use up too much battery,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno7,Why not downloaded NHS App - I don't know how to download it,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno8,Why not downloaded NHS App - I couldn't find it in the app store,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno9,Why not downloaded NHS App - I am worried about my privacy,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno10,Why not downloaded NHS App - Other reasons,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
ci_nhsappno_oth,Other reason for not downloading NHS App,2022-03-17 14:13:35.220,ci_indresp_w_v0002_20220118
