,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1449319,UKHLS,d_indresp,study_id_e,,,
1449320,UKHLS,d_indresp,d_pno,person number,,
1449321,UKHLS,d_indresp,d_childpno,pno of child,-9.0,missing
1449322,UKHLS,d_indresp,d_childpno,pno of child,-8.0,inapplicable
1449323,UKHLS,d_indresp,d_childpno,pno of child,-2.0,refusal
1449324,UKHLS,d_indresp,d_childpno,pno of child,-1.0,don't know
1449325,UKHLS,d_indresp,d_childpno,pno of child,-7.0,proxy
1449326,UKHLS,d_indresp,d_hhorig,Sample origin; household,1.0,ukhls gb 2009-10
1449327,UKHLS,d_indresp,d_hhorig,Sample origin; household,2.0,ukhls ni 2009-10
1449328,UKHLS,d_indresp,d_hhorig,Sample origin; household,3.0,bhps gb 1991
1449329,UKHLS,d_indresp,d_hhorig,Sample origin; household,4.0,bhps sco 1999
1449330,UKHLS,d_indresp,d_hhorig,Sample origin; household,5.0,bhps wal 1999
1449331,UKHLS,d_indresp,d_hhorig,Sample origin; household,6.0,bhps ni 2001
1449332,UKHLS,d_indresp,d_hhorig,Sample origin; household,7.0,ukhls emboost 2009-10
1449333,UKHLS,d_indresp,d_hhorig,Sample origin; household,8.0,ukhls iemb 2014-15
1449334,UKHLS,d_indresp,d_hhorig,Sample origin; household,11.0,ip original sample 2008
1449335,UKHLS,d_indresp,d_hhorig,Sample origin; household,12.0,ip4 refreshment sample 2011
1449336,UKHLS,d_indresp,d_hhorig,Sample origin; household,13.0,ip7 refreshment sample 2014
1449337,UKHLS,d_indresp,d_hhorig,Sample origin; household,14.0,ECHP - SCPR
1449338,UKHLS,d_indresp,d_hhorig,Sample origin; household,15.0,ECHP - ONS
1449339,UKHLS,d_indresp,d_hhorig,Sample origin; household,16.0,ECHP - NI
1449340,UKHLS,d_indresp,d_memorig,Sample origin; individual,1.0,ukhls gb 2009-10
1449341,UKHLS,d_indresp,d_memorig,Sample origin; individual,2.0,ukhls ni 2009-10
1449342,UKHLS,d_indresp,d_memorig,Sample origin; individual,3.0,bhps gb 1991
1449343,UKHLS,d_indresp,d_memorig,Sample origin; individual,4.0,bhps sco 1999
1449344,UKHLS,d_indresp,d_memorig,Sample origin; individual,5.0,bhps wal 1999
1449345,UKHLS,d_indresp,d_memorig,Sample origin; individual,6.0,bhps ni 2001
1449346,UKHLS,d_indresp,d_memorig,Sample origin; individual,7.0,ukhls emboost 2009-10
