,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1511599,UKHLS,h_indresp,study_id_e,,,
1511600,UKHLS,h_indresp,h_pno,person number,-9.0,Missing
1511601,UKHLS,h_indresp,h_childpno,pno of child,-9.0,Missing
1511602,UKHLS,h_indresp,h_childpno,pno of child,-8.0,Inapplicable
1511603,UKHLS,h_indresp,h_childpno,pno of child,-2.0,Refusal
1511604,UKHLS,h_indresp,h_childpno,pno of child,-1.0,Don't know
1511605,UKHLS,h_indresp,h_hhorig,Sample origin; household,1.0,ukhls gb 2009-10
1511606,UKHLS,h_indresp,h_hhorig,Sample origin; household,2.0,ukhls ni 2009-10
1511607,UKHLS,h_indresp,h_hhorig,Sample origin; household,3.0,bhps gb 1991
1511608,UKHLS,h_indresp,h_hhorig,Sample origin; household,4.0,bhps sco 1999
1511609,UKHLS,h_indresp,h_hhorig,Sample origin; household,5.0,bhps wal 1999
1511610,UKHLS,h_indresp,h_hhorig,Sample origin; household,6.0,bhps ni 2001
1511611,UKHLS,h_indresp,h_hhorig,Sample origin; household,7.0,ukhls emboost 2009-10
1511612,UKHLS,h_indresp,h_hhorig,Sample origin; household,8.0,ukhls iemb 2014-15
1511613,UKHLS,h_indresp,h_hhorig,Sample origin; household,11.0,ip original sample 2008
1511614,UKHLS,h_indresp,h_hhorig,Sample origin; household,12.0,ip4 refreshment sample 2011
1511615,UKHLS,h_indresp,h_hhorig,Sample origin; household,13.0,ip7 refreshment sample 2014
1511616,UKHLS,h_indresp,h_hhorig,Sample origin; household,14.0,ECHP - SCPR
1511617,UKHLS,h_indresp,h_hhorig,Sample origin; household,15.0,ECHP - ONS
1511618,UKHLS,h_indresp,h_hhorig,Sample origin; household,16.0,ECHP - NI
1511619,UKHLS,h_indresp,h_memorig,Sample origin; individual,1.0,ukhls gb 2009-10
1511620,UKHLS,h_indresp,h_memorig,Sample origin; individual,2.0,ukhls ni 2009-10
1511621,UKHLS,h_indresp,h_memorig,Sample origin; individual,3.0,bhps gb 1991
1511622,UKHLS,h_indresp,h_memorig,Sample origin; individual,4.0,bhps sco 1999
1511623,UKHLS,h_indresp,h_memorig,Sample origin; individual,5.0,bhps wal 1999
1511624,UKHLS,h_indresp,h_memorig,Sample origin; individual,6.0,bhps ni 2001
1511625,UKHLS,h_indresp,h_memorig,Sample origin; individual,7.0,ukhls emboost 2009-10
1511626,UKHLS,h_indresp,h_memorig,Sample origin; individual,8.0,ukhls iemb 2014-15
1511627,UKHLS,h_indresp,h_memorig,Sample origin; individual,11.0,ip original sample 2008
1511628,UKHLS,h_indresp,h_memorig,Sample origin; individual,12.0,ip4 refreshment sample 2011
1511629,UKHLS,h_indresp,h_memorig,Sample origin; individual,13.0,ip7 refreshment sample 2014
1511630,UKHLS,h_indresp,h_memorig,Sample origin; individual,14.0,ECHP - SCPR
1511631,UKHLS,h_indresp,h_memorig,Sample origin; individual,15.0,ECHP - ONS
1511632,UKHLS,h_indresp,h_memorig,Sample origin; individual,16.0,ECHP - NI
1511633,UKHLS,h_indresp,h_psu,Primary sampling unit,,
1511634,UKHLS,h_indresp,h_strata,Strata,,
1511635,UKHLS,h_indresp,h_sampst,sample status,-9.0,Missing
1511636,UKHLS,h_indresp,h_sampst,sample status,-8.0,Inapplicable
1511637,UKHLS,h_indresp,h_sampst,sample status,-2.0,Refusal
1511638,UKHLS,h_indresp,h_sampst,sample status,-1.0,Don't know
1511639,UKHLS,h_indresp,h_sampst,sample status,1.0,osm
1511640,UKHLS,h_indresp,h_sampst,sample status,2.0,psm 
1511641,UKHLS,h_indresp,h_sampst,sample status,3.0,tsm
1511642,UKHLS,h_indresp,h_month,sample month,1.0,jan yr1
1511643,UKHLS,h_indresp,h_month,sample month,2.0,feb yr1
1511644,UKHLS,h_indresp,h_month,sample month,3.0,mar yr1
1511645,UKHLS,h_indresp,h_month,sample month,4.0,apr yr1
1511646,UKHLS,h_indresp,h_month,sample month,5.0,may yr1
1511647,UKHLS,h_indresp,h_month,sample month,6.0,jun yr1
1511648,UKHLS,h_indresp,h_month,sample month,7.0,jul yr1
1511649,UKHLS,h_indresp,h_month,sample month,8.0,aug yr1
1511650,UKHLS,h_indresp,h_month,sample month,9.0,sep yr1 
1511651,UKHLS,h_indresp,h_month,sample month,10.0,oct yr1 
1511652,UKHLS,h_indresp,h_month,sample month,11.0,nov yr1
1511653,UKHLS,h_indresp,h_month,sample month,12.0,dec yr1 
1511654,UKHLS,h_indresp,h_month,sample month,13.0,jan yr2
1511655,UKHLS,h_indresp,h_month,sample month,14.0,feb yr2
1511656,UKHLS,h_indresp,h_month,sample month,15.0,mar yr2
1511657,UKHLS,h_indresp,h_month,sample month,16.0,apr yr2
1511658,UKHLS,h_indresp,h_month,sample month,17.0,may yr2
1511659,UKHLS,h_indresp,h_month,sample month,18.0,jun yr2
1511660,UKHLS,h_indresp,h_month,sample month,19.0,jul yr2
1511661,UKHLS,h_indresp,h_month,sample month,20.0,aug yr2
1511662,UKHLS,h_indresp,h_month,sample month,21.0,sep yr2 
1511663,UKHLS,h_indresp,h_month,sample month,22.0,oct yr2 
1511664,UKHLS,h_indresp,h_month,sample month,23.0,nov yr2
1511665,UKHLS,h_indresp,h_month,sample month,24.0,dec yr2 
1511666,UKHLS,h_indresp,h_quarter,sample quarter,1.0,q1 yr1
1511667,UKHLS,h_indresp,h_quarter,sample quarter,2.0,q2 yr1
1511668,UKHLS,h_indresp,h_quarter,sample quarter,3.0,q3 yr1
1511669,UKHLS,h_indresp,h_quarter,sample quarter,4.0,q4 yr1
1511670,UKHLS,h_indresp,h_quarter,sample quarter,5.0,q1 yr2
1511671,UKHLS,h_indresp,h_quarter,sample quarter,6.0,q2 yr2
1511672,UKHLS,h_indresp,h_quarter,sample quarter,7.0,q3 y2 
1511673,UKHLS,h_indresp,h_quarter,sample quarter,8.0,q4 yr2
1511674,UKHLS,h_indresp,h_ivfio,Individual level outcome,77.0,Deceased
1511675,UKHLS,h_indresp,h_ivfio,Individual level outcome,79.0,Moved to NI (Innovation Panel only)
1511676,UKHLS,h_indresp,h_ivfio,Individual level outcome,85.0,Youth in other non-responding household
1511677,UKHLS,h_indresp,h_ivfio,Individual level outcome,86.0,Child (<10) in non-contacted household
1511678,UKHLS,h_indresp,h_ivfio,Individual level outcome,87.0,Child (<10) in refusal household
1511679,UKHLS,h_indresp,h_ivfio,Individual level outcome,88.0,Child (<10) in other non-responding household
1511680,UKHLS,h_indresp,h_ivfio,Individual level outcome,89.0,IV TSM - all OSM/PSM moved out from HH (TSM not eligible for interview)
1511681,UKHLS,h_indresp,h_ivfio,Individual level outcome,90.0,Ineligible - TSM in TSM-only household
1511682,UKHLS,h_indresp,h_ivfio,Individual level outcome,91.0,Ineligible - merged with previous-wave household
1511683,UKHLS,h_indresp,h_ivfio,Individual level outcome,92.0,Ineligible - individual in household not issued to interview
1511684,UKHLS,h_indresp,h_ivfio,Individual level outcome,1.0,full interview
1511685,UKHLS,h_indresp,h_ivfio,Individual level outcome,2.0,proxy interview
1511686,UKHLS,h_indresp,h_ivfio,Individual level outcome,9.0,lost capi intvw
1511687,UKHLS,h_indresp,h_ivfio,Individual level outcome,10.0,refusal
1511688,UKHLS,h_indresp,h_ivfio,Individual level outcome,11.0,other non-intvw
1511689,UKHLS,h_indresp,h_ivfio,Individual level outcome,12.0,moved
