,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1525133,UKHLS,i_indresp,study_id_e,,,
1525134,UKHLS,i_indresp,i_pno,person number,,
1525135,UKHLS,i_indresp,i_childpno,pno of child,-9.0,Missing
1525136,UKHLS,i_indresp,i_childpno,pno of child,-8.0,Inapplicable
1525137,UKHLS,i_indresp,i_childpno,pno of child,-2.0,Refusal
1525138,UKHLS,i_indresp,i_childpno,pno of child,-1.0,Don't know
1525139,UKHLS,i_indresp,i_hhorig,Sample origin; household,1.0,ukhls gb 2009-10
1525140,UKHLS,i_indresp,i_hhorig,Sample origin; household,2.0,ukhls ni 2009-10
1525141,UKHLS,i_indresp,i_hhorig,Sample origin; household,3.0,bhps gb 1991
1525142,UKHLS,i_indresp,i_hhorig,Sample origin; household,4.0,bhps sco 1999
1525143,UKHLS,i_indresp,i_hhorig,Sample origin; household,5.0,bhps wal 1999
1525144,UKHLS,i_indresp,i_hhorig,Sample origin; household,6.0,bhps ni 2001
1525145,UKHLS,i_indresp,i_hhorig,Sample origin; household,7.0,ukhls emboost 2009-10
1525146,UKHLS,i_indresp,i_hhorig,Sample origin; household,8.0,ukhls iemb 2014-15
1525147,UKHLS,i_indresp,i_hhorig,Sample origin; household,11.0,ip original sample 2008
1525148,UKHLS,i_indresp,i_hhorig,Sample origin; household,12.0,ip4 refreshment sample 2011
1525149,UKHLS,i_indresp,i_hhorig,Sample origin; household,13.0,ip7 refreshment sample 2014
1525150,UKHLS,i_indresp,i_hhorig,Sample origin; household,14.0,ECHP - SCPR
1525151,UKHLS,i_indresp,i_hhorig,Sample origin; household,15.0,ECHP - ONS
1525152,UKHLS,i_indresp,i_hhorig,Sample origin; household,16.0,ECHP - NI
1525153,UKHLS,i_indresp,i_memorig,Sample origin; individual,1.0,ukhls gb 2009-10
1525154,UKHLS,i_indresp,i_memorig,Sample origin; individual,2.0,ukhls ni 2009-10
1525155,UKHLS,i_indresp,i_memorig,Sample origin; individual,3.0,bhps gb 1991
1525156,UKHLS,i_indresp,i_memorig,Sample origin; individual,4.0,bhps sco 1999
1525157,UKHLS,i_indresp,i_memorig,Sample origin; individual,5.0,bhps wal 1999
1525158,UKHLS,i_indresp,i_memorig,Sample origin; individual,6.0,bhps ni 2001
1525159,UKHLS,i_indresp,i_memorig,Sample origin; individual,7.0,ukhls emboost 2009-10
1525160,UKHLS,i_indresp,i_memorig,Sample origin; individual,8.0,ukhls iemb 2014-15
1525161,UKHLS,i_indresp,i_memorig,Sample origin; individual,11.0,ip original sample 2008
1525162,UKHLS,i_indresp,i_memorig,Sample origin; individual,12.0,ip4 refreshment sample 2011
1525163,UKHLS,i_indresp,i_memorig,Sample origin; individual,13.0,ip7 refreshment sample 2014
1525164,UKHLS,i_indresp,i_memorig,Sample origin; individual,14.0,ECHP - SCPR
1525165,UKHLS,i_indresp,i_memorig,Sample origin; individual,15.0,ECHP - ONS
1525166,UKHLS,i_indresp,i_memorig,Sample origin; individual,16.0,ECHP - NI
1525167,UKHLS,i_indresp,i_psu,Primary sampling unit,,
1525168,UKHLS,i_indresp,i_strata,Strata,,
1525169,UKHLS,i_indresp,i_sampst,sample status,-9.0,Missing
1525170,UKHLS,i_indresp,i_sampst,sample status,-8.0,Inapplicable
1525171,UKHLS,i_indresp,i_sampst,sample status,-2.0,Refusal
1525172,UKHLS,i_indresp,i_sampst,sample status,-1.0,Don't know
1525173,UKHLS,i_indresp,i_sampst,sample status,1.0,osm
1525174,UKHLS,i_indresp,i_sampst,sample status,2.0,psm 
1525175,UKHLS,i_indresp,i_sampst,sample status,3.0,tsm
1525176,UKHLS,i_indresp,i_month,sample month,1.0,jan yr1
1525177,UKHLS,i_indresp,i_month,sample month,2.0,feb yr1
1525178,UKHLS,i_indresp,i_month,sample month,3.0,mar yr1
1525179,UKHLS,i_indresp,i_month,sample month,4.0,apr yr1
1525180,UKHLS,i_indresp,i_month,sample month,5.0,may yr1
1525181,UKHLS,i_indresp,i_month,sample month,6.0,jun yr1
1525182,UKHLS,i_indresp,i_month,sample month,7.0,jul yr1
1525183,UKHLS,i_indresp,i_month,sample month,8.0,aug yr1
1525184,UKHLS,i_indresp,i_month,sample month,9.0,sep yr1 
1525185,UKHLS,i_indresp,i_month,sample month,10.0,oct yr1 
1525186,UKHLS,i_indresp,i_month,sample month,11.0,nov yr1
1525187,UKHLS,i_indresp,i_month,sample month,12.0,dec yr1 
1525188,UKHLS,i_indresp,i_month,sample month,13.0,jan yr2
1525189,UKHLS,i_indresp,i_month,sample month,14.0,feb yr2
1525190,UKHLS,i_indresp,i_month,sample month,15.0,mar yr2
1525191,UKHLS,i_indresp,i_month,sample month,16.0,apr yr2
1525192,UKHLS,i_indresp,i_month,sample month,17.0,may yr2
1525193,UKHLS,i_indresp,i_month,sample month,18.0,jun yr2
1525194,UKHLS,i_indresp,i_month,sample month,19.0,jul yr2
1525195,UKHLS,i_indresp,i_month,sample month,20.0,aug yr2
1525196,UKHLS,i_indresp,i_month,sample month,21.0,sep yr2 
1525197,UKHLS,i_indresp,i_month,sample month,22.0,oct yr2 
1525198,UKHLS,i_indresp,i_month,sample month,23.0,nov yr2
1525199,UKHLS,i_indresp,i_month,sample month,24.0,dec yr2 
1525200,UKHLS,i_indresp,i_quarter,sample quarter,1.0,q1 yr1
1525201,UKHLS,i_indresp,i_quarter,sample quarter,2.0,q2 yr1
1525202,UKHLS,i_indresp,i_quarter,sample quarter,3.0,q3 yr1
1525203,UKHLS,i_indresp,i_quarter,sample quarter,4.0,q4 yr1
1525204,UKHLS,i_indresp,i_quarter,sample quarter,5.0,q1 yr2
1525205,UKHLS,i_indresp,i_quarter,sample quarter,6.0,q2 yr2
1525206,UKHLS,i_indresp,i_quarter,sample quarter,7.0,q3 y2 
1525207,UKHLS,i_indresp,i_quarter,sample quarter,8.0,q4 yr2
1525208,UKHLS,i_indresp,i_ivfio,Individual level outcome,83.0,withdrawn before field
1525209,UKHLS,i_indresp,i_ivfio,Individual level outcome,57.0,ill/away - non-int hhold
1525210,UKHLS,i_indresp,i_ivfio,Individual level outcome,99.0,dead
1525211,UKHLS,i_indresp,i_ivfio,Individual level outcome,62.0,chd <16 infirm/non-int hh
1525212,UKHLS,i_indresp,i_ivfio,Individual level outcome,63.0,chd <16 non-cont/non-int hh
1525213,UKHLS,i_indresp,i_ivfio,Individual level outcome,64.0,chd <16 o-o-scope/non-int hh
1525214,UKHLS,i_indresp,i_ivfio,Individual level outcome,67.0,chd <16 ill/away - non-int hhold
1525215,UKHLS,i_indresp,i_ivfio,Individual level outcome,74.0,ineligible - aged 10-15 (iemb only)  
1525216,UKHLS,i_indresp,i_ivfio,Individual level outcome,80.0,tsm - no osm/psm
1525217,UKHLS,i_indresp,i_ivfio,Individual level outcome,81.0,prev wave adamant refusal
1525218,UKHLS,i_indresp,i_ivfio,Individual level outcome,82.0,l-t untrace; w-drawn
1525219,UKHLS,i_indresp,i_ivfio,Individual level outcome,55.0,institutnsd/non-int hh
1525220,UKHLS,i_indresp,i_ivfio,Individual level outcome,1.0,full interview
1525221,UKHLS,i_indresp,i_ivfio,Individual level outcome,2.0,proxy interview
1525222,UKHLS,i_indresp,i_ivfio,Individual level outcome,9.0,lost capi intvw
1525223,UKHLS,i_indresp,i_ivfio,Individual level outcome,10.0,refusal
1525224,UKHLS,i_indresp,i_ivfio,Individual level outcome,84.0,Ineligible for individual interview as nr in last 3 waves
