,Source,Block Name,Variable Name,Variable Description,Value,Value Description
2706854,UKHLS,xbaseline,study_id_e,,,
2706855,UKHLS,xbaseline,nhsshield_dv,Have you received a letter from the NHS or Chief Medical Officer saying that  yo,1.0,Yes
2706856,UKHLS,xbaseline,nhsshield_dv,Have you received a letter from the NHS or Chief Medical Officer saying that  yo,2.0,No
2706857,UKHLS,xbaseline,nhsshield_dv,Have you received a letter from the NHS or Chief Medical Officer saying that  yo,-9.0,Missing
2706858,UKHLS,xbaseline,nhsshield_dv,Have you received a letter from the NHS or Chief Medical Officer saying that  yo,-8.0,Inapplicable
2706859,UKHLS,xbaseline,nhsshield_dv,Have you received a letter from the NHS or Chief Medical Officer saying that  yo,-2.0,Refusal
2706860,UKHLS,xbaseline,nhsshield_dv,Have you received a letter from the NHS or Chief Medical Officer saying that  yo,-1.0,Don't know
2706861,UKHLS,xbaseline,hcond_cv1_dv,Baseline: health condition - Asthma,0.0,Not mentioned
2706862,UKHLS,xbaseline,hcond_cv1_dv,Baseline: health condition - Asthma,1.0,Mentioned
2706863,UKHLS,xbaseline,hcond_cv1_dv,Baseline: health condition - Asthma,-9.0,Missing
2706864,UKHLS,xbaseline,hcond_cv1_dv,Baseline: health condition - Asthma,-8.0,Inapplicable
2706865,UKHLS,xbaseline,hcond_cv1_dv,Baseline: health condition - Asthma,-2.0,Refusal
2706866,UKHLS,xbaseline,hcond_cv1_dv,Baseline: health condition - Asthma,-1.0,Don't know
2706867,UKHLS,xbaseline,hcond_cv2_dv,Baseline: health condition - Arthritis,0.0,Not mentioned
2706868,UKHLS,xbaseline,hcond_cv2_dv,Baseline: health condition - Arthritis,1.0,Mentioned
2706869,UKHLS,xbaseline,hcond_cv2_dv,Baseline: health condition - Arthritis,-9.0,Missing
2706870,UKHLS,xbaseline,hcond_cv2_dv,Baseline: health condition - Arthritis,-8.0,Inapplicable
2706871,UKHLS,xbaseline,hcond_cv2_dv,Baseline: health condition - Arthritis,-2.0,Refusal
2706872,UKHLS,xbaseline,hcond_cv2_dv,Baseline: health condition - Arthritis,-1.0,Don't know
2706873,UKHLS,xbaseline,hcond_cv3_dv,Baseline: health condition - Congestive heart failure,0.0,Not mentioned
2706874,UKHLS,xbaseline,hcond_cv3_dv,Baseline: health condition - Congestive heart failure,1.0,Mentioned
2706875,UKHLS,xbaseline,hcond_cv3_dv,Baseline: health condition - Congestive heart failure,-9.0,Missing
2706876,UKHLS,xbaseline,hcond_cv3_dv,Baseline: health condition - Congestive heart failure,-8.0,Inapplicable
2706877,UKHLS,xbaseline,hcond_cv3_dv,Baseline: health condition - Congestive heart failure,-2.0,Refusal
2706878,UKHLS,xbaseline,hcond_cv3_dv,Baseline: health condition - Congestive heart failure,-1.0,Don't know
2706879,UKHLS,xbaseline,hcond_cv4_dv,Baseline: health condition - Coronary heart disease,0.0,Not mentioned
2706880,UKHLS,xbaseline,hcond_cv4_dv,Baseline: health condition - Coronary heart disease,1.0,Mentioned
2706881,UKHLS,xbaseline,hcond_cv4_dv,Baseline: health condition - Coronary heart disease,-9.0,Missing
2706882,UKHLS,xbaseline,hcond_cv4_dv,Baseline: health condition - Coronary heart disease,-8.0,Inapplicable
2706883,UKHLS,xbaseline,hcond_cv4_dv,Baseline: health condition - Coronary heart disease,-2.0,Refusal
2706884,UKHLS,xbaseline,hcond_cv4_dv,Baseline: health condition - Coronary heart disease,-1.0,Don't know
2706885,UKHLS,xbaseline,hcond_cv5_dv,Baseline: health condition - Angina,0.0,Not mentioned
2706886,UKHLS,xbaseline,hcond_cv5_dv,Baseline: health condition - Angina,1.0,Mentioned
2706887,UKHLS,xbaseline,hcond_cv5_dv,Baseline: health condition - Angina,-9.0,Missing
2706888,UKHLS,xbaseline,hcond_cv5_dv,Baseline: health condition - Angina,-8.0,Inapplicable
2706889,UKHLS,xbaseline,hcond_cv5_dv,Baseline: health condition - Angina,-2.0,Refusal
2706890,UKHLS,xbaseline,hcond_cv5_dv,Baseline: health condition - Angina,-1.0,Don't know
2706891,UKHLS,xbaseline,hcond_cv6_dv,Baseline: health condition - Heart attack or myocardial infarction,0.0,Not mentioned
2706892,UKHLS,xbaseline,hcond_cv6_dv,Baseline: health condition - Heart attack or myocardial infarction,1.0,Mentioned
2706893,UKHLS,xbaseline,hcond_cv6_dv,Baseline: health condition - Heart attack or myocardial infarction,-9.0,Missing
2706894,UKHLS,xbaseline,hcond_cv6_dv,Baseline: health condition - Heart attack or myocardial infarction,-8.0,Inapplicable
2706895,UKHLS,xbaseline,hcond_cv6_dv,Baseline: health condition - Heart attack or myocardial infarction,-2.0,Refusal
2706896,UKHLS,xbaseline,hcond_cv6_dv,Baseline: health condition - Heart attack or myocardial infarction,-1.0,Don't know
2706897,UKHLS,xbaseline,hcond_cv7_dv,Baseline: health condition - Stroke,0.0,Not mentioned
2706898,UKHLS,xbaseline,hcond_cv7_dv,Baseline: health condition - Stroke,1.0,Mentioned
2706899,UKHLS,xbaseline,hcond_cv7_dv,Baseline: health condition - Stroke,-9.0,Missing
2706900,UKHLS,xbaseline,hcond_cv7_dv,Baseline: health condition - Stroke,-8.0,Inapplicable
2706901,UKHLS,xbaseline,hcond_cv7_dv,Baseline: health condition - Stroke,-2.0,Refusal
2706902,UKHLS,xbaseline,hcond_cv7_dv,Baseline: health condition - Stroke,-1.0,Don't know
2706903,UKHLS,xbaseline,hcond_cv8_dv,Baseline: health condition - Emphysema,0.0,Not mentioned
2706904,UKHLS,xbaseline,hcond_cv8_dv,Baseline: health condition - Emphysema,1.0,Mentioned
2706905,UKHLS,xbaseline,hcond_cv8_dv,Baseline: health condition - Emphysema,-9.0,Missing
2706906,UKHLS,xbaseline,hcond_cv8_dv,Baseline: health condition - Emphysema,-8.0,Inapplicable
2706907,UKHLS,xbaseline,hcond_cv8_dv,Baseline: health condition - Emphysema,-2.0,Refusal
2706908,UKHLS,xbaseline,hcond_cv8_dv,Baseline: health condition - Emphysema,-1.0,Don't know
2706909,UKHLS,xbaseline,hcond_cv10_dv,Baseline: health condition - Hypothyroidism or an under-active thyroid,0.0,Not mentioned
2706910,UKHLS,xbaseline,hcond_cv10_dv,Baseline: health condition - Hypothyroidism or an under-active thyroid,1.0,Mentioned
2706911,UKHLS,xbaseline,hcond_cv10_dv,Baseline: health condition - Hypothyroidism or an under-active thyroid,-9.0,Missing
2706912,UKHLS,xbaseline,hcond_cv10_dv,Baseline: health condition - Hypothyroidism or an under-active thyroid,-8.0,Inapplicable
2706913,UKHLS,xbaseline,hcond_cv10_dv,Baseline: health condition - Hypothyroidism or an under-active thyroid,-2.0,Refusal
2706914,UKHLS,xbaseline,hcond_cv10_dv,Baseline: health condition - Hypothyroidism or an under-active thyroid,-1.0,Don't know
2706915,UKHLS,xbaseline,hcond_cv11_dv,Baseline: health condition - Chronic bronchitis,0.0,Not mentioned
2706916,UKHLS,xbaseline,hcond_cv11_dv,Baseline: health condition - Chronic bronchitis,1.0,Mentioned
2706917,UKHLS,xbaseline,hcond_cv11_dv,Baseline: health condition - Chronic bronchitis,-9.0,Missing
2706918,UKHLS,xbaseline,hcond_cv11_dv,Baseline: health condition - Chronic bronchitis,-8.0,Inapplicable
2706919,UKHLS,xbaseline,hcond_cv11_dv,Baseline: health condition - Chronic bronchitis,-2.0,Refusal
2706920,UKHLS,xbaseline,hcond_cv11_dv,Baseline: health condition - Chronic bronchitis,-1.0,Don't know
2706921,UKHLS,xbaseline,hcond_cv12_dv,Baseline: health condition - Any kind of liver condition,0.0,Not mentioned
2706922,UKHLS,xbaseline,hcond_cv12_dv,Baseline: health condition - Any kind of liver condition,1.0,Mentioned
2706923,UKHLS,xbaseline,hcond_cv12_dv,Baseline: health condition - Any kind of liver condition,-9.0,Missing
2706924,UKHLS,xbaseline,hcond_cv12_dv,Baseline: health condition - Any kind of liver condition,-8.0,Inapplicable
