,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1581314,UKHLS,xsample,study_id_e,,,
1581315,UKHLS,xsample,psu,Primary sampling unit,-9.0,missing
1581316,UKHLS,xsample,psu,Primary sampling unit,-8.0,inapplicable
1581317,UKHLS,xsample,psu,Primary sampling unit,-2.0,refusal
1581318,UKHLS,xsample,psu,Primary sampling unit,-1.0,don't know
1581319,UKHLS,xsample,strata,Strata,-9.0,missing
1581320,UKHLS,xsample,strata,Strata,-8.0,inapplicable
1581321,UKHLS,xsample,strata,Strata,-2.0,refusal
1581322,UKHLS,xsample,strata,Strata,-1.0,don't know
1581323,UKHLS,xsample,emailknown,Whether email known at start of study,0.0,No
1581324,UKHLS,xsample,emailknown,Whether email known at start of study,1.0,Yes
1581325,UKHLS,xsample,emailknown,Whether email known at start of study,-9.0,missing
1581326,UKHLS,xsample,emailknown,Whether email known at start of study,-8.0,inapplicable
1581327,UKHLS,xsample,emailknown,Whether email known at start of study,-2.0,refusal
1581328,UKHLS,xsample,emailknown,Whether email known at start of study,-1.0,don't know
1581329,UKHLS,xsample,mobknown,Whether mobile number known at start of study,0.0,No
1581330,UKHLS,xsample,mobknown,Whether mobile number known at start of study,1.0,Yes
1581331,UKHLS,xsample,mobknown,Whether mobile number known at start of study,-9.0,missing
1581332,UKHLS,xsample,mobknown,Whether mobile number known at start of study,-8.0,inapplicable
1581333,UKHLS,xsample,mobknown,Whether mobile number known at start of study,-2.0,refusal
1581334,UKHLS,xsample,mobknown,Whether mobile number known at start of study,-1.0,don't know
1581335,UKHLS,xsample,preletter,Prenotification letter version,1.0,Email and mobile
1581336,UKHLS,xsample,preletter,Prenotification letter version,2.0,Email but no mobile
1581337,UKHLS,xsample,preletter,Prenotification letter version,3.0,Mobile but no email
1581338,UKHLS,xsample,preletter,Prenotification letter version,4.0,No email or mobile
1581339,UKHLS,xsample,preletter,Prenotification letter version,-9.0,missing
1581340,UKHLS,xsample,preletter,Prenotification letter version,-8.0,inapplicable
1581341,UKHLS,xsample,preletter,Prenotification letter version,-2.0,refusal
1581342,UKHLS,xsample,preletter,Prenotification letter version,-1.0,don't know
1581343,UKHLS,xsample,batch,Mailing batch,,
1581344,UKHLS,xsample,emailoptout,Opted out of emails,-1.0,don't know
1581345,UKHLS,xsample,emailoptout,Opted out of emails,0.0,No
1581346,UKHLS,xsample,emailoptout,Opted out of emails,1.0,Yes
1581347,UKHLS,xsample,emailoptout,Opted out of emails,-9.0,missing
1581348,UKHLS,xsample,emailoptout,Opted out of emails,-8.0,inapplicable
1581349,UKHLS,xsample,emailoptout,Opted out of emails,-2.0,refusal
1581350,UKHLS,xsample,smsoptout,Opted out of SMS,0.0,No
1581351,UKHLS,xsample,smsoptout,Opted out of SMS,1.0,Yes
1581352,UKHLS,xsample,smsoptout,Opted out of SMS,-9.0,missing
1581353,UKHLS,xsample,smsoptout,Opted out of SMS,-8.0,inapplicable
1581354,UKHLS,xsample,smsoptout,Opted out of SMS,-2.0,refusal
1581355,UKHLS,xsample,smsoptout,Opted out of SMS,-1.0,don't know
1581356,UKHLS,xsample,sex_dv,Sex; derived,1.0,Male
1581357,UKHLS,xsample,sex_dv,Sex; derived,2.0,Female
1581358,UKHLS,xsample,sex_dv,Sex; derived,-21.0,no data from ukhls
1581359,UKHLS,xsample,sex_dv,Sex; derived,-20.0,no data from bhps
1581360,UKHLS,xsample,sex_dv,Sex; derived,0.0,Inconsistent
1581361,UKHLS,xsample,sex_dv,Sex; derived,-9.0,missing
1581362,UKHLS,xsample,sex_dv,Sex; derived,-8.0,inapplicable
1581363,UKHLS,xsample,sex_dv,Sex; derived,-2.0,refusal
1581364,UKHLS,xsample,sex_dv,Sex; derived,-1.0,don't know
1581365,UKHLS,xsample,birthy,Year of birth,-9.0,missing
1581366,UKHLS,xsample,birthy,Year of birth,-8.0,inapplicable
1581367,UKHLS,xsample,birthy,Year of birth,-2.0,refusal
1581368,UKHLS,xsample,birthy,Year of birth,-1.0,don't know
1581369,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,1.0,british/english/scottish/welsh/northern irish (white)
1581370,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,2.0,irish (white)
1581371,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,3.0,gypsy or irish traveller (white)
1581372,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,4.0,any other white background (white)
1581373,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,5.0,white and black caribbean (mixed)
1581374,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,6.0,white and black african (mixed)
1581375,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,7.0,white and asian (mixed)
1581376,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,8.0,any other mixed background (mixed)
1581377,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,9.0,indian (asian or asian british)
1581378,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,10.0,pakistani (asian or asian british)
1581379,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,11.0,bangladeshi (asian or asian british)
1581380,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,12.0,chinese (asian or asian british)
1581381,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,13.0,any other asian background (asian or asian british)
1581382,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,14.0,caribbean (black or black british)
1581383,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,15.0,african (black or black britih)
1581384,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,16.0,any other black background (black or black britih)
1581385,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,17.0,arab (other ethnic group)
1581386,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,97.0,any other ethnic group (other ethnic group)
1581387,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-9.0,missing
1581388,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-8.0,inapplicable
1581389,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-2.0,refusal
1581390,UKHLS,xsample,racel_dv,Ethnic group incorp. all waves; codings; modes and bhps,-1.0,don't know
1581391,UKHLS,xsample,bornuk_dv,Born in UK (derived),2.0,not born in uk
1581392,UKHLS,xsample,bornuk_dv,Born in UK (derived),1.0,born in uk
1581393,UKHLS,xsample,bornuk_dv,Born in UK (derived),-9.0,missing
1581394,UKHLS,xsample,bornuk_dv,Born in UK (derived),-8.0,inapplicable
1581395,UKHLS,xsample,bornuk_dv,Born in UK (derived),-2.0,refusal
1581396,UKHLS,xsample,bornuk_dv,Born in UK (derived),-1.0,don't know
1581397,UKHLS,xsample,i_ioutcome,Individual outcome  ,75.0,Issued adamant refuser (ff_exclude=1)
